sample_id	variant_workbook	input_variant_rows	non_chip_excluded	reference_zygosity_excluded	intronic_intergenic_utr_excluded	missing_vaf_excluded	vaf_ge_0.3_excluded	somatic_chip_variant_count
184	230209_Exome_GRCh38_CHIP_184-PM.xlsx	650	47	471	81	0	47	4
185	230209_Exome_GRCh38_CHIP_185-PF.xlsx	643	47	484	70	0	39	3
285	230209_Exome_GRCh38_CHIP_285-PF.xlsx	650	48	469	82	0	50	1
287	230209_Exome_GRCh38_CHIP_287-PM.xlsx	650	46	475	80	0	43	6
353	230209_Exome_GRCh38_CHIP_353-PF.xlsx	647	46	476	81	0	42	2
354	230209_Exome_GRCh38_CHIP_354-PM.xlsx	651	46	497	62	0	44	2
381	230209_Exome_GRCh38_CHIP_381-PM.xlsx	705	48	29	339	246	42	1
396	230209_Exome_GRCh38_CHIP_396-PF.xlsx	650	48	480	78	0	44	0
397	230209_Exome_GRCh38_CHIP_397-PM.xlsx	650	48	481	79	0	39	3
489	230209_Exome_GRCh38_CHIP_489-PF.xlsx	641	48	443	86	0	61	3
490	230209_Exome_GRCh38_CHIP_490-PM.xlsx	650	48	483	71	0	44	4
499	230209_Exome_GRCh38_CHIP_499-PF.xlsx	646	46	472	76	0	50	2
500	230209_Exome_GRCh38_CHIP_500-PM.xlsx	652	44	461	99	0	47	1
503	230209_Exome_GRCh38_CHIP_503-PF.xlsx	641	48	488	63	0	40	2
504	230209_Exome_GRCh38_CHIP_504-PM.xlsx	636	48	464	70	0	53	1
556	230209_Exome_GRCh38_CHIP_556-PF.xlsx	649	47	470	78	0	53	1
557	230209_Exome_GRCh38_CHIP_557-PM.xlsx	643	48	459	83	0	48	5
613	230209_Exome_GRCh38_CHIP_613-PF.xlsx	645	47	455	91	0	47	5
614	230209_Exome_GRCh38_CHIP_614-PM.xlsx	644	46	491	63	0	43	1
