Geneid	HISAT2 on dataset 1: aligned reads (BAM)	Geneid	HISAT2 on dataset 2: aligned reads (BAM)	log2FC_B_over_A	abs_log2FC	total_count
91433	12	91433	0	-4.6435326026201444	4.6435326026201444	12
9314	48	9314	986	4.346585985691012	4.346585985691012	1034
7916	8	7916	0	-4.087139254095758	4.087139254095758	8
100132815	0	100132815	7	3.907214182763099	3.907214182763099	7
6414	7	6414	0	-3.9065670084539383	3.9065670084539383	7
648	0	648	6	3.7007633052956725	3.7007633052956725	6
23109	0	23109	6	3.7007633052956725	3.7007633052956725	6
63895	0	63895	6	3.7007633052956725	3.7007633052956725	6
54522	6	54522	0	-3.7001161309865114	3.7001161309865114	6
3995	6	3995	0	-3.7001161309865114	3.7001161309865114	6
6261	6	6261	0	-3.7001161309865114	3.7001161309865114	6
9586	6	9586	0	-3.7001161309865114	3.7001161309865114	6
169841	6	169841	0	-3.7001161309865114	3.7001161309865114	6
3953	0	3953	5	3.4597552057918777	3.4597552057918777	5
55315	0	55315	5	3.4597552057918777	3.4597552057918777	5
63982	0	63982	5	3.4597552057918777	3.4597552057918777	5
5463	0	5463	5	3.4597552057918777	3.4597552057918777	5
147965	0	147965	5	3.4597552057918777	3.4597552057918777	5
3797	0	3797	5	3.4597552057918777	3.4597552057918777	5
58494	0	58494	5	3.4597552057918777	3.4597552057918777	5
