ROWS_TOTAL	P_MISSING_ROWS	SAMPLED_NONMISSING
114873	26	72

GROUP	KNOWN_ROWS	KNOWN_MISSING	MISSING_EFFECT_ABSENT	MISSING_EFFECT_PRESENT	NONMISSING_EFFECT_PRESENT	NONMISSING_EFFECT_ABSENT	BEST_CHROMOSOME_COUNT	BEST_LOG_LIKELIHOOD
1000G_AFR	97	25	24	1	70	2	50	-inf
1000G_AMR	97	25	25	0	68	4	50	-inf
1000G_EAS	97	25	4	21	56	16	50	-inf
1000G_EUR	97	25	24	1	60	12	50	-inf
1000G_SAS	97	25	16	9	57	15	50	-inf
gnomAD_AFR	98	26	18	8	71	1	50	-inf
gnomAD_AMR	98	26	14	12	71	1	50	-inf
gnomAD_ASJ	98	26	25	1	59	13	50	-inf
gnomAD_EAS	98	26	6	20	60	12	50	-inf
gnomAD_MID	98	26	26	0	65	7	50	-inf
gnomAD_NFE	98	26	11	15	71	1	50	-inf
gnomAD_SAS	98	26	13	13	68	4	50	-inf
