SUBPOPULATION	API_STATUS	GWAS_WINDOW_VARIANTS	LD_VARIANTS_IN_WINDOW	MATCHED	PEARSON_SCORE_R2	SPEARMAN_SCORE_R2	TOP20_JACCARD
FIN	ok	141	80	80	0.89213902	0.89013536	0.73913043
CLM	ok	141	79	79	0.88779891	0.85824613	0.6
CHB	ok	141	73	73	0.8450058	0.835026	0.6
MXL	ok	141	81	81	0.83176906	0.89129936	0.6
GIH	ok	141	82	82	0.81363687	0.87025826	0.53846154
CEU	ok	141	101	101	0.80136353	0.78288432	0.42857143
TSI	ok	141	76	76	0.78838098	0.72400461	0.66666667
CHS	ok	141	69	69	0.78561038	0.75309327	0.48148148
IBS	ok	141	81	81	0.77013537	0.73701496	0.37931034
PEL	ok	141	77	77	0.76874296	0.83178754	0.73913043
CDX	ok	141	68	68	0.74999998	0.67639246	0.53846154
KHV	ok	141	68	68	0.73628323	0.69080635	0.53846154
GBR	ok	141	86	86	0.72709268	0.70555375	0.37931034
PUR	ok	141	90	90	0.72200274	0.75267133	0.33333333
ITU	ok	141	77	77	0.683591	0.64498583	0.42857143
JPT	ok	141	70	70	0.64007332	0.60790659	0.42857143
ASW	ok	141	60	60	0.63857073	0.60475266	0.53846154
PJL	ok	141	84	84	0.63126563	0.64501414	0.37931034
ACB	ok	141	59	59	0.62572636	0.50871196	0.6
YRI	ok	141	41	41	0.56561713	0.62838986	0.6
BEB	ok	141	76	76	0.54643249	0.38909199	0.14285714
ESN	ok	141	25	25	0.50792012	0.53254586	0.73913043
STU	ok	141	82	82	0.48208558	0.44006423	0.42857143
GWD	ok	141	37	37	0.47462028	0.47252266	0.6
MSL	ok	141	41	41	0.46495837	0.45905672	0.6
LWK	ok	141	17	17	0.39916317	0.27793703	1
