POPULATION	API_STATUS	SCORE_FILTER	GWAS_WINDOW_VARIANTS	LD_VARIANTS_IN_WINDOW	MATCHED	PEARSON_SCORE_R2	SPEARMAN_SCORE_R2	TOP20_JACCARD	LINEAR_SLOPE	LINEAR_INTERCEPT	LINEAR_RMSE
GWD	HTTPError:HTTP Error 500: Internal Server Error	ALL	141	0	0	NA	NA	NA	NA	NA	NA
IBS	HTTPError:HTTP Error 500: Internal Server Error	ALL	141	0	0	NA	NA	NA	NA	NA	NA
LWK	ok	ALL	141	17	17	0.39916317	0.27793703	1	29.065841	5.3407442	4.7794529
MSL	ok	ALL	141	41	41	0.46495837	0.45905672	0.6	19.57557	3.4644024	4.5118429
STU	ok	ALL	141	82	82	0.48208558	0.44006423	0.42857143	12.660316	2.7828521	3.7157945
AFR	ok	ALL	141	33	33	0.4845744	0.48891883	0.6	14.12337	4.6599547	4.5058676
ESN	ok	ALL	141	25	25	0.50792012	0.53254586	0.73913043	18.132196	4.3248176	4.3976407
BEB	ok	ALL	141	76	76	0.54643249	0.38909199	0.14285714	15.501318	1.9257882	3.6826487
YRI	ok	ALL	141	41	41	0.56561713	0.62838986	0.6	16.060494	2.6769855	4.5890813
SAS	ok	ALL	141	76	76	0.61310056	0.53704037	0.42857143	17.001965	1.7230864	3.3153625
ACB	ok	ALL	141	59	59	0.62572636	0.50871196	0.6	15.382306	2.7352973	3.746697
PJL	ok	ALL	141	84	84	0.63126563	0.64501414	0.37931034	20.321899	1.1890283	3.4154663
ASW	ok	ALL	141	60	60	0.63857073	0.60475266	0.53846154	24.98962	2.0658819	3.737218
JPT	ok	ALL	141	70	70	0.64007332	0.60790659	0.42857143	14.439592	-0.6572654	3.1533986
ITU	ok	ALL	141	77	77	0.683591	0.64498583	0.42857143	17.474253	0.8127721	3.0769693
PUR	ok	ALL	141	90	90	0.72200274	0.75267133	0.33333333	13.650124	0.482831	3.1145908
GBR	ok	ALL	141	86	86	0.72709268	0.70555375	0.37931034	18.473325	-0.4670059	3.080735
KHV	ok	ALL	141	68	68	0.73628323	0.69080635	0.53846154	16.802942	-1.0004609	2.763351
CDX	ok	ALL	141	68	68	0.74999998	0.67639246	0.53846154	13.175709	1.7936793	2.684626
PEL	ok	ALL	141	77	77	0.76874296	0.83178754	0.73913043	12.328945	0.22617122	2.6311866
EAS	ok	ALL	141	68	68	0.77184719	0.73382803	0.53846154	16.218515	-0.44152045	2.5806006
CHS	ok	ALL	141	69	69	0.78561038	0.75309327	0.48148148	16.461752	0.022242388	2.5295932
TSI	ok	ALL	141	76	76	0.78838098	0.72400461	0.66666667	21.134154	-0.012431789	2.6514037
EUR	ok	ALL	141	78	78	0.79740587	0.7296614	0.48148148	20.673694	-0.64760303	2.6361277
AMR	ok	ALL	141	74	74	0.7985377	0.76478316	0.53846154	15.623367	-0.18069193	2.5134412
CEU	ok	ALL	141	101	101	0.80136353	0.78288432	0.42857143	18.924269	-0.57009587	2.6972447
GIH	ok	ALL	141	82	82	0.81363687	0.87025826	0.53846154	20.964948	0.37475392	2.5579802
MXL	ok	ALL	141	81	81	0.83176906	0.89129936	0.6	14.676938	-0.2475702	2.3168568
CHB	ok	ALL	141	73	73	0.8450058	0.835026	0.6	14.751525	-0.0025596717	2.2307564
CLM	ok	ALL	141	79	79	0.88779891	0.85824613	0.6	17.194518	0.38637784	1.9564663
FIN	ok	ALL	141	80	80	0.89213902	0.89013536	0.73913043	22.636536	-1.4294876	1.9754316
GWD	HTTPError:HTTP Error 500: Internal Server Error	SCORE_GE_5	141	0	0	NA	NA	NA	NA	NA	NA
IBS	HTTPError:HTTP Error 500: Internal Server Error	SCORE_GE_5	141	0	0	NA	NA	NA	NA	NA	NA
LWK	ok	SCORE_GE_5	141	17	13	-0.12264736	-0.19781906	1	-5.1022408	12.753606	2.8772778
YRI	ok	SCORE_GE_5	141	41	19	0.0080918303	0.0026561573	1	0.10114916	11.524235	2.7152925
ESN	ok	SCORE_GE_5	141	25	16	0.1060766	0.092179096	1	2.1971144	10.809125	2.8689517
AFR	ok	SCORE_GE_5	141	33	21	0.26113887	0.32518945	1	4.2166077	9.8527889	2.9983275
PUR	ok	SCORE_GE_5	141	90	40	0.32119732	0.23449268	0.48148148	5.8800197	6.377079	3.3522859
STU	ok	SCORE_GE_5	141	82	40	0.33866279	0.31918852	0.42857143	6.3932849	7.4027618	3.330677
MSL	ok	SCORE_GE_5	141	41	21	0.35559103	0.42171638	0.9047619	8.6359359	8.9191261	3.060839
JPT	ok	SCORE_GE_5	141	70	40	0.39429455	0.32543411	0.42857143	9.8824355	3.501883	3.2530703
BEB	ok	SCORE_GE_5	141	76	38	0.43820525	0.33302608	0.48148148	8.4934397	6.7610172	3.1631613
PJL	ok	SCORE_GE_5	141	84	40	0.49674674	0.44703847	0.42857143	12.049672	5.9088908	3.0722241
SAS	ok	SCORE_GE_5	141	76	40	0.49944869	0.40266862	0.42857143	10.632012	5.8373275	3.06673
GBR	ok	SCORE_GE_5	141	86	40	0.50334802	0.42882073	0.42857143	10.427643	4.9635294	3.058731
ACB	ok	SCORE_GE_5	141	59	28	0.50676605	0.50947254	0.73913043	7.4230918	7.7541775	3.0354123
ASW	ok	SCORE_GE_5	141	60	29	0.51926317	0.45998316	0.66666667	12.031869	7.4439182	2.9599039
ITU	ok	SCORE_GE_5	141	77	40	0.542345	0.39909844	0.42857143	11.034304	5.0886002	2.9740298
CDX	ok	SCORE_GE_5	141	68	40	0.58135096	0.58687475	0.53846154	9.3152678	4.7681336	2.8802131
KHV	ok	SCORE_GE_5	141	68	40	0.5855923	0.59291404	0.53846154	13.51057	1.9191474	2.8694266
EAS	ok	SCORE_GE_5	141	68	40	0.60682213	0.63583895	0.53846154	12.239417	2.6768396	2.8136099
CEU	ok	SCORE_GE_5	141	101	40	0.61437892	0.49868503	0.53846154	12.048533	4.267414	2.7929847
AMR	ok	SCORE_GE_5	141	74	40	0.63143773	0.60595065	0.6	13.953644	1.6767373	2.7448975
CHS	ok	SCORE_GE_5	141	69	40	0.63902995	0.60364906	0.48148148	12.278348	3.1105728	2.722792
EUR	ok	SCORE_GE_5	141	78	40	0.66521488	0.67402487	0.66666667	14.076609	3.5313989	2.6430395
GIH	ok	SCORE_GE_5	141	82	40	0.67004437	0.73244679	0.53846154	13.476037	4.4327771	2.6277087
CHB	ok	SCORE_GE_5	141	73	40	0.67428156	0.69486322	0.6	11.752968	2.4656532	2.6140919
PEL	ok	SCORE_GE_5	141	77	40	0.68814785	0.66409772	0.73913043	19.198987	-3.3689622	2.5684141
MXL	ok	SCORE_GE_5	141	81	40	0.70678024	0.72017394	0.6	17.261575	-0.99931379	2.5042107
TSI	ok	SCORE_GE_5	141	76	40	0.70899072	0.69807433	0.66666667	14.477672	3.9506266	2.4963686
CLM	ok	SCORE_GE_5	141	79	40	0.768715	0.73131994	0.6	13.649227	2.7828191	2.2640609
FIN	ok	SCORE_GE_5	141	80	40	0.79497722	0.80426831	0.73913043	17.476526	1.7435054	2.1474149
GWD	HTTPError:HTTP Error 500: Internal Server Error	SCORE_GE_8	141	0	0	NA	NA	NA	NA	NA	NA
IBS	HTTPError:HTTP Error 500: Internal Server Error	SCORE_GE_8	141	0	0	NA	NA	NA	NA	NA	NA
LWK	ok	SCORE_GE_8	141	17	12	-0.4292571	-0.47132396	1	-16.276785	15.131533	2.2902848
PUR	ok	SCORE_GE_8	141	90	24	-0.070864399	-0.16601328	0.66666667	-0.73945949	12.420671	2.226792
YRI	ok	SCORE_GE_8	141	41	18	-0.062300248	-0.039647658	1	-0.70670759	12.083108	2.5003354
CHB	ok	SCORE_GE_8	141	73	24	0.0055629654	0.0057133613	0.66666667	0.0828397	11.922842	2.2323698
AFR	ok	SCORE_GE_8	141	33	18	0.010544817	0.022833792	1	0.13808761	11.798275	2.5050626
ESN	ok	SCORE_GE_8	141	25	15	0.033584738	-0.016614331	1	0.63458349	11.550942	2.6754659
JPT	ok	SCORE_GE_8	141	70	24	0.047043378	0.14725771	0.66666667	0.70518837	11.522807	2.2299328
MSL	ok	SCORE_GE_8	141	41	17	0.07518193	0.048421246	1	1.4164236	11.425539	2.5373583
AMR	ok	SCORE_GE_8	141	74	24	0.14554478	0.054597648	0.66666667	2.2161983	10.549565	2.208633
EAS	ok	SCORE_GE_8	141	68	24	0.16335633	0.16746698	0.66666667	2.329069	10.483972	2.2024168
ACB	ok	SCORE_GE_8	141	59	20	0.18849718	0.15688257	1	1.8447406	11.145708	2.3356639
MXL	ok	SCORE_GE_8	141	81	24	0.20686565	0.052171911	0.66666667	4.1733083	9.0882411	2.184116
CLM	ok	SCORE_GE_8	141	79	24	0.22467873	0.19505353	0.66666667	3.5185747	9.7948641	2.1753282
KHV	ok	SCORE_GE_8	141	68	24	0.23506901	0.19112082	0.66666667	3.9338961	9.5061941	2.1698495
CHS	ok	SCORE_GE_8	141	69	24	0.262194	0.17446718	0.66666667	3.4828875	9.8566123	2.1543041
CDX	ok	SCORE_GE_8	141	68	24	0.28075367	0.15281343	0.66666667	2.9865593	10.18556	2.1426167
GBR	ok	SCORE_GE_8	141	86	24	0.2843947	0.26212622	0.81818182	3.6177683	10.189978	2.1402223
CEU	ok	SCORE_GE_8	141	101	24	0.29888853	0.15432364	0.81818182	3.7758836	10.026331	2.1303568
ASW	ok	SCORE_GE_8	141	60	21	0.35868301	0.28087505	0.9047619	5.2762876	10.465754	2.1747315
STU	ok	SCORE_GE_8	141	82	24	0.3744588	0.22806391	0.66666667	4.0989817	10.536711	2.0699826
EUR	ok	SCORE_GE_8	141	78	24	0.3944244	0.34862788	0.81818182	5.7206853	9.0962746	2.0514198
ITU	ok	SCORE_GE_8	141	77	24	0.49278295	0.25251493	0.66666667	6.0007882	9.2757558	1.9425317
TSI	ok	SCORE_GE_8	141	76	24	0.49282303	0.34978139	0.81818182	7.0406541	8.6838689	1.942481
PEL	ok	SCORE_GE_8	141	77	24	0.51244643	0.46243028	0.81818182	10.146822	4.5630445	1.9170085
SAS	ok	SCORE_GE_8	141	76	24	0.52508524	0.23365381	0.66666667	6.5784069	9.4583351	1.8998869
GIH	ok	SCORE_GE_8	141	82	24	0.55228864	0.2131661	0.66666667	7.6338489	8.5542494	1.8610505
FIN	ok	SCORE_GE_8	141	80	24	0.56204898	0.34438769	0.81818182	9.2221108	7.0562157	1.8464305
PJL	ok	SCORE_GE_8	141	84	24	0.64459215	0.50142825	0.66666667	8.4397443	9.2574493	1.7067326
BEB	ok	SCORE_GE_8	141	76	23	0.65515819	0.39703443	0.81818182	7.3973732	9.379741	1.7055811
