#column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	outliers	A_Count	C_Count	G_Count	T_Count	N_Count	other_bases	other_base_count
1	1471997	2	37	49468810	33.606597	32.000000	32.000000	37.000000	5.000000	25	37	2,11,12,14,21	400837	394711	472401	203965	83		
2	1471997	2	37	49373632	33.541938	32.000000	32.000000	37.000000	5.000000	25	37	2,11,12,14,21	448599	309133	306812	407386	67		
3	1471997	2	37	50304791	34.174520	32.000000	37.000000	37.000000	5.000000	25	37	2,11,12,14,21,22	362333	324694	447759	337131	80		
4	1471997	2	37	50407809	34.244505	32.000000	37.000000	37.000000	5.000000	25	37	2,11,12,14,21,22	404597	410098	368484	288772	46		
5	1471997	2	37	50503109	34.309247	32.000000	37.000000	37.000000	5.000000	25	37	2,11,12,14,21,22	504300	272444	349746	345506	1		
6	1471997	2	41	53112411	36.081874	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	417970	283280	492354	278269	124		
7	1471997	2	41	53068093	36.051767	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	322646	274119	322423	552753	56		
8	1471997	2	41	53133090	36.095923	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	325929	353876	433329	358847	16		
9	1471997	2	41	53123020	36.089082	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	359210	329023	405679	378064	21		
10	1471997	2	41	53060933	36.046903	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	426041	282414	295055	468464	23		
11	1471997	2	41	53080873	36.060449	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	481021	397124	323897	269946	9		
12	1471997	2	41	53094703	36.069845	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	361414	351949	336386	422241	7		
13	1471997	2	41	53062381	36.047887	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	376770	479096	313115	303010	6		
14	1471997	2	41	53032288	36.027443	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	511888	343836	308615	307560	98		
15	1471997	2	41	53030956	36.026538	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	462680	334310	370301	304702	4		
16	1471997	2	41	53093952	36.069334	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	371430	468911	321426	310218	12		
17	1471997	2	41	53072913	36.055042	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	380604	316424	475125	299840	4		
18	1471997	2	41	53028894	36.025137	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	364619	433981	347524	325860	13		
19	1471997	2	41	53007280	36.010454	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	526537	299733	339043	306680	4		
20	1471997	2	41	53017250	36.017227	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	347919	322343	475033	326698	4		
21	1471997	2	41	52916755	35.948956	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	496949	305861	326683	342499	5		
22	1471997	2	41	52973960	35.987818	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	364650	315985	440167	351186	9		
23	1471997	2	41	52904925	35.940919	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	357190	331375	336209	447209	14		
24	1471997	2	41	52882653	35.925789	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	494188	312578	338106	326983	142		
25	1471997	2	41	52832589	35.891778	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	350283	423679	361854	336162	19		
26	1471997	2	41	52833021	35.892071	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	461544	302541	380199	327689	24		
27	1471997	2	41	52791824	35.864084	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	337475	299763	382572	452125	62		
28	1471997	2	41	52880664	35.924437	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	337596	307322	500010	326994	75		
29	1471997	2	41	52841110	35.897566	36.000000	37.000000	37.000000	1.000000	36	37	2,11,12,14,21,22,25,27,32,41	351991	312591	481790	325530	95		
