	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	pct_counts_in_top_50_genes	pct_counts_in_top_100_genes	pct_counts_in_top_200_genes	pct_counts_in_top_500_genes	n_genes	doublet_score	predicted_doublet	leiden
411	904	6.807934943699926	9607.0	9.170351	46.48693660872281	63.745185802019364	74.81003434995316	91.99542000624544	904	0.49107142857142805	True	0
5000	953	6.860663671448287	9763.0	9.186458	34.29273788794428	52.115128546553315	68.88251562019872	88.57933012393731	953	0.49107142857142805	True	4
5001	951	6.858565034791365	9737.0	9.183791	34.363767074047445	51.35051864023826	68.73780425182294	88.58991475813906	951	0.49107142857142805	True	4
5002	940	6.846943139585379	9779.0	9.188095	34.185499539830246	51.82534001431639	69.35269454954495	89.19112383679312	940	0.49107142857142805	True	4
5003	954	6.86171134048073	9813.0	9.1915655	33.40466727810048	50.687863038826045	68.18506063385306	88.50504432895139	954	0.5935828877005336	True	4
5004	957	6.86484777797086	9780.0	9.188197	34.120654396728014	51.33946830265849	69.01840490797547	88.53783231083845	957	0.5935828877005336	True	4
5005	947	6.854354502255021	9903.0	9.200694	34.080581641926685	51.277390689689994	68.8983136423306	88.93264667272544	947	0.49107142857142805	True	4
5006	955	6.862757913051401	9853.0	9.195633	33.654724449406274	50.8170100477012	68.45630772353599	88.24723434486958	955	0.5935828877005336	True	4
5007	960	6.8679744089702925	9957.0	9.206132	34.82976800241037	51.832881389976905	69.25780857688059	88.79180476047001	960	0.49107142857142805	True	4
5009	956	6.863803391452954	9914.0	9.201804	33.39721605809965	50.867460157353236	68.43857171676417	88.26911438369982	956	0.49107142857142805	True	4
5010	958	6.8658910748834385	9813.0	9.1915655	33.05818811780291	50.912055436665646	68.91878120860083	88.64771221848568	958	0.5935828877005336	True	4
5011	944	6.851184927493743	9826.0	9.192889	34.40871158151842	51.78098921229392	69.2550376552005	88.64237736617137	944	0.49107142857142805	True	4
5012	950	6.85751406254539	9809.0	9.191157	33.13283719033541	49.86237129167092	67.82546640840044	87.99062085839535	950	0.5935828877005336	True	4
5013	947	6.854354502255021	9790.0	9.1892185	33.850868232890704	51.86925434116445	69.48927477017365	89.02962206332992	947	0.5935828877005336	True	4
5014	949	6.856461984594587	9786.0	9.18881	34.1406090333129	51.44083384426732	69.16002452483139	88.75945227876558	949	0.5935828877005336	True	4
5015	937	6.843749949006225	9757.0	9.1858425	33.65788664548529	51.614225684124214	69.33483652762119	88.98226914010453	937	0.5935828877005336	True	4
5016	956	6.863803391452954	9792.0	9.189424	33.31290849673202	50.82720588235294	69.06658496732027	88.62336601307189	956	0.5935828877005336	True	4
5017	944	6.851184927493743	9915.0	9.201905	34.321734745335355	52.08270297528996	69.51084215834594	88.92586989409985	944	0.5935828877005336	True	4
