	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	pct_counts_in_top_50_genes	pct_counts_in_top_100_genes	pct_counts_in_top_200_genes	pct_counts_in_top_500_genes
40	877	6.777646593635117	9613.0	9.170976	47.38375117029023	63.372516384063246	74.72173098928533	91.9380006241548
113	876	6.776506992372183	9448.0	9.153665	47.343353090601184	63.9817950889077	75.24343776460627	92.29466553767993
118	873	6.773080375655535	9542.0	9.163563	46.26912596939845	62.890379375393	74.00964158457346	91.82561307901908
145	869	6.76849321164863	9639.0	9.1736765	47.33893557422969	64.11453470277	74.98703184977695	92.22948438634712
152	877	6.777646593635117	9550.0	9.164401	46.96335078534031	64.01047120418848	74.9738219895288	91.85340314136126
157	875	6.775366090936392	9551.0	9.164506	46.38257774055073	63.31274212124385	74.30635535546017	91.76002512825883
370	875	6.775366090936392	9649.0	9.174713	47.362420976266975	63.944450202093485	75.18913877085708	92.11317234946627
451	873	6.773080375655535	9600.0	9.169622	47.802083333333336	64.85416666666667	75.34375	92.32291666666667
510	876	6.776506992372183	9579.0	9.167433	47.11347739847584	64.09854890907192	74.96607161499112	92.27476772105648
694	877	6.777646593635117	9524.0	9.161675	47.48005039899202	63.85972280554388	74.9055018899622	92.17765644687105
817	873	6.773080375655535	9516.0	9.160835	47.17318200924758	63.860865910046236	75.0	91.91887347625052
936	874	6.774223886357614	9572.0	9.166702	47.08524864187213	63.93648140409528	75.07312996239031	92.07062264939407
1017	876	6.776506992372183	9529.0	9.1622	47.95886241998111	64.85465421345367	75.7477174939658	92.21324378213873
1137	872	6.771935555839602	9607.0	9.170351	47.03861767461226	63.880503799313004	75.28885187883834	92.37014676798168
1198	870	6.769641976852503	9539.0	9.163249	47.41587168466296	64.37781738127686	75.33284411363874	92.54638851032603
1350	877	6.777646593635117	9592.0	9.168789	47.768974145120936	64.72060050041702	75.50041701417848	92.43119266055045
1658	874	6.774223886357614	9577.0	9.167224	47.488775190560716	64.31032682468414	75.08614388639448	91.86592878772059
1712	877	6.777646593635117	9585.0	9.168059	47.70996348461137	64.16275430359939	75.36776212832551	92.35263432446531
1774	872	6.771935555839602	9491.0	9.158205	46.68633442208408	63.407438626066806	74.49162364345169	91.73954272468654
2199	870	6.769641976852503	9715.0	9.181529	47.431806484817294	64.13793103448275	75.12094698919198	92.18733916623778
2278	875	6.775366090936392	9656.0	9.175438	47.17274233637117	63.68061309030655	74.71002485501242	92.06710853355426
2761	877	6.777646593635117	10301.0	9.240093	51.412484224832546	65.94505387826425	76.57508979710708	92.321133870498
3003	877	6.777646593635117	10158.0	9.226115	51.811380192951376	65.8298877731837	76.25516834022446	92.74463477062413
3681	874	6.774223886357614	9992.0	9.2096405	51.74139311449159	65.33226581265012	76.02081665332265	92.38390712570056
4250	877	6.777646593635117	9740.0	9.184099	48.26488706365503	65.39014373716633	76.00616016427105	92.68993839835728
4253	870	6.769641976852503	9754.0	9.185535	48.12384662702481	65.46032396965347	76.18412958786139	92.26983801517326
4276	869	6.76849321164863	9971.0	9.207537	48.290041119245814	65.93120048139605	76.71246615184035	92.73894293451008
4277	870	6.769641976852503	9795.0	9.18973	48.994384890250124	65.91117917304747	76.2736089841756	92.57784583971413
4278	873	6.773080375655535	9744.0	9.184509	47.94745484400657	65.43513957307061	75.7799671592775	92.39532019704434
4315	876	6.776506992372183	9590.0	9.16858	48.6339937434828	66.71532846715328	76.86131386861314	92.54431699687174
4330	877	6.777646593635117	9690.0	9.178953	48.08049535603715	65.12899896800826	75.43859649122807	92.71413828689371
4341	873	6.773080375655535	9811.0	9.191361	47.82387116501886	65.10039751299563	75.60901029456733	92.30455611048822
4344	876	6.776506992372183	9847.0	9.195024	49.35513354321113	66.67005179242409	76.83558444196203	92.56626383670154
4413	877	6.777646593635117	9780.0	9.188197	49.02862985685071	66.02249488752557	76.58486707566462	92.76073619631902
4428	876	6.776506992372183	9795.0	9.18973	48.381827462991325	65.89076059213885	76.47779479326186	92.82286881061766
4438	877	6.777646593635117	9663.0	9.176163	48.3183276415192	65.34202628583256	76.02193935630757	92.42471282210494
4440	875	6.775366090936392	9843.0	9.194617	48.01381692573403	65.52880219445291	76.00325104134919	92.25845778725999
4450	868	6.767343125265392	9950.0	9.205428	48.663316582914575	65.88944723618091	76.17085427135677	92.64321608040201
4461	876	6.776506992372183	9774.0	9.187583	48.58809085328422	65.88909351340291	76.4988745651729	92.4084305299775
4464	870	6.769641976852503	9666.0	9.176474	48.61369749637906	66.06662528450238	76.6190771777364	92.90295882474653
4500	873	6.773080375655535	9826.0	9.192889	48.08670873193568	64.93995522084266	75.6971300630979	92.54019947079178
4517	877	6.777646593635117	9741.0	9.184202	48.51657940663176	65.72220511241146	76.20367518735243	92.45457345241762
4527	874	6.774223886357614	9799.0	9.190138	48.19879579548933	65.06786406776202	75.38524339218287	92.3971833860598
4536	873	6.773080375655535	9727.0	9.182764	48.175182481751825	65.08687159453069	75.67595353140743	92.48483602343991
4548	874	6.774223886357614	9661.0	9.175956	47.852189214367044	65.40730773211882	75.75820308456682	92.31963564848358
4550	873	6.773080375655535	9679.0	9.177817	47.938836656679406	65.39931811137514	75.92726521334848	92.43723525157557
4554	875	6.775366090936392	9825.0	9.192787	48.15267175572519	65.45547073791349	75.87786259541984	92.58015267175573
4598	872	6.771935555839602	9904.0	9.200795	48.525848142164776	66.10460420032311	76.37318255250403	92.46768982229402
4613	873	6.773080375655535	9728.0	9.182866	48.56085526315789	65.41940789473685	75.91488486842105	92.78371710526315
4616	876	6.776506992372183	9779.0	9.188095	49.36087534512731	66.08037631659678	76.50066468964106	92.92361182124962
4649	877	6.777646593635117	9713.0	9.181323	48.738803665190986	65.69545969319469	76.19684958303304	92.15484402347369
4661	875	6.775366090936392	9728.0	9.182866	48.86924342105263	66.16981907894737	76.34662828947368	92.54728618421053
4663	875	6.775366090936392	9777.0	9.18789	47.91858443285261	65.58248951621152	75.95376904981079	92.63577784596502
4666	877	6.777646593635117	9932.0	9.203618	49.01329037454692	65.9786548530004	76.30890052356021	92.49899315344342
4675	872	6.771935555839602	9786.0	9.18881	48.20151236460249	65.15430206417331	76.25178826895565	92.49948906601267
4700	876	6.776506992372183	9633.0	9.173054	47.887470154676635	65.0264715042043	75.33478667081907	91.97550088238347
4704	874	6.774223886357614	9667.0	9.176577	48.42246819075204	65.8322126823213	76.14565014999482	92.3554360194476
4709	874	6.774223886357614	9802.0	9.190444	48.8267700469292	66.02734135890634	76.2497449500102	92.61375229544991
4713	875	6.775366090936392	9786.0	9.18881	48.33435520130799	65.113427345187	75.68976088289394	92.2644594318414
