	n_genes_by_counts	log1p_n_genes_by_counts	total_counts	log1p_total_counts	pct_counts_in_top_50_genes	pct_counts_in_top_100_genes	pct_counts_in_top_200_genes	pct_counts_in_top_500_genes
39	907	6.811244378601294	9476.0	9.156623	47.0873786407767	64.32038834951457	75.45377796538624	91.65259603208105
56	895	6.79794041297493	9490.0	9.158099	46.31190727081138	63.55110642781876	74.88935721812435	91.83350895679663
71	896	6.799055862058796	9496.0	9.158731	46.94608256107835	63.9743049705139	74.7893850042123	91.49115417017691
78	912	6.816735880594968	9499.0	9.159047	46.12064427834509	63.08032424465734	74.2393936203811	91.3780397936625
83	895	6.79794041297493	9489.0	9.157994	46.78048266413742	63.684265992201496	74.5389398250606	91.52703129939931
103	898	6.80128303447162	9404.0	9.148996	46.82050191407912	63.46235644406636	74.40450871969375	91.7907273500638
109	904	6.807934943699926	9465.0	9.155461	47.34284204965663	63.634442683571045	74.67511885895404	91.39989434759642
113	876	6.776506992372183	9448.0	9.153665	47.343353090601184	63.9817950889077	75.24343776460627	92.29466553767993
129	882	6.78332520060396	9497.0	9.158836	47.00431715278509	63.430557018005686	74.20237969885227	91.58681688954407
131	900	6.803505257608338	9448.0	9.153665	47.692633361558	64.12997459779848	74.8835732430144	91.72311600338696
139	898	6.80128303447162	9357.0	9.143987	46.24345409853586	62.894089986106664	73.93395319012504	91.74949235866197
149	893	6.795705775173515	9485.0	9.157573	47.5065893516078	64.51238798102267	75.39272535582498	92.00843437005798
169	911	6.815639990074331	9451.0	9.153981	47.45529573590097	63.71812506613057	74.70108983176384	91.54586816209925
181	893	6.795705775173515	9486.0	9.157678	47.33291165928737	64.1471642420409	74.67847353995361	91.73518869913558
195	901	6.804614520062624	9476.0	9.156623	46.69691853102575	63.011819333051925	74.22963275643731	91.44153651329675
200	897	6.8001700683022	9473.0	9.156306	46.10999683310461	62.90509870157289	73.94700728385939	91.42826981948696
219	888	6.790097235513905	9466.0	9.155567	46.66173674202408	63.458694274244664	74.26579336572998	91.85506021550813
249	896	6.799055862058796	9382.0	9.146655	47.21807716904711	63.81368578128331	75.44233638882967	91.89938179492646
265	893	6.795705775173515	9498.0	9.158942	46.862497367866915	63.16066540324279	74.02611076016004	91.33501789850494
275	887	6.78897174299217	9433.0	9.152076	46.45393830170678	63.807908406657475	74.7800275628114	91.86897063500477
