gene	rho	p
A1BG (1)	-0.04829951187530683	0.1088875444806876
A1CF (29974)	-0.02861511331211655	0.34238361398909095
A2M (2)	-0.0047893286238449495	0.87376256997688
A2ML1 (144568)	-0.0796831048236498	0.008106511483768482
A3GALT2 (127550)	-0.07809860180681678	0.009464862755304955
A4GALT (53947)	0.012409749945900227	0.6805635414405066
A4GNT (51146)	-0.09088946436924308	0.002516061260166125
AAAS (8086)	-0.08288107558729338	0.0058832413183706345
AACS (65985)	-0.013910980181425748	0.6444383311539822
AADAC (13)	0.02100745978130945	0.48581912887578665
AADACL2 (344752)	-0.032232915224755194	0.2848148124530494
AADACL3 (126767)	-0.05898177517323431	0.05018850198162508
AADACL4 (343066)	0.008515678033743979	0.7775583008939133
AADAT (51166)	-0.05127295736180644	0.08874829841890644
AAGAB (79719)	0.1133071217094832	0.0001626101513223507
AAK1 (22848)	-0.09484612678501728	0.0016131611316019501
AAMDC (28971)	-0.0881463028911544	0.0033912447623470183
AAMP (14)	-0.001348369495119023	0.9643220889443865
AANAT (15)	-0.0388003421682708	0.19787160697556422
AAR2 (25980)	0.05961793748337328	0.047758205693491554
AARD (441376)	0.014142195879237207	0.6389455189056354
AARS1 (16)	0.019904065805052856	0.509023703072871
AARS2 (57505)	0.018139459457485664	0.5473045663217807
AARSD1 (80755)	-0.051005987961516244	0.09042427097335272
AASDH (132949)	0.0003950408362267073	0.9895440214098168
AASDHPPT (60496)	0.04446982750873247	0.13995389365509078
AASS (10157)	0.003846497657276464	0.8984628686156834
AATF (26574)	-0.02794907996943749	0.35374070537921476
AATK (9625)	0.04503217298333755	0.13500686804601242
ABAT (18)	0.04667213766763616	0.1213490907479777
ABCA1 (19)	-0.030296712383507302	0.3147584637224904
ABCA10 (10349)	-0.04065851123243875	0.17722304976527306
ABCA12 (26154)	0.08895623414988348	0.00310770319734051
ABCA13 (154664)	0.017117069720036786	0.5701167111497449
ABCA2 (20)	-0.09327328103706925	0.0019287467286371826
ABCA3 (21)	0.015165430837833857	0.61487730627711
ABCA4 (24)	-0.140561146617144	2.782848530108796e-06
ABCA5 (23461)	-0.015651582316864986	0.6035835875539732
ABCA6 (23460)	-0.07250497955496923	0.01602107491492547
ABCA7 (10347)	0.023143337807096324	0.4425733401199122
ABCA8 (10351)	-0.029621798336852207	0.3256650775361351
ABCA9 (10350)	-0.05074025834886977	0.09211761982330958
ABCB1 (5243)	0.06177556296249352	0.0402388390258729
ABCB10 (23456)	-0.03257508100858069	0.27973018922281717
ABCB11 (8647)	-0.09586920671328428	0.0014341453629275085
ABCB4 (5244)	0.03735784685436352	0.21507379993120548
ABCB5 (340273)	-0.04657399183447685	0.12213486529128308
ABCB6 (10058)	-0.10551125668499939	0.0004480907445133639
ABCB7 (22)	0.06588832893078024	0.02865915951364992
ABCB8 (11194)	-0.08670523908979147	0.00395448812214383
ABCB9 (23457)	-0.0222206969916441	0.4609790371814625
ABCC1 (4363)	0.0423697151704242	0.15966612059866644
ABCC10 (89845)	0.00027864594186505416	0.9926246666649016
ABCC11 (85320)	-0.04280921419150886	0.15537634180037402
ABCC12 (94160)	-0.011861668456698471	0.6939426175445138
ABCC2 (1244)	-0.07289586627420676	0.015458560089433736
ABCC3 (8714)	0.13161290231372827	1.1588638509779141e-05
