ENSEMBL	SYMBOL
ENSG00000140465	CYP1A1
ENSG00000119125	GDA
ENSG00000153292	ADGRF1
ENSG00000166949	SMAD3
ENSG00000163659	TIPARP
ENSG00000138061	CYP1B1
ENSG00000185551	NR2F2
ENSG00000138678	GPAT3
ENSG00000101665	SMAD7
ENSG00000135932	CAB39
ENSG00000183087	GAS6
ENSG00000129474	AJUBA
ENSG00000253368	TRNP1
ENSG00000177494	ZBED2
ENSG00000164484	TMEM200A
ENSG00000148426	PROSER2
ENSG00000114812	VIPR1
ENSG00000130518	IQCN
ENSG00000100003	SEC14L2
ENSG00000105997	HOXA3
ENSG00000272482	NA
ENSG00000063438	AHRR
ENSG00000235523	NA
ENSG00000184254	ALDH1A3
ENSG00000102678	FGF9
ENSG00000243629	LINC00880
ENSG00000166833	NAV2
ENSG00000240875	LINC00886
ENSG00000010072	SPRTN
ENSG00000182319	NA
ENSG00000105991	HOXA1
ENSG00000012124	CD22
ENSG00000103044	HAS3
ENSG00000104524	PYCR3
ENSG00000253187	HOXA10-AS
ENSG00000137834	SMAD6
ENSG00000146070	PLA2G7
ENSG00000253552	NA
ENSG00000158483	FAM86C1P
ENSG00000115844	DLX2
ENSG00000197191	CYSRT1
ENSG00000250645	NA
ENSG00000159307	SCUBE1
ENSG00000250899	NA
ENSG00000198890	PRMT6
ENSG00000183840	GPR39
ENSG00000233429	HOTAIRM1
ENSG00000255158	NA
ENSG00000203306	NA
ENSG00000138347	MYPN
ENSG00000255121	NA
ENSG00000169715	MT1E
ENSG00000112139	MDGA1
