ENSEMBL	SYMBOL
ENSG00000166949	SMAD3
ENSG00000138678	GPAT3
ENSG00000135318	NT5E
ENSG00000162496	DHRS3
ENSG00000115756	HPCAL1
ENSG00000188549	CCDC9B
ENSG00000119125	GDA
ENSG00000137936	BCAR3
ENSG00000140950	MEAK7
ENSG00000188112	C6orf132
ENSG00000178038	ALS2CL
ENSG00000140465	CYP1A1
ENSG00000115648	MLPH
ENSG00000180263	FGD6
ENSG00000100003	SEC14L2
ENSG00000153292	ADGRF1
ENSG00000119777	TMEM214
ENSG00000137309	HMGA1
ENSG00000088340	FER1L4
ENSG00000187193	MT1X
ENSG00000142910	TINAGL1
ENSG00000176986	SEC24C
ENSG00000129474	AJUBA
ENSG00000130518	IQCN
ENSG00000176018	LYSMD3
ENSG00000064393	HIPK2
ENSG00000158286	RNF207
ENSG00000166987	MBD6
ENSG00000171903	CYP4F11
ENSG00000166783	MARF1
ENSG00000187800	PEAR1
ENSG00000112977	DAP
ENSG00000221963	APOL6
ENSG00000186007	LEMD1
ENSG00000059122	FLYWCH1
ENSG00000180530	NRIP1
ENSG00000168477	TNXB
ENSG00000140961	OSGIN1
ENSG00000172137	CALB2
ENSG00000145782	ATG12
ENSG00000159216	RUNX1
ENSG00000159216	LOC100506403
ENSG00000173599	PC
ENSG00000136152	COG3
ENSG00000262580	NA
ENSG00000272482	NA
ENSG00000113615	SEC24A
ENSG00000148426	PROSER2
ENSG00000232187	NA
ENSG00000106080	FKBP14
ENSG00000107738	VSIR
ENSG00000167778	SPRYD3
ENSG00000261286	ATP2C2-AS1
ENSG00000135709	KIAA0513
ENSG00000198198	SZT2
ENSG00000187720	THSD4
ENSG00000261326	NA
ENSG00000163814	CDCP1
ENSG00000078269	SYNJ2
ENSG00000103647	CORO2B
ENSG00000072182	ASIC4
ENSG00000103187	COTL1
ENSG00000146648	EGFR
ENSG00000183087	GAS6
ENSG00000149115	TNKS1BP1
ENSG00000107554	DNMBP
ENSG00000107862	GBF1
ENSG00000249592	PCGF3-AS1
ENSG00000168056	LTBP3
ENSG00000178104	PDE4DIP
ENSG00000178104	LOC124904395
ENSG00000189223	PAX8-AS1
ENSG00000188064	WNT7B
ENSG00000010438	PRSS3
ENSG00000167106	EEIG1
ENSG00000214135	NA
ENSG00000197712	FAM114A1
ENSG00000215012	RTL10
ENSG00000181789	COPG1
ENSG00000169242	EFNA1
ENSG00000236333	NA
ENSG00000167608	TMC4
ENSG00000134070	IRAK2
ENSG00000099250	NRP1
ENSG00000180398	MCFD2
ENSG00000156011	PSD3
ENSG00000173530	TNFRSF10D
ENSG00000058085	LAMC2
ENSG00000090615	GOLGA3
ENSG00000139725	RHOF
ENSG00000131037	EPS8L1
ENSG00000147010	SH3KBP1
ENSG00000112473	SLC39A7
ENSG00000117525	F3
ENSG00000142459	EVI5L
ENSG00000131791	PRKAB2
ENSG00000125449	ARMC7
ENSG00000138073	PREB
ENSG00000012124	CD22
ENSG00000205277	MUC12
ENSG00000110047	EHD1
ENSG00000086062	B4GALT1
ENSG00000173482	PTPRM
ENSG00000173011	TADA2B
ENSG00000086730	LAT2
ENSG00000188206	NA
ENSG00000006025	OSBPL7
ENSG00000155744	HYCC2
ENSG00000074842	MYDGF
ENSG00000267453	NA
ENSG00000124151	NCOA3
ENSG00000188177	ZC3H6
ENSG00000125875	TBC1D20
ENSG00000048707	VPS13D
ENSG00000167625	ZNF526
ENSG00000185716	MOSMO
ENSG00000133624	NA
ENSG00000167110	GOLGA2
ENSG00000101199	ARFGAP1
ENSG00000151136	ABTB3
ENSG00000142188	TMEM50B
ENSG00000267056	LOC729654
ENSG00000092871	RFFL
ENSG00000165699	TSC1
ENSG00000167977	KCTD5
ENSG00000067182	TNFRSF1A
ENSG00000161638	ITGA5
ENSG00000197217	ENTPD4
ENSG00000140743	CDR2
ENSG00000135932	CAB39
ENSG00000189120	SP6
ENSG00000142765	SYTL1
ENSG00000151693	ASAP2
ENSG00000018408	WWTR1
ENSG00000214021	TTLL3
ENSG00000154803	FLCN
ENSG00000033100	CHPF2
ENSG00000072415	PALS1
ENSG00000112769	LAMA4
ENSG00000106683	LIMK1
ENSG00000175376	EIF1AD
ENSG00000124191	TOX2
ENSG00000188997	KCTD21
ENSG00000170919	NA
ENSG00000163703	CRELD1
ENSG00000204540	PSORS1C1
ENSG00000023171	GRAMD1B
ENSG00000131061	ZNF341
ENSG00000164244	PRRC1
ENSG00000167601	AXL
ENSG00000165474	GJB2
ENSG00000233429	HOTAIRM1
ENSG00000250920	NA
ENSG00000069535	MAOB
ENSG00000068724	TTC7A
ENSG00000198799	LRIG2
ENSG00000145244	CORIN
ENSG00000186951	PPARA
ENSG00000143393	PI4KB
ENSG00000100055	CYTH4
ENSG00000135407	AVIL
ENSG00000234975	FTH1P2
ENSG00000006432	MAP3K9
ENSG00000258839	MC1R
ENSG00000065923	SLC9A7
ENSG00000119326	CTNNAL1
ENSG00000171124	FUT3
ENSG00000236714	LINC01844
ENSG00000251474	NA
ENSG00000145685	LHFPL2
ENSG00000182372	CLN8
ENSG00000120899	PTK2B
ENSG00000140400	MAN2C1
ENSG00000114982	KANSL3
ENSG00000149716	LTO1
ENSG00000013392	RWDD2A
ENSG00000092421	SEMA6A
ENSG00000186642	PDE2A
ENSG00000137819	PAQR5
ENSG00000084764	MAPRE3
ENSG00000182827	ACBD3
ENSG00000147144	CCDC120
ENSG00000120798	NR2C1
ENSG00000151553	FHIP2A
ENSG00000105997	HOXA3
ENSG00000134109	EDEM1
ENSG00000224660	SH3BP5-AS1
ENSG00000249992	TMEM158
ENSG00000125347	IRF1
ENSG00000108433	GOSR2
ENSG00000165813	CCDC186
ENSG00000260336	NA
ENSG00000106351	AGFG2
ENSG00000182795	C1orf116
ENSG00000163702	IL17RC
ENSG00000167987	VPS37C
ENSG00000134262	AP4B1
ENSG00000268223	ARL14EPL
ENSG00000260877	NA
ENSG00000182400	TRAPPC6B
ENSG00000076513	ANKRD13A
ENSG00000102312	PORCN
ENSG00000168010	ATG16L2
ENSG00000120549	KIAA1217
ENSG00000213398	LCAT
ENSG00000234616	JRK
ENSG00000214176	NA
ENSG00000128165	ADM2
ENSG00000148346	LCN2
ENSG00000158863	FHIP2B
ENSG00000110628	SLC22A18
ENSG00000087510	TFAP2C
ENSG00000102401	ARMCX3
ENSG00000172613	RAD9A
ENSG00000095383	TBC1D2
ENSG00000143457	GOLPH3L
ENSG00000160785	SLC25A44
ENSG00000168040	FADD
ENSG00000023909	GCLM
ENSG00000172007	RAB33B
ENSG00000172901	LVRN
ENSG00000150401	DCUN1D2
ENSG00000242086	SDHAP2
ENSG00000170485	NPAS2
ENSG00000133056	PIK3C2B
ENSG00000114270	COL7A1
ENSG00000100060	MFNG
ENSG00000261068	NA
ENSG00000242247	ARFGAP3
ENSG00000169031	COL4A3
ENSG00000187609	EXD3
ENSG00000070190	DAPP1
ENSG00000090020	SLC9A1
ENSG00000185485	NA
ENSG00000178607	ERN1
ENSG00000066248	NGEF
ENSG00000183196	CHST6
ENSG00000103534	TMC5
ENSG00000134955	SLC37A2
ENSG00000124602	UNC5CL
ENSG00000112599	GUCA1B
ENSG00000122733	PHF24
ENSG00000160062	ZBTB8A
ENSG00000181035	SLC25A42
ENSG00000177042	TMEM80
ENSG00000174292	TNK1
ENSG00000232442	MHENCR
ENSG00000114841	DNAH1
ENSG00000214050	FBXO16
ENSG00000186017	ZNF566
ENSG00000229180	NA
ENSG00000182732	RGS6
ENSG00000214595	EML6
ENSG00000143669	LYST
ENSG00000184271	POU6F1
ENSG00000181982	CCDC149
ENSG00000225339	NA
ENSG00000186501	TMEM222
ENSG00000166484	MAPK7
ENSG00000186567	CEACAM19
ENSG00000140650	PMM2
ENSG00000140650	LOC100130283
ENSG00000238178	NA
ENSG00000167130	DOLPP1
ENSG00000162840	NA
ENSG00000091592	NLRP1
ENSG00000177125	ZBTB34
ENSG00000175106	TVP23C
ENSG00000105219	CCNP
ENSG00000175066	GK5
ENSG00000261015	NA
ENSG00000198121	LPAR1
ENSG00000205356	TECPR1
ENSG00000129538	RNASE1
ENSG00000160961	ZNF333
ENSG00000142233	NTN5
ENSG00000152766	ANKRD22
ENSG00000269343	ZNF587B
ENSG00000047644	WWC3
ENSG00000085465	OVGP1
ENSG00000128510	CPA4
ENSG00000127580	WDR24
ENSG00000010310	GIPR
ENSG00000110427	KIAA1549L
ENSG00000063438	AHRR
ENSG00000233589	NA
ENSG00000137825	ITPKA
ENSG00000164663	USP49
ENSG00000152154	TMEM178A
ENSG00000203306	NA
ENSG00000180535	BHLHA15
ENSG00000246922	UBAP1L
ENSG00000144867	SRPRB
ENSG00000174989	FBXW8
ENSG00000089177	KIF16B
ENSG00000111801	BTN3A3
ENSG00000181444	ZNF467
ENSG00000157036	EXOG
ENSG00000143365	RORC
ENSG00000089723	OTUB2
ENSG00000114812	VIPR1
ENSG00000085063	CD59
ENSG00000173269	MMRN2
ENSG00000080561	MID2
ENSG00000106133	NA
ENSG00000115525	ST3GAL5
ENSG00000261556	SMG1P7
ENSG00000196296	ATP2A1
ENSG00000188488	SERPINA5
ENSG00000147437	GNRH1
ENSG00000153157	SYCP2L
ENSG00000198018	ENTPD7
ENSG00000236255	NA
ENSG00000170100	ZNF778
