SampleID	Group	SampleIDGroup
1	1	Untreated	11
1	2	Untreated	12
1	3	Untreated	13
2	1	Serum_starvation	21
2	2	Serum_starvation	22
2	3	Serum_starvation	23
3	1	DMSO	31
3	2	DMSO	32
3	3	DMSO	33
4	1	DMSO_Serum_starvation	41
4	2	DMSO_Serum_starvation	42
4	3	DMSO_Serum_starvation	43
5	1	Cisplatin_IC50	51
5	2	Cisplatin_IC50	52
5	3	Cisplatin_IC50	53
6	1	Cisplatin_IC50_Serum_starvation_16h	61
6	2	Cisplatin_IC50_Serum_starvation_16h	62
6	3	Cisplatin_IC50_Serum_starvation_16h	63
7	1	CBD_IC50	71
7	2	CBD_IC50	72
7	3	CBD_IC50	73
8	1	CBD_IC50_Serum_starvation_16h	81
8	2	CBD_IC50_Serum_starvation_16h	82
8	3	CBD_IC50_Serum_starvation_16h	83
9	1	Cisplatin_IC50_CBD_IC50	91
9	2	Cisplatin_IC50_CBD_IC50	92
9	3	Cisplatin_IC50_CBD_IC50	93
10	1	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h	101
10	2	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h	102
10	3	Cisplatin_IC50_CBD_IC50_Serum_starvation_16h	103
