ENSEMBL	SYMBOL
ENSG00000112972	HMGCS1
ENSG00000049130	KITLG
ENSG00000113161	HMGCR
ENSG00000079459	FDFT1
ENSG00000114315	HES1
ENSG00000196950	SLC39A10
ENSG00000125378	BMP4
ENSG00000160285	LSS
ENSG00000120437	ACAT2
ENSG00000099194	SCD
ENSG00000160752	FDPS
ENSG00000168209	DDIT4
ENSG00000052802	MSMO1
ENSG00000121621	KIF18A
ENSG00000116133	DHCR24
ENSG00000105974	CAV1
ENSG00000172893	DHCR7
ENSG00000103888	CEMIP
ENSG00000092964	DPYSL2
ENSG00000103018	CYB5B
ENSG00000170522	ELOVL6
ENSG00000104549	SQLE
ENSG00000167508	MVD
ENSG00000109084	TMEM97
ENSG00000149485	FADS1
ENSG00000054654	SYNE2
ENSG00000112245	PTP4A1
ENSG00000149639	MTCL2
ENSG00000242265	PEG10
ENSG00000163032	VSNL1
ENSG00000117632	STMN1
ENSG00000165030	NFIL3
ENSG00000164684	ZNF704
ENSG00000067064	IDI1
ENSG00000128050	PAICS
ENSG00000177707	NECTIN3
ENSG00000131473	ACLY
ENSG00000117593	DARS2
ENSG00000179094	PER1
ENSG00000138413	IDH1
ENSG00000169174	PCSK9
ENSG00000132341	RAN
ENSG00000112837	TBX18
ENSG00000185347	TEDC1
ENSG00000115758	ODC1
ENSG00000115884	SDC1
ENSG00000101670	LIPG
ENSG00000134243	SORT1
ENSG00000075213	SEMA3A
ENSG00000172059	KLF11
ENSG00000124766	SOX4
ENSG00000029993	HMGB3
ENSG00000127955	GNAI1
ENSG00000171282	NA
ENSG00000198618	NA
ENSG00000104833	TUBB4A
ENSG00000116717	GADD45A
ENSG00000198830	HMGN2
ENSG00000185432	TMT1A
ENSG00000155368	DBI
ENSG00000132196	HSD17B7
ENSG00000088986	DYNLL1
ENSG00000189403	HMGB1
ENSG00000226887	ERVMER34-1
ENSG00000132142	NA
ENSG00000143401	ANP32E
ENSG00000150347	ARID5B
ENSG00000154473	BUB3
ENSG00000087074	PPP1R15A
ENSG00000123983	ACSL3
ENSG00000128641	MYO1B
ENSG00000180354	MTURN
ENSG00000135821	GLUL
ENSG00000151726	ACSL1
ENSG00000086061	DNAJA1
ENSG00000120694	HSPH1
ENSG00000081320	STK17B
ENSG00000175130	MARCKSL1
ENSG00000198142	SOWAHC
ENSG00000111885	MAN1A1
ENSG00000159200	RCAN1
ENSG00000133935	ERG28
ENSG00000186352	ANKRD37
ENSG00000146281	PM20D2
ENSG00000214357	NEURL1B
ENSG00000139291	TMEM19
ENSG00000164211	STARD4
ENSG00000120802	TMPO
ENSG00000122565	CBX3
ENSG00000151466	SCLT1
ENSG00000146247	PHIP
ENSG00000133739	LRRCC1
ENSG00000071539	TRIP13
ENSG00000109929	SC5D
ENSG00000178105	DDX10
ENSG00000135829	DHX9
ENSG00000125944	HNRNPR
ENSG00000110492	MDK
ENSG00000105255	FSD1
ENSG00000110172	CHORDC1
ENSG00000158050	DUSP2
ENSG00000111331	OAS3
ENSG00000203727	SAMD5
ENSG00000111615	KRR1
ENSG00000119655	NPC2
ENSG00000141858	SAMD1
ENSG00000118515	SGK1
ENSG00000109189	USP46
ENSG00000152518	ZFP36L2
ENSG00000155189	AGPAT5
ENSG00000136943	CTSV
ENSG00000076706	MCAM
ENSG00000043355	ZIC2
ENSG00000165072	MAMDC2
ENSG00000185745	IFIT1
ENSG00000137563	GGH
ENSG00000126945	HNRNPH2
ENSG00000139428	MMAB
ENSG00000203668	CHML
ENSG00000203668	OPN3
ENSG00000110921	MVK
ENSG00000115457	IGFBP2
ENSG00000155629	PIK3AP1
ENSG00000078114	NEBL
ENSG00000203667	COX20
ENSG00000185480	PARPBP
ENSG00000120526	NUDCD1
ENSG00000145375	AFG2A
ENSG00000148841	ITPRIP
ENSG00000179403	VWA1
ENSG00000179750	APOBEC3B
ENSG00000174607	UGT8
ENSG00000146143	PRIM2
ENSG00000183248	PRR36
ENSG00000148737	TCF7L2
ENSG00000081189	MEF2C
ENSG00000005249	PRKAR2B
ENSG00000116830	TTF2
