ENSEMBL	SYMBOL
ENSG00000235750	KIAA0040
ENSG00000186352	ANKRD37
ENSG00000163032	VSNL1
ENSG00000150347	ARID5B
ENSG00000087074	PPP1R15A
ENSG00000205189	ZBTB10
ENSG00000196950	SLC39A10
ENSG00000071575	TRIB2
ENSG00000126870	DYNC2I1
ENSG00000165507	DEPP1
ENSG00000175197	DDIT3
ENSG00000059804	SLC2A3
ENSG00000187231	SESTD1
ENSG00000273079	GRIN2B
ENSG00000165434	PGM2L1
ENSG00000078114	NEBL
ENSG00000105613	MAST1
ENSG00000183696	UPP1
ENSG00000164983	TMEM65
ENSG00000127311	HELB
ENSG00000152284	TCF7L1
ENSG00000159433	STARD9
ENSG00000126016	AMOT
ENSG00000099822	HCN2
ENSG00000104967	NOVA2
ENSG00000181722	ZBTB20
ENSG00000167771	RCOR2
ENSG00000157514	TSC22D3
ENSG00000091428	RAPGEF4
ENSG00000172059	KLF11
ENSG00000183248	PRR36
ENSG00000181458	TMEM45A
ENSG00000102781	KATNAL1
ENSG00000114315	HES1
ENSG00000100167	SEPTIN3
ENSG00000178538	CA8
ENSG00000248019	FAM13A-AS1
ENSG00000137825	ITPKA
ENSG00000131650	KREMEN2
ENSG00000059728	MXD1
ENSG00000105784	RUNDC3B
ENSG00000103089	FA2H
ENSG00000182389	CACNB4
ENSG00000180815	MAP3K15
ENSG00000155846	PPARGC1B
ENSG00000130270	ATP8B3
ENSG00000163710	PCOLCE2
ENSG00000170379	TCAF2
ENSG00000119547	ONECUT2
ENSG00000094841	UPRT
ENSG00000243477	NAA80
ENSG00000185920	PTCH1
ENSG00000138193	PLCE1
ENSG00000116990	MYCL
ENSG00000158079	PTPDC1
ENSG00000178878	APOLD1
ENSG00000100027	YPEL1
ENSG00000130940	CASZ1
ENSG00000167619	TMEM145
ENSG00000185585	OLFML2A
ENSG00000164603	BMT2
ENSG00000169184	MN1
ENSG00000242265	PEG10
ENSG00000179750	APOBEC3B
ENSG00000182600	SNORC
ENSG00000126368	NR1D1
ENSG00000111860	CEP85L
ENSG00000196159	FAT4
ENSG00000157510	AFAP1L1
ENSG00000162998	FRZB
ENSG00000099994	SUSD2
ENSG00000272033	NA
ENSG00000141622	ARK2C
ENSG00000147036	LANCL3
ENSG00000101265	RASSF2
ENSG00000064300	NGFR
ENSG00000162409	PRKAA2
ENSG00000243364	EFNA4
ENSG00000106333	PCOLCE
ENSG00000115548	KDM3A
ENSG00000204856	FAM216A
ENSG00000104953	TLE6
ENSG00000168646	AXIN2
ENSG00000007237	GAS7
ENSG00000101076	HNF4A
ENSG00000230316	FEZF1-AS1
ENSG00000198265	HELZ
ENSG00000167550	RHEBL1
ENSG00000184185	KCNJ12
ENSG00000223573	TINCR
ENSG00000100505	TRIM9
ENSG00000157168	NRG1
ENSG00000142611	PRDM16
ENSG00000143590	EFNA3
ENSG00000170390	DCLK2
ENSG00000079215	SLC1A3
ENSG00000243811	APOBEC3D
ENSG00000186642	PDE2A
ENSG00000112182	BACH2
ENSG00000163644	PPM1K
ENSG00000141404	GNAL
ENSG00000173890	GPR160
ENSG00000170345	FOS
ENSG00000144320	LNPK
ENSG00000075213	SEMA3A
ENSG00000167191	GPRC5B
ENSG00000052795	FNIP2
ENSG00000145358	DDIT4L
ENSG00000171954	CYP4F22
ENSG00000049323	LTBP1
ENSG00000203709	NA
ENSG00000197472	ZNF695
ENSG00000251138	LINC02882
ENSG00000166321	NUDT13
ENSG00000057657	PRDM1
ENSG00000128805	ARHGAP22
ENSG00000115423	DNAH6
ENSG00000112305	SMAP1
ENSG00000163406	SLC15A2
ENSG00000183018	SPNS2
ENSG00000138735	PDE5A
ENSG00000176438	SYNE3
ENSG00000169884	WNT10B
ENSG00000164291	ARSK
ENSG00000157470	FAM81A
ENSG00000166147	FBN1
ENSG00000176383	B3GNT4
ENSG00000263535	NA
ENSG00000123612	ACVR1C
ENSG00000180801	ARSJ
ENSG00000019505	SYT13
ENSG00000227354	RBM26-AS1
ENSG00000197406	DIO3
ENSG00000273340	NA
ENSG00000154240	CEP112
ENSG00000226287	NA
ENSG00000178127	NDUFV2
ENSG00000188176	SMTNL2
ENSG00000164920	OSR2
ENSG00000214145	LINC00887
ENSG00000159588	CCDC17
ENSG00000073060	SCARB1
ENSG00000203867	RBM20
ENSG00000246228	CASC8
ENSG00000180644	PRF1
ENSG00000214922	HLA-F-AS1
ENSG00000185847	LINC01405
ENSG00000123384	LRP1
ENSG00000174099	MSRB3
ENSG00000179111	HES7
ENSG00000196968	FUT11
ENSG00000148516	ZEB1
ENSG00000099840	IZUMO4
ENSG00000269657	NA
ENSG00000136352	NKX2-1
ENSG00000256683	ZNF350
ENSG00000173727	NA
ENSG00000261087	ZNNT1
ENSG00000237452	MEIOSIN
ENSG00000105255	FSD1
ENSG00000232545	NA
ENSG00000227533	SLC2A1-DT
ENSG00000164125	GASK1B
ENSG00000250412	KLHL2P1
ENSG00000138829	FBN2
ENSG00000118515	SGK1
ENSG00000030419	IKZF2
ENSG00000145703	IQGAP2
ENSG00000231057	NEK2-DT
ENSG00000240694	PNMA2
ENSG00000265744	MIR4427
ENSG00000173557	CIMIP2C
ENSG00000069812	HES2
ENSG00000172183	ISG20
ENSG00000196507	TCEAL3
ENSG00000257803	NA
ENSG00000061656	SPAG4
ENSG00000225489	NA
ENSG00000101203	COL20A1
ENSG00000104081	BMF
ENSG00000163216	SPRR2D
ENSG00000165617	DACT1
ENSG00000256167	NA
ENSG00000230068	NA
ENSG00000271975	NA
ENSG00000250590	LINC02492
ENSG00000162636	EEIG2
ENSG00000121236	TRIM6
ENSG00000068831	RASGRP2
ENSG00000169860	P2RY1
ENSG00000143382	ADAMTSL4
ENSG00000257298	NA
