ENSEMBL	SYMBOL
ENSG00000049130	KITLG
ENSG00000112972	HMGCS1
ENSG00000099194	SCD
ENSG00000113161	HMGCR
ENSG00000160285	LSS
ENSG00000168209	DDIT4
ENSG00000079459	FDFT1
ENSG00000172893	DHCR7
ENSG00000196950	SLC39A10
ENSG00000177707	NECTIN3
ENSG00000164684	ZNF704
ENSG00000116133	DHCR24
ENSG00000125378	BMP4
ENSG00000160752	FDPS
ENSG00000052802	MSMO1
ENSG00000242265	PEG10
ENSG00000078114	NEBL
ENSG00000092964	DPYSL2
ENSG00000141858	SAMD1
ENSG00000203668	CHML
ENSG00000203668	OPN3
ENSG00000105974	CAV1
ENSG00000104549	SQLE
ENSG00000227184	NA
ENSG00000138434	ITPRID2
ENSG00000214049	UCA1
ENSG00000214049	LOC124900418
ENSG00000103018	CYB5B
ENSG00000182809	CRIP2
ENSG00000064300	NGFR
ENSG00000120437	ACAT2
ENSG00000169174	PCSK9
ENSG00000197444	OGDHL
ENSG00000106211	HSPB1
ENSG00000119950	MXI1
ENSG00000126709	IFI6
ENSG00000067064	IDI1
ENSG00000164211	STARD4
ENSG00000167771	RCOR2
ENSG00000179094	PER1
ENSG00000165434	PGM2L1
ENSG00000183873	SCN5A
ENSG00000170522	ELOVL6
ENSG00000124766	SOX4
ENSG00000101670	LIPG
ENSG00000100167	SEPTIN3
ENSG00000054654	SYNE2
ENSG00000171368	TPPP
ENSG00000175130	MARCKSL1
ENSG00000075213	SEMA3A
ENSG00000137312	FLOT1
ENSG00000164251	F2RL1
ENSG00000081189	MEF2C
ENSG00000129116	PALLD
ENSG00000166974	MAPRE2
ENSG00000145901	TNIP1
ENSG00000159433	STARD9
ENSG00000167508	MVD
ENSG00000116983	HPCAL4
ENSG00000132326	PER2
ENSG00000112837	TBX18
ENSG00000185585	OLFML2A
ENSG00000109084	TMEM97
ENSG00000165030	NFIL3
ENSG00000116741	RGS2
ENSG00000150347	ARID5B
ENSG00000151726	ACSL1
ENSG00000127955	GNAI1
ENSG00000149485	FADS1
ENSG00000140443	IGF1R
ENSG00000112245	PTP4A1
ENSG00000138439	FAM117B
ENSG00000128050	PAICS
ENSG00000127334	DYRK2
ENSG00000145730	PAM
ENSG00000076706	MCAM
ENSG00000103888	CEMIP
ENSG00000111331	OAS3
ENSG00000150764	DIXDC1
ENSG00000185745	IFIT1
ENSG00000115414	FN1
ENSG00000108932	SLC16A6
ENSG00000273079	GRIN2B
ENSG00000187231	SESTD1
ENSG00000135821	GLUL
ENSG00000179750	APOBEC3B
ENSG00000104833	TUBB4A
ENSG00000173727	NA
ENSG00000171282	NA
ENSG00000185347	TEDC1
ENSG00000203727	SAMD5
ENSG00000179403	VWA1
ENSG00000114315	HES1
ENSG00000183248	PRR36
ENSG00000167355	OR51B5
ENSG00000156504	PABIR2
ENSG00000102226	USP11
ENSG00000181104	F2R
ENSG00000126016	AMOT
ENSG00000178538	CA8
ENSG00000181143	MUC16
ENSG00000084731	KIF3C
ENSG00000141959	PFKL
ENSG00000168280	KIF5C
ENSG00000146281	PM20D2
ENSG00000101265	RASSF2
ENSG00000100344	PNPLA3
ENSG00000102780	DGKH
ENSG00000186897	C1QL4
ENSG00000185338	SOCS1
ENSG00000075223	SEMA3C
ENSG00000196159	FAT4
ENSG00000043355	ZIC2
ENSG00000258947	TUBB3
ENSG00000111885	MAN1A1
ENSG00000204856	FAM216A
ENSG00000154639	CXADR
ENSG00000181722	ZBTB20
ENSG00000204128	C2orf72
ENSG00000116396	KCNC4
ENSG00000152284	TCF7L1
ENSG00000174607	UGT8
ENSG00000100075	SLC25A1
ENSG00000105409	ATP1A3
ENSG00000105255	FSD1
ENSG00000152518	ZFP36L2
ENSG00000226887	ERVMER34-1
ENSG00000107798	LIPA
ENSG00000197766	CFD
ENSG00000005249	PRKAR2B
ENSG00000170542	SERPINB9
ENSG00000181458	TMEM45A
ENSG00000138316	ADAMTS14
ENSG00000118263	KLF7
ENSG00000142449	FBN3
ENSG00000170412	GPRC5C
ENSG00000131196	NFATC1
ENSG00000187017	ESPN
ENSG00000086300	SNX10
ENSG00000154553	PDLIM3
ENSG00000178695	KCTD12
ENSG00000143190	POU2F1
ENSG00000135766	EGLN1
ENSG00000109929	SC5D
ENSG00000231890	NA
ENSG00000203667	COX20
ENSG00000007237	GAS7
ENSG00000272512	NA
ENSG00000117593	DARS2
ENSG00000136943	CTSV
ENSG00000100767	PAPLN
ENSG00000130024	PHF10
ENSG00000168646	AXIN2
ENSG00000107438	PDLIM1
ENSG00000178053	MLF1
ENSG00000137267	TUBB2A
ENSG00000131759	RARA
ENSG00000103507	BCKDK
ENSG00000198576	ARC
ENSG00000108852	MPP2
ENSG00000110921	MVK
ENSG00000104967	NOVA2
ENSG00000100027	YPEL1
ENSG00000144959	NCEH1
ENSG00000186352	ANKRD37
ENSG00000068615	REEP1
ENSG00000143147	GPR161
ENSG00000108797	CNTNAP1
ENSG00000092068	SLC7A8
ENSG00000138821	SLC39A8
ENSG00000087903	RFX2
ENSG00000133739	LRRCC1
ENSG00000163032	VSNL1
ENSG00000197283	SYNGAP1
ENSG00000169750	RAC3
ENSG00000121236	TRIM6
ENSG00000185432	TMT1A
ENSG00000134324	LPIN1
ENSG00000109189	USP46
ENSG00000230432	NA
ENSG00000064042	LIMCH1
ENSG00000099617	EFNA2
ENSG00000171843	MLLT3
ENSG00000240694	PNMA2
ENSG00000025039	RRAGD
ENSG00000166313	APBB1
ENSG00000185697	MYBL1
ENSG00000133935	ERG28
ENSG00000101076	HNF4A
ENSG00000100321	SYNGR1
ENSG00000267519	NA
ENSG00000166130	IKBIP
ENSG00000170379	TCAF2
ENSG00000169894	MUC3A
ENSG00000166803	PCLAF
ENSG00000180354	MTURN
ENSG00000203326	ZNF525
ENSG00000169126	ODAD2
ENSG00000186205	MTARC1
ENSG00000159200	RCAN1
ENSG00000104368	PLAT
ENSG00000132196	HSD17B7
ENSG00000078804	TP53INP2
ENSG00000248019	FAM13A-AS1
ENSG00000227051	C14orf132
ENSG00000141622	ARK2C
ENSG00000108813	DLX4
ENSG00000090924	PLEKHG2
ENSG00000169184	MN1
ENSG00000157557	ETS2
ENSG00000227308	NA
ENSG00000243943	ZNF512
ENSG00000177150	FAM210A
ENSG00000154917	RAB6B
ENSG00000147383	NSDHL
ENSG00000226415	NA
ENSG00000172059	KLF11
ENSG00000257913	DDN-AS1
ENSG00000134986	NREP
ENSG00000134986	LOC124906525
ENSG00000114648	KLHL18
ENSG00000077942	FBLN1
ENSG00000165072	MAMDC2
ENSG00000138193	PLCE1
ENSG00000158050	DUSP2
ENSG00000130270	ATP8B3
ENSG00000160233	LRRC3
ENSG00000145358	DDIT4L
ENSG00000186480	INSIG1
ENSG00000174099	MSRB3
ENSG00000085552	IGSF9
ENSG00000170456	DENND5B
ENSG00000198546	ZNF511
ENSG00000205213	LGR4
ENSG00000164125	GASK1B
ENSG00000157502	PWWP3B
ENSG00000184602	SNN
ENSG00000263535	NA
ENSG00000153558	FBXL2
ENSG00000183186	C2CD4C
ENSG00000186994	KANK3
ENSG00000163710	PCOLCE2
ENSG00000163322	ABRAXAS1
ENSG00000180066	NA
ENSG00000216285	NA
ENSG00000198435	NRARP
ENSG00000183508	TENT5C
ENSG00000268869	NA
ENSG00000074410	CA12
ENSG00000235070	NA
ENSG00000135643	KCNMB4
ENSG00000269430	NA
ENSG00000258667	HIF1A-AS3
ENSG00000100228	RAB36
ENSG00000040608	RTN4R
ENSG00000183340	JRKL
ENSG00000186115	CYP4F2
ENSG00000205420	KRT6A
ENSG00000104381	GDAP1
ENSG00000165810	BTNL9
ENSG00000114529	C3orf52
ENSG00000134569	LRP4
ENSG00000141404	GNAL
ENSG00000167535	CACNB3
ENSG00000121743	GJA3
ENSG00000114646	CSPG5
ENSG00000167191	GPRC5B
ENSG00000071575	TRIB2
ENSG00000171401	KRT13
ENSG00000174501	ANKRD36C
ENSG00000260822	NA
ENSG00000138642	HERC6
ENSG00000127311	HELB
ENSG00000187867	PALM3
ENSG00000039139	DNAH5
ENSG00000198959	TGM2
ENSG00000104953	TLE6
ENSG00000205269	TMEM170B
ENSG00000254531	FLJ20021
ENSG00000139428	MMAB
ENSG00000158122	PRXL2C
ENSG00000149527	PLCH2
ENSG00000106333	PCOLCE
ENSG00000171954	CYP4F22
ENSG00000196116	TDRD7
ENSG00000001630	CYP51A1
ENSG00000173890	GPR160
ENSG00000123094	RASSF8
ENSG00000069998	HDHD5
ENSG00000214357	NEURL1B
ENSG00000143195	ILDR2
ENSG00000213145	CRIP1
ENSG00000169583	CLIC3
ENSG00000181577	LINC03040
ENSG00000174804	FZD4
ENSG00000167397	VKORC1
ENSG00000185920	PTCH1
ENSG00000257167	TMPO-AS1
ENSG00000242349	NA
ENSG00000159247	NA
ENSG00000076555	ACACB
ENSG00000030419	IKZF2
ENSG00000167619	TMEM145
ENSG00000099994	SUSD2
ENSG00000167552	TUBA1A
ENSG00000036672	USP2
ENSG00000103528	SYT17
ENSG00000245648	KLRK1-AS1
ENSG00000169710	FASN
ENSG00000234964	NA
ENSG00000115271	GCA
ENSG00000196126	HLA-DRB1
ENSG00000105784	RUNDC3B
ENSG00000073060	SCARB1
ENSG00000166510	CCDC68
ENSG00000116711	PLA2G4A
ENSG00000167315	ACAA2
ENSG00000140931	CMTM3
ENSG00000225285	NA
ENSG00000135899	SP110
ENSG00000228451	SDAD1P1
ENSG00000116667	C1orf21
ENSG00000147402	NA
ENSG00000122378	PRXL2A
ENSG00000100234	TIMP3
ENSG00000128849	CGNL1
ENSG00000073756	PTGS2
ENSG00000230316	FEZF1-AS1
ENSG00000104081	BMF
ENSG00000088727	KIF9
ENSG00000158164	TMSB15A
ENSG00000156500	PABIR3
ENSG00000152952	PLOD2
ENSG00000184702	SEPTIN5
ENSG00000138336	TET1
ENSG00000197594	ENPP1
ENSG00000139291	TMEM19
ENSG00000155629	PIK3AP1
ENSG00000070182	SPTB
ENSG00000087116	ADAMTS2
ENSG00000196843	ARID5A
ENSG00000151151	IPMK
ENSG00000196104	SPOCK3
ENSG00000115548	KDM3A
ENSG00000167889	MGAT5B
ENSG00000008735	MAPK8IP2
ENSG00000134138	MEIS2
ENSG00000143891	GALM
ENSG00000180644	PRF1
ENSG00000138735	PDE5A
ENSG00000215045	GRID2IP
ENSG00000237187	NR2F1-AS1
ENSG00000250590	LINC02492
ENSG00000250412	KLHL2P1
ENSG00000162929	SANBR
ENSG00000121653	MAPK8IP1
ENSG00000144485	HES6
ENSG00000089041	P2RX7
ENSG00000182134	TDRKH
ENSG00000072422	RHOBTB1
ENSG00000176244	ACBD7
ENSG00000181418	DDN
ENSG00000266999	NA
ENSG00000154822	PLCL2
ENSG00000131094	C1QL1
ENSG00000158423	RIBC1
ENSG00000153487	ING1
ENSG00000180815	MAP3K15
ENSG00000149654	CDH22
ENSG00000112773	TENT5A
ENSG00000185507	IRF7
ENSG00000122970	IFT81
ENSG00000106327	TFR2
ENSG00000164849	GPR146
ENSG00000239948	RN7SL368P
ENSG00000213700	RPL17P50
ENSG00000213626	LBH
ENSG00000170390	DCLK2
ENSG00000143590	EFNA3
ENSG00000124406	ATP8A1
ENSG00000176383	B3GNT4
ENSG00000175567	UCP2
ENSG00000178878	APOLD1
ENSG00000127863	TNFRSF19
ENSG00000108387	SEPTIN4
ENSG00000155265	GOLGA7B
ENSG00000157851	DPYSL5
ENSG00000197472	ZNF695
ENSG00000215158	NA
ENSG00000204682	MIR1915HG
ENSG00000187634	SAMD11
ENSG00000185477	GPRIN3
ENSG00000166387	PPFIBP2
ENSG00000140807	NKD1
ENSG00000104765	BNIP3L
ENSG00000255737	AGAP2-AS1
ENSG00000140450	ARRDC4
ENSG00000175785	PRIMA1
ENSG00000142621	FHAD1
ENSG00000175305	CCNE2
ENSG00000147036	LANCL3
ENSG00000137440	FGFBP1
ENSG00000099953	MMP11
ENSG00000153064	BANK1
ENSG00000130558	OLFM1
ENSG00000170873	MTSS1
ENSG00000160828	NA
ENSG00000196408	NOXO1
ENSG00000105668	UPK1A
ENSG00000226287	NA
ENSG00000226784	PGAM4
ENSG00000105792	CFAP69
ENSG00000163082	SGPP2
ENSG00000227954	TARID
ENSG00000168026	TTC21A
ENSG00000197557	IFT70A
ENSG00000099840	IZUMO4
ENSG00000167081	PBX3
ENSG00000158163	DZIP1L
ENSG00000111837	MAK
ENSG00000127399	LRRC61
ENSG00000179820	MYADM
ENSG00000137261	KIAA0319
ENSG00000136999	CCN3
ENSG00000162433	AK4
ENSG00000141526	SLC16A3
ENSG00000248866	USP46-DT
ENSG00000061656	SPAG4
ENSG00000172638	EFEMP2
ENSG00000187456	NA
ENSG00000130701	RBBP8NL
ENSG00000273117	NA
ENSG00000247095	MIR210HG
ENSG00000185168	NA
ENSG00000153162	BMP6
ENSG00000141655	TNFRSF11A
ENSG00000185522	LMNTD2
ENSG00000107968	MAP3K8
ENSG00000135338	LCA5
ENSG00000164687	FABP5
ENSG00000143320	CRABP2
ENSG00000270189	NA
ENSG00000260942	CAPN10-DT
ENSG00000072163	LIMS2
ENSG00000153233	PTPRR
ENSG00000171462	DLK2
ENSG00000100505	TRIM9
ENSG00000109107	ALDOC
ENSG00000128805	ARHGAP22
ENSG00000068078	FGFR3
ENSG00000162738	VANGL2
ENSG00000166963	MAP1A
ENSG00000162004	CCDC78
ENSG00000115425	PECR
ENSG00000266972	NA
ENSG00000114480	GBE1
ENSG00000168772	CXXC4
ENSG00000184881	NA
