ENSEMBL	SYMBOL
ENSG00000186352	ANKRD37
ENSG00000119950	MXI1
ENSG00000235750	KIAA0040
ENSG00000175197	DDIT3
ENSG00000163032	VSNL1
ENSG00000059728	MXD1
ENSG00000146278	PNRC1
ENSG00000151092	NGLY1
ENSG00000078114	NEBL
ENSG00000106714	CNTNAP3
ENSG00000125629	INSIG2
ENSG00000185920	PTCH1
ENSG00000181722	ZBTB20
ENSG00000111816	FRK
ENSG00000107957	SH3PXD2A
ENSG00000173221	GLRX
ENSG00000103888	CEMIP
ENSG00000150347	ARID5B
ENSG00000059804	SLC2A3
ENSG00000071575	TRIB2
ENSG00000164142	FHIP1A
ENSG00000165029	ABCA1
ENSG00000148346	LCN2
ENSG00000248019	FAM13A-AS1
ENSG00000141622	ARK2C
ENSG00000103089	FA2H
ENSG00000263535	NA
ENSG00000183696	UPP1
ENSG00000064042	LIMCH1
ENSG00000099840	IZUMO4
ENSG00000165507	DEPP1
ENSG00000101670	LIPG
ENSG00000147036	LANCL3
ENSG00000245648	KLRK1-AS1
ENSG00000167619	TMEM145
ENSG00000150764	DIXDC1
ENSG00000167207	NOD2
ENSG00000171401	KRT13
ENSG00000094841	UPRT
ENSG00000114698	PLSCR4
ENSG00000158023	CFAP251
ENSG00000107968	MAP3K8
ENSG00000257335	MGAM
ENSG00000143217	NECTIN4
ENSG00000135245	HILPDA
ENSG00000230432	NA
ENSG00000172638	EFEMP2
ENSG00000169306	IL1RAPL1
ENSG00000112773	TENT5A
ENSG00000172183	ISG20
ENSG00000106031	HOXA13
ENSG00000167772	ANGPTL4
ENSG00000105649	RAB3A
ENSG00000164849	GPR146
ENSG00000112305	SMAP1
ENSG00000272512	NA
ENSG00000229729	NA
ENSG00000099994	SUSD2
ENSG00000260822	NA
ENSG00000162415	ZSWIM5
ENSG00000181143	MUC16
ENSG00000227533	SLC2A1-DT
ENSG00000182389	CACNB4
ENSG00000184709	LRRC26
