ENSEMBL	SYMBOL
ENSG00000119125	GDA
ENSG00000140465	CYP1A1
ENSG00000153292	ADGRF1
ENSG00000166949	SMAD3
ENSG00000129474	AJUBA
ENSG00000138678	GPAT3
ENSG00000162496	DHRS3
ENSG00000163659	TIPARP
ENSG00000006327	TNFRSF12A
ENSG00000135932	CAB39
ENSG00000117525	F3
ENSG00000080819	CPOX
ENSG00000185551	NR2F2
ENSG00000125449	ARMC7
ENSG00000115648	MLPH
ENSG00000102678	FGF9
ENSG00000064393	HIPK2
ENSG00000115756	HPCAL1
ENSG00000116044	NFE2L2
ENSG00000180530	NRIP1
ENSG00000272482	NA
ENSG00000164484	TMEM200A
ENSG00000033100	CHPF2
ENSG00000140950	MEAK7
ENSG00000101191	DIDO1
ENSG00000125637	PSD4
ENSG00000188549	CCDC9B
ENSG00000163870	TPRA1
ENSG00000160613	PCSK7
ENSG00000137203	TFAP2A
ENSG00000078269	SYNJ2
ENSG00000182795	C1orf116
ENSG00000120451	SNX19
ENSG00000124541	RRP36
ENSG00000133195	SLC39A11
ENSG00000197782	ZNF780A
ENSG00000110925	CSRNP2
ENSG00000164631	ZNF12
ENSG00000240875	LINC00886
ENSG00000173011	TADA2B
ENSG00000213341	CHUK
ENSG00000167601	AXL
ENSG00000235523	NA
ENSG00000154237	LRRK1
ENSG00000196922	NA
ENSG00000159792	PSKH1
ENSG00000176697	BDNF
ENSG00000130518	IQCN
ENSG00000253187	HOXA10-AS
ENSG00000134070	IRAK2
ENSG00000172086	KRCC1
ENSG00000138061	CYP1B1
ENSG00000063438	AHRR
ENSG00000099250	NRP1
ENSG00000163389	POGLUT1
ENSG00000234975	FTH1P2
ENSG00000104228	TRIM35
ENSG00000134955	SLC37A2
ENSG00000179041	RRS1
ENSG00000273033	LINC02035
ENSG00000198894	CIPC
ENSG00000171160	MORN4
ENSG00000012124	CD22
ENSG00000254470	AP5B1
ENSG00000107738	VSIR
ENSG00000198121	LPAR1
ENSG00000247626	MARS2
ENSG00000181027	FKRP
