ENSEMBL	SYMBOL
ENSG00000135318	NT5E
ENSG00000138678	GPAT3
ENSG00000162496	DHRS3
ENSG00000166949	SMAD3
ENSG00000183087	GAS6
ENSG00000115756	HPCAL1
ENSG00000142910	TINAGL1
ENSG00000059122	FLYWCH1
ENSG00000038427	VCAN
ENSG00000064393	HIPK2
ENSG00000115648	MLPH
ENSG00000137936	BCAR3
ENSG00000112977	DAP
ENSG00000137309	HMGA1
ENSG00000188549	CCDC9B
ENSG00000112473	SLC39A7
ENSG00000010438	PRSS3
ENSG00000012124	CD22
ENSG00000172137	CALB2
ENSG00000106080	FKBP14
ENSG00000136152	COG3
ENSG00000078399	HOXA9
ENSG00000180263	FGD6
ENSG00000198431	TXNRD1
ENSG00000134070	IRAK2
ENSG00000074842	MYDGF
ENSG00000099250	NRP1
ENSG00000156011	PSD3
ENSG00000119777	TMEM214
ENSG00000185716	MOSMO
ENSG00000187193	MT1X
ENSG00000147010	SH3KBP1
ENSG00000101188	NTSR1
ENSG00000102804	TSC22D1
ENSG00000140950	MEAK7
ENSG00000025796	SEC63
ENSG00000153292	ADGRF1
ENSG00000159216	RUNX1
ENSG00000159216	LOC100506403
ENSG00000130766	SESN2
ENSG00000142765	SYTL1
ENSG00000181789	COPG1
ENSG00000128595	CALU
ENSG00000187720	THSD4
ENSG00000001084	GCLC
ENSG00000180398	MCFD2
ENSG00000171903	CYP4F11
ENSG00000177879	AP3S1
ENSG00000151693	ASAP2
ENSG00000048707	VPS13D
ENSG00000124145	SDC4
ENSG00000047644	WWC3
ENSG00000167601	AXL
ENSG00000143256	PFDN2
ENSG00000171552	BCL2L1
ENSG00000142188	TMEM50B
ENSG00000140465	CYP1A1
ENSG00000165474	GJB2
ENSG00000178038	ALS2CL
ENSG00000168938	PPIC
ENSG00000124191	TOX2
ENSG00000205542	TMSB4X
ENSG00000123989	CHPF
ENSG00000176986	SEC24C
ENSG00000119125	GDA
ENSG00000272482	NA
ENSG00000094804	CDC6
ENSG00000130518	IQCN
ENSG00000111711	GOLT1B
ENSG00000086062	B4GALT1
ENSG00000234975	FTH1P2
ENSG00000138073	PREB
ENSG00000142459	EVI5L
ENSG00000166848	TERF2IP
ENSG00000166848	LOC105371348
ENSG00000113739	STC2
ENSG00000182934	SRPRA
ENSG00000232187	NA
ENSG00000095139	ARCN1
ENSG00000151746	BICD1
ENSG00000176018	LYSMD3
ENSG00000140743	CDR2
ENSG00000164244	PRRC1
ENSG00000166016	ABTB2
ENSG00000221963	APOL6
ENSG00000140961	OSGIN1
ENSG00000187800	PEAR1
ENSG00000136003	ISCU
