comparison	metric	value
mix	read_count	691
mix	full_sha256	84c1cb3fc626036aec81e07e5a73b39084dd97868fb8fbbbb2e8ff45fc54e160
mix	payload_sha256	74f7218c0de3a1ac19581d9ab9cc813c643f7875a480b2a2b5397c2d2479e9ac
endo	read_count	395
endo	full_sha256	843422b4c2b16f9114a773b86b77ed9b3df119b39abee266a4dacfd14bd6c6c2
endo	payload_sha256	9e45ca09daca061bf705b70eadd138f8d613b49a65b4e2b1c065a321c96a7ca1
exo	read_count	592
exo	full_sha256	5e5ce37f263e30376d1f305701e2a7f3bfb681a7b152caaa08dea80ef0ba1a0f
exo	payload_sha256	72d70bf8def915b5ca2667e0cad66b8db7854ef39be67e98c995f657975097c7
endo_vs_exo	compared_positions	395
endo_vs_exo	same_full_record_positions	395
endo_vs_exo	same_payload_positions	395
endo_vs_exo	same_sequence_positions	395
endo_vs_exo	shorter_is_exact_full_prefix	True
endo_vs_exo	shorter_is_exact_payload_prefix	True
endo_vs_exo	payload_multiset_overlap	395
endo_vs_exo	a_payload_multiset_contained_in_b	True
endo_vs_exo	b_payload_multiset_contained_in_a	False
exo_vs_mix	compared_positions	592
exo_vs_mix	same_full_record_positions	592
exo_vs_mix	same_payload_positions	592
exo_vs_mix	same_sequence_positions	592
exo_vs_mix	shorter_is_exact_full_prefix	True
exo_vs_mix	shorter_is_exact_payload_prefix	True
exo_vs_mix	payload_multiset_overlap	592
exo_vs_mix	a_payload_multiset_contained_in_b	True
exo_vs_mix	b_payload_multiset_contained_in_a	False
endo_vs_mix	compared_positions	395
endo_vs_mix	same_full_record_positions	395
endo_vs_mix	same_payload_positions	395
endo_vs_mix	same_sequence_positions	395
endo_vs_mix	shorter_is_exact_full_prefix	True
endo_vs_mix	shorter_is_exact_payload_prefix	True
endo_vs_mix	payload_multiset_overlap	395
endo_vs_mix	a_payload_multiset_contained_in_b	True
endo_vs_mix	b_payload_multiset_contained_in_a	False
