ENSG	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000223764	69.43176646811725	1.2067505258308329	0.3120930807818699	3.8666365906210607	0.00011034667176491017	0.0026729802766082044
ENSG00000176022	436.44569235443106	0.6101641732141662	0.13363075899780447	4.566045854938166	4.970100925883352e-06	0.000242907621800766
ENSG00000234546	36.95121744508753	1.3031563730952118	0.30192163085277435	4.3162073860506815	1.5873285781599708e-05	0.0006143247235012432
ENSG00000272482	120.86467577822803	1.351025659135302	0.24091393460100968	5.6079182857264245	2.047746611944094e-08	2.2668253855013483e-06
ENSG00000179023	17.48078843533116	2.0498216389488038	0.6682720201262953	3.0673461961813278	0.0021596856998327505	0.024342401642813767
ENSG00000169991	1547.442124308632	0.863192783412497	0.19056767483092857	4.529586584809415	5.909921156846619e-06	0.00027717714335304003
ENSG00000158825	651.5513635359806	-0.5180467315812478	0.1667152836093091	-3.1073739633570163	0.0018875745421170825	0.022050005039785662
ENSG00000076864	800.942063299333	-0.5711713084899017	0.11571355216089142	-4.9360796365124875	7.970857041411078e-07	5.429920939296099e-05
ENSG00000179163	852.3912928623807	0.672240863939569	0.17762115540396697	3.7846891740495647	0.00015390080469208667	0.003461872862116372
ENSG00000158062	496.75492407025666	0.5888978251637306	0.1260710748615173	4.671157327805804	2.995074221031533e-06	0.00016161592257214955
ENSG00000253368	2604.110103565497	0.5994522312755428	0.1025495585240642	5.845488170823046	5.0508483100220745e-09	6.567164003464832e-07
ENSG00000169403	207.66674752994436	1.0919677409688595	0.15677405511853978	6.965232481504688	3.278618769651906e-12	9.678354034727342e-10
ENSG00000142910	3901.2731709425266	0.7083323833243399	0.09007769502782983	7.863571365869187	3.733334904589363e-15	2.161744499561264e-12
ENSG00000189433	185.442772546848	0.70040493764531	0.19436025422594264	3.603642835489881	0.0003137881789061212	0.005853879843161902
ENSG00000116819	157.89441912898033	0.5713385874210042	0.17477962652147827	3.2689083893356052	0.0010796325074229223	0.014830170984719065
ENSG00000197982	522.4788121477094	0.7780876157495705	0.19743593847698418	3.9409624293921297	8.115533786731047e-05	0.002112431541833704
ENSG00000116990	137.2846545879964	-0.7667816942429796	0.2444920619714358	-3.136223270645749	0.001711388611988834	0.020611964442793517
ENSG00000117000	1744.2549064012599	-0.5678591426445277	0.07877589578130054	-7.208539325544853	5.655523953538795e-13	1.980091002802943e-10
ENSG00000117010	86.42555991502303	-0.6370792240548603	0.23257398195231288	-2.7392540588890433	0.006157876779341894	0.049976730411316554
ENSG00000171793	1203.9923736197036	0.5833648307917538	0.12340787953656562	4.727127902873523	2.2771783640553352e-06	0.0001318573856571272
ENSG00000198520	108.3508830558061	1.234870676952225	0.3107270285282727	3.974133446971336	7.06359533821055e-05	0.0019126335938266157
ENSG00000222009	946.0970171857954	0.6955143135672897	0.18172351992928892	3.827321382713276	0.00012954532571439933	0.0030321999803313952
ENSG00000132773	394.6959432755213	0.5166154584232759	0.11700478461633233	4.415336177211024	1.0085313355037013e-05	0.00042650110269686016
ENSG00000117461	92.70682583542703	1.0074397925930159	0.3097841939464746	3.2520697062003237	0.001145679209177044	0.015510971667410431
ENSG00000270172	246.6813160328093	0.6568934352566353	0.1321649558311953	4.970254263888512	6.686515752334929e-07	4.703995077168335e-05
ENSG00000162409	179.4359182885555	-0.6168122041081407	0.1537472570632245	-4.0118582658973425	6.024266644707255e-05	0.0017308269911463306
ENSG00000152763	63.30473737775722	1.3722913226956577	0.3536434182580574	3.8804378983077297	0.00010426856643933572	0.0025524605979580475
ENSG00000233589	240.37179310970555	0.7872697192833498	0.25489307701011116	3.0886273119615573	0.002010835163421922	0.023091627296199114
ENSG00000137968	267.2076904801683	0.9030410896020742	0.264332980450253	3.416301242712409	0.0006347798347830607	0.009980657525299565
ENSG00000171517	651.3012476629137	-0.5230426286389633	0.10798489481852118	-4.843664750685601	1.2746593486602448e-06	8.200853202598284e-05
ENSG00000162643	69.15709597665743	1.705464855658166	0.2914343334907727	5.8519695851558415	4.857854790139341e-09	6.41535121627612e-07
ENSG00000233593	51.31679943562279	-0.8346189355231795	0.29419108672065186	-2.836995997488153	0.004554018288942118	0.0404726950059171
ENSG00000230439	158.39314597696935	0.9796161463400195	0.18563769988214154	5.277032342902128	1.312927208868199e-07	1.1136869427685499e-05
