SAMPLE_109  SAMPLE_109  SAMPLE_155  SAMPLE_155 UN    NA  0.0027  0.9503  0.0470  0.5221  -1  0.851070  1.0000 604.1429      79  148772  351149  7.0000 4229.0000
SAMPLE_137  SAMPLE_137  SAMPLE_081  SAMPLE_081 UN    NA  0.0020  0.9928  0.0052  0.5016  -1  0.844628  1.0000 588.8750      58  155256  344686  8.0000 4711.0000
SAMPLE_014  SAMPLE_014  SAMPLE_112  SAMPLE_112 UN    NA  0.6078  0.3218  0.0704  0.2313  -1  0.795277  1.0000  3.4821   17541  169641  312818 1004.0000 3496.0000
SAMPLE_142  SAMPLE_142  SAMPLE_161  SAMPLE_161 UN    NA  0.7800  0.0000  0.2200  0.2200  -1  0.799910  0.8943  2.0830   23457  153176  323367 1398.0000 2912.0000
SAMPLE_167  SAMPLE_167  SAMPLE_161  SAMPLE_161 UN    NA  0.7848  0.0000  0.2152  0.2152  -1  0.795710  0.1598  1.9374   25130  154030  320840 1486.0000 2879.0000
SAMPLE_202  SAMPLE_202  SAMPLE_183  SAMPLE_183 UN    NA  0.7850  0.0000  0.2150  0.2150  -1  0.794730  0.4490  1.9918   25611  154048  320341 1462.0000 2912.0000
SAMPLE_088  SAMPLE_088  SAMPLE_161  SAMPLE_161 UN    NA  0.7857  0.0000  0.2143  0.2143  -1  0.795010  0.4872  1.9979   25384  154222  320394 1444.0000 2885.0000
SAMPLE_161  SAMPLE_161  SAMPLE_064  SAMPLE_064 UN    NA  0.7880  0.0000  0.2120  0.2120  -1  0.796698  0.5043  2.0007   24257  154788  320955 1448.0000 2897.0000
SAMPLE_161  SAMPLE_161  SAMPLE_050  SAMPLE_050 UN    NA  0.7887  0.0000  0.2113  0.2113  -1  0.794390  0.1049  1.9214   25364  154882  319754 1489.0000 2861.0000
SAMPLE_183  SAMPLE_183  SAMPLE_161  SAMPLE_161 UN    NA  0.7896  0.0000  0.2104  0.2104  -1  0.793687  0.0041  1.8385   25619  155075  319306 1523.0000 2800.0000
SAMPLE_202  SAMPLE_202  SAMPLE_161  SAMPLE_161 UN    NA  0.7899  0.0000  0.2101  0.2101  -1  0.793787  0.0123  1.8617   25534  155145  319321 1511.0000 2813.0000
SAMPLE_117  SAMPLE_117  SAMPLE_161  SAMPLE_161 UN    NA  0.7917  0.0000  0.2083  0.2083  -1  0.793864  0.0940  1.9177   25298  155540  319162 1495.0000 2867.0000
SAMPLE_176  SAMPLE_176  SAMPLE_161  SAMPLE_161 UN    NA  0.7917  0.0000  0.2083  0.2083  -1  0.795497  0.1378  1.9317   24475  155553  319972 1493.0000 2884.0000
SAMPLE_031  SAMPLE_031  SAMPLE_161  SAMPLE_161 UN    NA  0.7920  0.0000  0.2080  0.2080  -1  0.794780  0.4277  1.9883   24800  155620  319580 1454.0000 2891.0000
SAMPLE_088  SAMPLE_088  SAMPLE_167  SAMPLE_167 UN    NA  0.7931  0.0000  0.2069  0.2069  -1  0.793676  0.0101  1.8581   25232  155860  318908 1529.0000 2841.0000
SAMPLE_088  SAMPLE_088  SAMPLE_202  SAMPLE_202 UN    NA  0.7932  0.0000  0.2068  0.2068  -1  0.793703  0.2884  1.9645   25209  155879  318912 1464.0000 2876.0000
SAMPLE_202  SAMPLE_202  SAMPLE_167  SAMPLE_167 UN    NA  0.7932  0.0000  0.2068  0.2068  -1  0.793077  0.0028  1.8319   25531  155861  318608 1541.0000 2823.0000
SAMPLE_088  SAMPLE_088  SAMPLE_183  SAMPLE_183 UN    NA  0.7945  0.0000  0.2055  0.2055  -1  0.790271  0.0524  1.8996   26783  156163  317054 1514.0000 2876.0000
SAMPLE_007  SAMPLE_007  SAMPLE_161  SAMPLE_161 UN    NA  0.7952  0.0000  0.2048  0.2048  -1  0.792573  0.0267  1.8805   25563  156301  318136 1506.0000 2832.0000
SAMPLE_183  SAMPLE_183  SAMPLE_167  SAMPLE_167 UN    NA  0.7952  0.0000  0.2048  0.2048  -1  0.793263  0.4829  1.9972   25220  156297  318483 1454.0000 2904.0000
SAMPLE_183  SAMPLE_183  SAMPLE_142  SAMPLE_142 UN    NA  0.7963  0.0000  0.2037  0.2037  -1  0.791011  0.1463  1.9343   26209  156571  317220 1507.0000 2915.0000
