#plotCorrelation --outFileCorMatrix
	'Convert BedGraph to BigWig on dataset 24_0.bw'	'Convert BedGraph to BigWig on dataset 28_4.bw'	'Convert BedGraph to BigWig on dataset 25_1.bw'	'Convert BedGraph to BigWig on dataset 30_6.bw'	'Convert BedGraph to BigWig on dataset 26_2.bw'	'Convert BedGraph to BigWig on dataset 29_5.bw'	'Convert BedGraph to BigWig on dataset 36_3.bw'	'Convert BedGraph to BigWig on dataset 32_8.bw'	'Convert BedGraph to BigWig on dataset 31_7.bw'	'Convert BedGraph to BigWig on dataset 33_9.bw'
'Convert BedGraph to BigWig on dataset 24_0.bw'	1.0000	0.4203	0.3096	0.3421	0.3089	0.3429	0.3775	0.3238	0.4120	0.3738
'Convert BedGraph to BigWig on dataset 28_4.bw'	0.4203	1.0000	0.3590	0.3723	0.3650	0.3872	0.3751	0.3559	0.4425	0.3885
'Convert BedGraph to BigWig on dataset 25_1.bw'	0.3096	0.3590	1.0000	0.3875	0.3986	0.3906	0.4127	0.3767	0.4055	0.4305
'Convert BedGraph to BigWig on dataset 30_6.bw'	0.3421	0.3723	0.3875	1.0000	0.4778	0.4344	0.4222	0.3779	0.4186	0.4519
'Convert BedGraph to BigWig on dataset 26_2.bw'	0.3089	0.3650	0.3986	0.4778	1.0000	0.4800	0.4314	0.4110	0.4352	0.4904
'Convert BedGraph to BigWig on dataset 29_5.bw'	0.3429	0.3872	0.3906	0.4344	0.4800	1.0000	0.4453	0.4235	0.4614	0.4698
'Convert BedGraph to BigWig on dataset 36_3.bw'	0.3775	0.3751	0.4127	0.4222	0.4314	0.4453	1.0000	0.4211	0.4566	0.4893
'Convert BedGraph to BigWig on dataset 32_8.bw'	0.3238	0.3559	0.3767	0.3779	0.4110	0.4235	0.4211	1.0000	0.4972	0.4974
'Convert BedGraph to BigWig on dataset 31_7.bw'	0.4120	0.4425	0.4055	0.4186	0.4352	0.4614	0.4566	0.4972	1.0000	0.5337
'Convert BedGraph to BigWig on dataset 33_9.bw'	0.3738	0.3885	0.4305	0.4519	0.4904	0.4698	0.4893	0.4974	0.5337	1.0000
