#plotPCA --outFileNameData
Component	Convert BedGraph to BigWig on dataset 24_0.bw	Convert BedGraph to BigWig on dataset 25_1.bw	Convert BedGraph to BigWig on dataset 26_2.bw	Convert BedGraph to BigWig on dataset 36_3.bw	Convert BedGraph to BigWig on dataset 28_4.bw	Convert BedGraph to BigWig on dataset 29_5.bw	Convert BedGraph to BigWig on dataset 30_6.bw	Convert BedGraph to BigWig on dataset 31_7.bw	Convert BedGraph to BigWig on dataset 32_8.bw	Convert BedGraph to BigWig on dataset 33_9.bw	Eigenvalue
1	0.22828630190808813	0.3665041767810262	0.38238877640168023	0.39435943374220417	0.42093590888457033	0.39049364535017117	0.3917146026580413	0.16773953207488734	-0.014670593634170465	-0.0188435703244337	5178.737730822345
2	-0.22229601691074619	0.02882005798223526	0.1335378862217761	-0.10138584285962318	-0.030259997989845598	0.1413855544213576	0.14555295648060695	-0.29375777785502444	0.6291056388033313	0.6304630730601812	1728.283002003229
3	-0.45343053897577357	0.03345512959115743	0.2656510618887716	-0.2202827080374335	-0.11337478013385424	0.2626152172356428	0.26822975525566306	-0.5609772910604411	-0.32237441283701096	-0.3190579330608886	1661.0698856306897
4	-0.8051596956603573	0.047889442055976617	0.021976906737431856	0.17785954175125712	0.026012046960618124	-0.018139251268491835	-0.026053192836732783	0.5617452280716304	0.007114479656764426	0.003836644274508822	456.1098198402657
5	0.058397210966298775	-0.9140019830825034	0.2666698426323808	0.08705636196611732	0.0696789863957184	0.19352489502074635	0.14845801797929814	0.1333823380148204	0.016733848559038603	-0.00899035717255427	353.61370031090865
6	0.005550843038073396	0.021091099646639612	0.015698287914701462	-0.013362284617291682	-0.02565985318388763	-0.004572208611975796	-0.0030141691077046734	0.006547121377976713	0.7068201351537833	-0.7062388973527618	282.4357996982345
7	0.17769692424035644	0.14477002610358541	0.5279456750301749	-0.5572397077907959	-0.3832538209303493	-0.10961174606398966	0.14938950951889737	0.4191921680068342	-0.012139860017077194	0.033731488685454766	153.07420327384517
8	0.002674658712701157	-0.018870396545338536	-0.4914911449050229	-0.5955629181482022	0.3622651672887972	0.44087260896368724	0.17253614255019012	0.21874752007778075	0.0028357483827463423	-0.012085986982606252	76.34520339148948
9	-0.05952273124517683	-0.06533145804814845	-0.07070155258524971	-0.09126506350033148	0.351884244475806	-0.6999986336505001	0.6011741049867406	-0.05904010664618022	0.001749328630578306	-0.011879235152082786	59.46578741060989
10	0.07759577120779816	0.002082547960279263	-0.41017661252069815	0.26971300635534495	-0.6331754672808634	0.15612425748486655	0.5632077037807187	0.10210091399364767	0.0013371867065397997	0.008327159320611115	40.864867618382256
