#plotPCA --outFileNameData
Component	Convert BedGraph to BigWig on dataset 24_0.bw	Convert BedGraph to BigWig on dataset 25_1.bw	Convert BedGraph to BigWig on dataset 26_2.bw	Convert BedGraph to BigWig on dataset 36_3.bw	Convert BedGraph to BigWig on dataset 28_4.bw	Convert BedGraph to BigWig on dataset 29_5.bw	Convert BedGraph to BigWig on dataset 30_6.bw	Convert BedGraph to BigWig on dataset 31_7.bw	Convert BedGraph to BigWig on dataset 32_8.bw	Convert BedGraph to BigWig on dataset 33_9.bw	Eigenvalue
1	0.2345919627332688	0.40696208062229144	0.39136813218693434	0.335239970632355	0.41668647554217525	0.3948965773463081	0.3965705019979119	0.08452671165351028	-0.042702599656168114	-0.1341128532268267	5513.793785738281
2	0.4566648405145368	-0.09779963843626438	-0.25153134037830827	0.39744384535801736	0.031377985482265155	-0.24516096854170044	-0.23789495277308167	0.6426973103500093	-0.12229095667139236	-0.12233327803673774	1763.2687317783184
3	-0.1093579423336678	-0.01877359434080724	0.060290343149183474	0.12547825037395965	0.0296553592520334	0.06237285892450585	0.05472203947939099	0.31330880418880963	0.640407707459245	0.6725027299477082	1074.0412823444265
4	0.17681316570735356	0.016460874193608914	-0.08614614176843767	-0.050331562980113466	0.033854229247660454	-0.06154881435740148	-0.058731752957640576	-0.1425948899903451	0.7561716403386186	-0.5983302462551336	912.9561304932961
5	-0.8060186110995257	0.038410298881127236	0.027412469570727835	0.19934660490001754	-0.0201396508330359	0.023644452410162276	0.026983902906706457	0.4161253349331353	-0.0017048528978161129	-0.36539312739811647	433.7116482789983
6	0.18266488285347	-0.4358754758061827	0.3558145786466692	-0.4768048561670793	-0.2696691698785197	0.3230401437544709	0.21128775353226553	0.4225347514705121	-0.008327167112720052	-0.14958394484664653	128.83648035208824
7	-0.017761034487460955	-0.6527109205119359	0.12008710399773129	0.6280644219014964	-0.14741705439350816	0.1620319254104622	0.08706936415367315	-0.3288940195631377	0.01672042765406616	-0.027369938539120953	84.43654597206704
8	-0.09695975246896163	-0.40742160459039345	0.11850954287096685	-0.19873769832483235	0.8239308012776119	-0.040263448663881526	-0.29987113819200106	0.007071242389253787	-0.022779147911164973	0.009516084587652116	37.131264641095214
9	-0.020378481409384284	-0.19619301782823864	-0.6216594966694506	-0.1007129449385371	0.22279366229128708	-0.046174445181805274	0.7148721508269248	0.03669533031319764	-0.018081949255724202	0.0021444450988298766	26.976179742262357
10	0.006114574697836545	-0.04706693188550387	0.4798181684081298	0.013706440338025719	0.002101918446841204	-0.8008449278603093	0.3546509501588301	-0.00599636879663305	0.010303449349171954	-0.007585786797601161	14.84795065914394
