lag	cross_corr	plus_count	minus_count
0	1215	500352	499648
1	1293	500352	499648
2	1213	500352	499648
3	2191	500352	499648
4	1001	500352	499648
5	909	500352	499648
6	1315	500352	499648
7	1031	500352	499648
8	4492	500352	499648
9	1198	500352	499648
10	1444	500352	499648
11	880	500352	499648
12	1016	500352	499648
13	1920	500352	499648
14	1205	500352	499648
15	1180	500352	499648
16	1069	500352	499648
17	955	500352	499648
18	1564	500352	499648
19	1126	500352	499648
20	1154	500352	499648
21	1057	500352	499648
22	952	500352	499648
23	1138	500352	499648
24	941	500352	499648
25	1035	500352	499648
26	879	500352	499648
27	956	500352	499648
28	894	500352	499648
29	860	500352	499648
30	816	500352	499648
31	819	500352	499648
32	761	500352	499648
33	739	500352	499648
34	676	500352	499648
35	672	500352	499648
36	593	500352	499648
37	503	500352	499648
38	455	500352	499648
39	351	500352	499648
40	315	500352	499648
41	287	500352	499648
42	217	500352	499648
43	179	500352	499648
44	137	500352	499648
45	132	500352	499648
46	112	500352	499648
47	79	500352	499648
48	25	500352	499648
49	23	500352	499648
50	88	500352	499648
51	129	500352	499648
52	128	500352	499648
53	151	500352	499648
54	200	500352	499648
55	270	500352	499648
56	292	500352	499648
57	319	500352	499648
58	374	500352	499648
59	443	500352	499648
60	541	500352	499648
61	613	500352	499648
62	638	500352	499648
63	690	500352	499648
64	721	500352	499648
65	757	500352	499648
66	815	500352	499648
67	881	500352	499648
68	910	500352	499648
69	938	500352	499648
70	974	500352	499648
71	934	500352	499648
72	1013	500352	499648
73	1025	500352	499648
74	994	500352	499648
75	1043	500352	499648
76	1065	500352	499648
77	1100	500352	499648
78	1144	500352	499648
79	1087	500352	499648
80	1108	500352	499648
81	1085	500352	499648
82	1138	500352	499648
83	1130	500352	499648
84	1134	500352	499648
85	1129	500352	499648
86	1203	500352	499648
87	1100	500352	499648
88	1168	500352	499648
89	1112	500352	499648
90	1191	500352	499648
91	1156	500352	499648
92	1173	500352	499648
93	1131	500352	499648
94	1190	500352	499648
95	1168	500352	499648
96	1142	500352	499648
97	1182	500352	499648
98	1125	500352	499648
99	1115	500352	499648
100	1180	500352	499648
101	1182	500352	499648
102	1211	500352	499648
103	1129	500352	499648
104	1155	500352	499648
105	1177	500352	499648
106	1163	500352	499648
107	1126	500352	499648
108	1231	500352	499648
109	1236	500352	499648
110	1140	500352	499648
111	1139	500352	499648
112	1185	500352	499648
113	1187	500352	499648
114	1112	500352	499648
115	1146	500352	499648
116	1126	500352	499648
117	1204	500352	499648
118	1087	500352	499648
119	1116	500352	499648
120	1168	500352	499648
121	1225	500352	499648
122	1093	500352	499648
123	1129	500352	499648
124	1163	500352	499648
125	1120	500352	499648
126	1116	500352	499648
127	1108	500352	499648
128	1118	500352	499648
129	1089	500352	499648
130	1099	500352	499648
131	1082	500352	499648
132	1148	500352	499648
133	1147	500352	499648
134	1112	500352	499648
135	1146	500352	499648
136	1122	500352	499648
137	1117	500352	499648
138	1167	500352	499648
139	1101	500352	499648
140	1070	500352	499648
141	1158	500352	499648
142	1179	500352	499648
143	1094	500352	499648
144	1101	500352	499648
145	1112	500352	499648
146	1087	500352	499648
147	1110	500352	499648
148	1111	500352	499648
149	1043	500352	499648
150	1130	500352	499648
151	1072	500352	499648
152	1084	500352	499648
153	1026	500352	499648
154	1073	500352	499648
155	1041	500352	499648
156	1070	500352	499648
157	1104	500352	499648
158	1117	500352	499648
159	1069	500352	499648
160	1055	500352	499648
161	1022	500352	499648
162	1034	500352	499648
163	1066	500352	499648
164	1148	500352	499648
165	1063	500352	499648
166	1034	500352	499648
