lag	cross_corr	plus_count	minus_count
0	575	499645	500355
1	718	499645	500355
2	649	499645	500355
3	620	499645	500355
4	519	499645	500355
5	530	499645	500355
6	491	499645	500355
7	532	499645	500355
8	484	499645	500355
9	452	499645	500355
10	482	499645	500355
11	451	499645	500355
12	454	499645	500355
13	393	499645	500355
14	402	499645	500355
15	423	499645	500355
16	382	499645	500355
17	314	499645	500355
18	361	499645	500355
19	417	499645	500355
20	388	499645	500355
21	379	499645	500355
22	331	499645	500355
23	341	499645	500355
24	312	499645	500355
25	311	499645	500355
26	316	499645	500355
27	295	499645	500355
28	268	499645	500355
29	294	499645	500355
30	264	499645	500355
31	247	499645	500355
32	223	499645	500355
33	220	499645	500355
34	211	499645	500355
35	207	499645	500355
36	170	499645	500355
37	125	499645	500355
38	94	499645	500355
39	105	499645	500355
40	83	499645	500355
41	92	499645	500355
42	67	499645	500355
43	54	499645	500355
44	36	499645	500355
45	21	499645	500355
46	18	499645	500355
47	5	499645	500355
48	3	499645	500355
49	3	499645	500355
50	7	499645	500355
51	18	499645	500355
52	20	499645	500355
53	30	499645	500355
54	43	499645	500355
55	57	499645	500355
56	86	499645	500355
57	98	499645	500355
58	100	499645	500355
59	117	499645	500355
60	134	499645	500355
61	144	499645	500355
62	160	499645	500355
63	146	499645	500355
64	177	499645	500355
65	184	499645	500355
66	228	499645	500355
67	205	499645	500355
68	224	499645	500355
69	246	499645	500355
70	263	499645	500355
71	262	499645	500355
72	256	499645	500355
73	292	499645	500355
74	236	499645	500355
75	304	499645	500355
76	260	499645	500355
77	296	499645	500355
78	286	499645	500355
79	321	499645	500355
80	299	499645	500355
81	297	499645	500355
82	323	499645	500355
83	322	499645	500355
84	295	499645	500355
85	323	499645	500355
86	287	499645	500355
87	285	499645	500355
88	318	499645	500355
89	271	499645	500355
90	301	499645	500355
91	333	499645	500355
92	285	499645	500355
93	334	499645	500355
94	325	499645	500355
95	299	499645	500355
96	262	499645	500355
97	299	499645	500355
98	308	499645	500355
99	283	499645	500355
100	297	499645	500355
101	269	499645	500355
102	296	499645	500355
103	302	499645	500355
104	266	499645	500355
105	306	499645	500355
106	285	499645	500355
107	284	499645	500355
108	241	499645	500355
109	278	499645	500355
110	269	499645	500355
111	250	499645	500355
112	260	499645	500355
113	277	499645	500355
114	257	499645	500355
115	226	499645	500355
116	267	499645	500355
117	285	499645	500355
118	231	499645	500355
119	273	499645	500355
120	267	499645	500355
121	251	499645	500355
122	244	499645	500355
123	261	499645	500355
124	239	499645	500355
125	254	499645	500355
126	232	499645	500355
127	232	499645	500355
128	222	499645	500355
129	218	499645	500355
130	228	499645	500355
131	213	499645	500355
132	226	499645	500355
133	218	499645	500355
134	231	499645	500355
135	243	499645	500355
136	239	499645	500355
137	206	499645	500355
138	202	499645	500355
139	221	499645	500355
140	211	499645	500355
141	200	499645	500355
142	190	499645	500355
143	176	499645	500355
144	201	499645	500355
145	242	499645	500355
146	200	499645	500355
147	220	499645	500355
148	196	499645	500355
149	196	499645	500355
150	217	499645	500355
151	194	499645	500355
152	217	499645	500355
153	176	499645	500355
154	215	499645	500355
155	211	499645	500355
156	222	499645	500355
157	209	499645	500355
158	179	499645	500355
159	194	499645	500355
160	217	499645	500355
161	194	499645	500355
162	194	499645	500355
163	177	499645	500355
164	178	499645	500355
165	181	499645	500355
166	184	499645	500355
167	204	499645	500355
168	184	499645	500355
169	168	499645	500355
170	166	499645	500355
171	191	499645	500355
172	180	499645	500355
173	171	499645	500355
174	192	499645	500355
175	177	499645	500355
176	202	499645	500355
177	190	499645	500355
178	188	499645	500355
179	193	499645	500355
180	187	499645	500355
181	186	499645	500355
182	189	499645	500355
183	182	499645	500355
184	195	499645	500355
185	189	499645	500355
186	184	499645	500355
187	164	499645	500355
188	192	499645	500355
189	188	499645	500355
190	188	499645	500355
191	197	499645	500355
192	175	499645	500355
193	183	499645	500355
194	183	499645	500355
195	195	499645	500355
196	159	499645	500355
197	175	499645	500355
198	182	499645	500355
199	170	499645	500355
200	204	499645	500355
201	175	499645	500355
202	185	499645	500355
203	181	499645	500355
204	167	499645	500355
205	181	499645	500355
206	191	499645	500355
207	170	499645	500355
208	186	499645	500355
209	179	499645	500355
210	171	499645	500355
