lag	cross_corr	plus_count	minus_count
0	5281	500150	499850
1	7456	500150	499850
2	8276	500150	499850
3	7801	500150	499850
4	5965	500150	499850
5	5818	500150	499850
6	6081	500150	499850
7	6029	500150	499850
8	6183	500150	499850
9	5695	500150	499850
10	5451	500150	499850
11	5509	500150	499850
12	5502	500150	499850
13	5314	500150	499850
14	5538	500150	499850
15	5630	500150	499850
16	5508	500150	499850
17	5495	500150	499850
18	6553	500150	499850
19	5599	500150	499850
20	6692	500150	499850
21	7430	500150	499850
22	7859	500150	499850
23	8040	500150	499850
24	8681	500150	499850
25	9290	500150	499850
26	8996	500150	499850
27	9739	500150	499850
28	12345	500150	499850
29	12079	500150	499850
30	10990	500150	499850
31	13476	500150	499850
32	11322	500150	499850
33	11864	500150	499850
34	15424	500150	499850
35	16241	500150	499850
36	13930	500150	499850
37	16737	500150	499850
38	15241	500150	499850
39	15982	500150	499850
40	15594	500150	499850
41	17972	500150	499850
42	14654	500150	499850
43	15821	500150	499850
44	15814	500150	499850
45	15551	500150	499850
46	13582	500150	499850
47	14819	500150	499850
48	9543	500150	499850
49	9690	500150	499850
50	11394	500150	499850
51	16976	500150	499850
52	15396	500150	499850
53	18529	500150	499850
54	18618	500150	499850
55	18355	500150	499850
56	16954	500150	499850
57	20670	500150	499850
58	17735	500150	499850
59	18752	500150	499850
60	19168	500150	499850
61	18059	500150	499850
62	17696	500150	499850
63	17069	500150	499850
64	16436	500150	499850
65	17580	500150	499850
66	15744	500150	499850
67	16101	500150	499850
68	15885	500150	499850
69	15998	500150	499850
70	15925	500150	499850
71	14760	500150	499850
72	16032	500150	499850
73	15006	500150	499850
74	14613	500150	499850
75	13405	500150	499850
76	14773	500150	499850
77	14151	500150	499850
78	13789	500150	499850
79	11820	500150	499850
80	12132	500150	499850
81	12088	500150	499850
82	12109	500150	499850
83	10913	500150	499850
84	11447	500150	499850
85	10825	500150	499850
86	9962	500150	499850
87	9903	500150	499850
88	10781	500150	499850
89	9048	500150	499850
90	9363	500150	499850
91	9948	500150	499850
92	9608	500150	499850
93	9437	500150	499850
94	8907	500150	499850
95	9289	500150	499850
96	7875	500150	499850
97	8117	500150	499850
98	8268	500150	499850
99	8265	500150	499850
100	7887	500150	499850
101	7378	500150	499850
102	7974	500150	499850
103	7651	500150	499850
104	7142	500150	499850
105	6999	500150	499850
106	6997	500150	499850
107	7036	500150	499850
108	6616	500150	499850
109	7178	500150	499850
110	6971	500150	499850
111	6508	500150	499850
112	6646	500150	499850
113	6624	500150	499850
114	6403	500150	499850
115	6274	500150	499850
116	6407	500150	499850
117	6238	500150	499850
118	6174	500150	499850
119	6084	500150	499850
120	6007	500150	499850
121	6178	500150	499850
122	5894	500150	499850
123	5916	500150	499850
124	5869	500150	499850
125	5804	500150	499850
126	5734	500150	499850
127	5716	500150	499850
128	5741	500150	499850
129	5781	500150	499850
130	5622	500150	499850
131	5525	500150	499850
132	5695	500150	499850
133	5468	500150	499850
134	5277	500150	499850
135	5398	500150	499850
136	5350	500150	499850
137	5274	500150	499850
138	5420	500150	499850
139	5208	500150	499850
140	5194	500150	499850
141	5121	500150	499850
142	5184	500150	499850
143	5012	500150	499850
144	5089	500150	499850
145	5003	500150	499850
146	4991	500150	499850
147	4924	500150	499850
148	4833	500150	499850
149	4860	500150	499850
150	4744	500150	499850
151	4720	500150	499850
152	4705	500150	499850
153	4573	500150	499850
154	4760	500150	499850
155	4636	500150	499850
156	4684	500150	499850
157	4674	500150	499850
158	4545	500150	499850
159	4412	500150	499850
160	4454	500150	499850
161	4373	500150	499850
162	4434	500150	499850
163	4333	500150	499850
164	4265	500150	499850
165	4267	500150	499850
166	4299	500150	499850
167	4351	500150	499850
168	4147	500150	499850
169	4190	500150	499850
170	4160	500150	499850
171	4182	500150	499850
172	4093	500150	499850
173	4092	500150	499850
174	3982	500150	499850
175	4106	500150	499850
176	4135	500150	499850
177	3923	500150	499850
178	3922	500150	499850
179	4013	500150	499850
180	3897	500150	499850
181	3929	500150	499850
182	3832	500150	499850
183	3872	500150	499850
184	3930	500150	499850
185	3820	500150	499850
186	3804	500150	499850
187	3749	500150	499850
188	3722	500150	499850
189	3750	500150	499850
190	3682	500150	499850
191	3733	500150	499850
192	3661	500150	499850
193	3662	500150	499850
194	3644	500150	499850
195	3547	500150	499850
196	3496	500150	499850
197	3508	500150	499850
198	3488	500150	499850
199	3440	500150	499850
200	3473	500150	499850
201	3420	500150	499850
202	3414	500150	499850
203	3385	500150	499850
204	3412	500150	499850
205	3299	500150	499850
206	3350	500150	499850
207	3223	500150	499850
208	3267	500150	499850
209	3320	500150	499850
210	3244	500150	499850
211	3272	500150	499850
212	3259	500150	499850
213	3253	500150	499850
214	3214	500150	499850
215	3085	500150	499850
216	3090	500150	499850
217	3123	500150	499850
218	3167	500150	499850
219	3142	500150	499850
220	3121	500150	499850
221	3039	500150	499850
222	3084	500150	499850
223	3118	500150	499850
224	3042	500150	499850
225	3011	500150	499850
226	2907	500150	499850
227	3039	500150	499850
228	2996	500150	499850
229	2906	500150	499850
230	2930	500150	499850
231	2873	500150	499850
232	2760	500150	499850
233	2861	500150	499850
234	2797	500150	499850
235	2842	500150	499850
236	2791	500150	499850
237	2806	500150	499850
238	2705	500150	499850
239	2793	500150	499850
240	2704	500150	499850
241	2764	500150	499850
242	2680	500150	499850
243	2712	500150	499850
244	2734	500150	499850
245	2657	500150	499850
246	2686	500150	499850
247	2706	500150	499850
248	2654	500150	499850
249	2666	500150	499850
250	2595	500150	499850
251	2576	500150	499850
252	2582	500150	499850
253	2564	500150	499850
