#plotCorrelation --outFileCorMatrix
	'Convert BedGraph to BigWig on dataset 24_0.bw'	'Convert BedGraph to BigWig on dataset 36_3.bw'	'Convert BedGraph to BigWig on dataset 25_1.bw'	'Convert BedGraph to BigWig on dataset 28_4.bw'	'Convert BedGraph to BigWig on dataset 32_8.bw'	'Convert BedGraph to BigWig on dataset 31_7.bw'	'Convert BedGraph to BigWig on dataset 29_5.bw'	'Convert BedGraph to BigWig on dataset 33_9.bw'	'Convert BedGraph to BigWig on dataset 26_2.bw'	'Convert BedGraph to BigWig on dataset 30_6.bw'
'Convert BedGraph to BigWig on dataset 24_0.bw'	1.0000	0.6001	0.5986	0.7323	0.5509	0.6554	0.6197	0.5691	0.5833	0.6224
'Convert BedGraph to BigWig on dataset 36_3.bw'	0.6001	1.0000	0.7007	0.6755	0.6411	0.6924	0.7246	0.6897	0.6930	0.7205
'Convert BedGraph to BigWig on dataset 25_1.bw'	0.5986	0.7007	1.0000	0.6840	0.6558	0.7005	0.7176	0.6947	0.7048	0.7169
'Convert BedGraph to BigWig on dataset 28_4.bw'	0.7323	0.6755	0.6840	1.0000	0.6622	0.7621	0.7350	0.6840	0.7063	0.7269
'Convert BedGraph to BigWig on dataset 32_8.bw'	0.5509	0.6411	0.6558	0.6622	1.0000	0.7565	0.7345	0.7444	0.7096	0.6988
'Convert BedGraph to BigWig on dataset 31_7.bw'	0.6554	0.6924	0.7005	0.7621	0.7565	1.0000	0.7860	0.7943	0.7589	0.7584
'Convert BedGraph to BigWig on dataset 29_5.bw'	0.6197	0.7246	0.7176	0.7350	0.7345	0.7860	1.0000	0.7739	0.7976	0.7832
'Convert BedGraph to BigWig on dataset 33_9.bw'	0.5691	0.6897	0.6947	0.6840	0.7444	0.7943	0.7739	1.0000	0.8121	0.7776
'Convert BedGraph to BigWig on dataset 26_2.bw'	0.5833	0.6930	0.7048	0.7063	0.7096	0.7589	0.7976	0.8121	1.0000	0.8176
'Convert BedGraph to BigWig on dataset 30_6.bw'	0.6224	0.7205	0.7169	0.7269	0.6988	0.7584	0.7832	0.7776	0.8176	1.0000
