names	scores	logfoldchanges	pvals	pvals_adj
NEAT1	39.390278	5.747682	0.0	0.0
AKAP12	39.253803	7.452327	0.0	0.0
GABRG3	39.16509	7.4692626	0.0	0.0
CTNNA2	39.15218	6.48857	0.0	0.0
NAV2	39.038506	6.6860433	0.0	0.0
STAC2	37.947536	6.4623375	0.0	0.0
PDE8B	37.607727	6.410531	1.607269449246403e-309	8.403952730266798e-306
KAZN	37.589085	5.8981094	3.24140034936352e-309	1.4829811773381767e-305
TF	37.421867	6.080248	1.7232238397123987e-306	7.007968417479277e-303
GABRG3-AS1	36.80547	6.441548	1.5094157635824802e-296	5.524612636288236e-293
PRKG1	36.530895	5.7558627	3.5856562723703208e-292	1.1930782293184191e-288
ESYT2	36.337677	5.6121845	4.113777263751897e-289	1.2547363469215265e-285
RASGRP1	36.25842	6.115674	7.321492496444606e-288	2.061338052787454e-284
RTN4	36.19021	3.6626832	8.679989030673188e-287	2.26925913222621e-283
PMEPA1	35.896103	6.298428	3.5135986041178095e-282	8.573414833954396e-279
FOXP2	35.734386	6.326341	1.1564958539129725e-279	2.6455565468167943e-276
LRRC4C	35.472706	4.606394	1.2958779592865845e-275	2.7900252463440164e-272
PIP5K1B	35.446903	5.8009343	3.237622282806294e-275	6.583345176277397e-272
ZHX2	35.428818	6.261153	6.148821711592191e-275	1.1844895971893987e-271
GLUL	35.41383	4.9092145	1.0459418098186374e-274	1.9141258090585974e-271
DIP2C	34.9985	3.7019806	2.3710961976177608e-268	4.132594853762269e-265
WIF1	34.981342	5.467538	4.3243150104994655e-268	7.194284259058679e-265
LSAMP	34.853817	4.511808	3.726900885862855e-266	5.930795622759407e-263
MYO3A	34.794445	6.1138697	2.951400985418187e-265	4.501009477803794e-262
CDH23	34.752796	6.0593686	1.2575164071546278e-264	1.8410543207306614e-261
APP	34.660583	4.896845	3.0945449442401333e-263	4.356286134774351e-260
MAPK4	34.651382	5.2165933	4.257803908230039e-263	5.771847438708432e-260
COL23A1	34.64045	6.6869392	6.2207392579914535e-263	8.1316170564909e-260
TRPM3	34.59169	4.9011188	3.36890496042058e-262	4.251906567460471e-259
SPOCK1	34.428596	5.494015	9.416297790318042e-260	1.1488197180781022e-256
CP	34.102566	5.9588385	6.757688572249336e-255	7.978650304287031e-252
CDH11	33.72342	4.9852233	2.622929716528606e-249	3.0000578298332347e-246
JUNB	33.63657	5.628999	4.900509514807968e-248	5.4352590530753465e-245
DLG1	33.598583	3.3647242	1.759476786414768e-247	1.8940767605754977e-244
DLG5	33.363823	4.6519704	4.5915024918184316e-244	4.801530934372755e-241
TANC1	33.294426	4.641902	4.6494212878590287e-243	4.7270407932480086e-240
MIR100HG	32.826763	5.1383862	2.444777833893998e-236	2.418413878333898e-233
PLCE1	32.801414	5.42205	5.6210403965013775e-236	5.414097356640708e-233
PDE10A	32.772026	5.9997563	1.4745308585176587e-235	1.3838283064770468e-232
VEGFA	32.52108	3.8454115	5.3695018998032356e-232	4.913228475867456e-229
LINC00511	32.231804	6.7883635	6.328401345129844e-228	5.649410186173108e-225
HKDC1	32.182953	5.705433	3.0567975077391137e-227	2.663853466208555e-224
GPM6A	32.140873	3.9025207	1.1847173683369363e-226	1.008414892988377e-223
SLAIN1	32.0969	4.7348576	4.870623423544658e-226	4.051583816480864e-223
KIAA1217	31.99479	4.300275	1.2884509405019326e-224	1.0479687305180274e-221
IGFBP5	31.816936	6.165268	3.7750682799954895e-222	3.0037233503503243e-219
EGF	31.801542	5.5980124	6.162868571169827e-222	4.799301118582699e-219
ARHGAP32	31.237576	3.4196107	3.292719751005829e-214	2.5107674084700906e-211
FOS	31.165497	6.2708445	3.128084573465057e-213	2.3365514994570317e-210
LGR4	31.139734	3.990169	6.985314678943722e-213	5.113390051280383e-210
ECE1	30.957388	6.177263	2.020793620943875e-210	1.4502562219640542e-207
