group	names	scores	logfoldchanges	pvals	pvals_adj
0	SAG	67.607506	3.6748235	0.0	0.0
0	RHO	62.822712	3.4017742	0.0	0.0
0	GNGT1	62.60734	3.0692446	0.0	0.0
0	GNAT1	62.265003	3.4880285	0.0	0.0
0	NRL	59.177067	3.0732214	0.0	0.0
0	PDE6G	59.092457	2.6995056	0.0	0.0
0	PPEF2	57.98554	3.2026498	0.0	0.0
0	PDC	56.411716	3.1014755	0.0	0.0
0	AC044810.2	55.994873	3.0486631	0.0	0.0
0	HMGN1	55.740623	2.547595	0.0	0.0
0	ROM1	55.530964	2.7846422	0.0	0.0
0	RCVRN	55.014915	2.4258657	0.0	0.0
0	TTC39C	52.836308	2.7545407	0.0	0.0
0	MPP4	51.47946	2.7910807	0.0	0.0
0	RP1	51.206474	2.6125731	0.0	0.0
0	NTM	50.873493	2.097495	0.0	0.0
0	CNKSR2	50.293247	2.564559	0.0	0.0
0	GNB1	49.64506	2.362536	0.0	0.0
0	AIPL1	48.948093	2.303109	0.0	0.0
0	HCN1	48.613007	2.1853902	0.0	0.0
0	PRPH2	48.242832	2.4891987	0.0	0.0
0	CNGA1	48.003963	2.6357892	0.0	0.0
0	PDE6A	47.888004	2.9034314	0.0	0.0
0	EPB41L2	47.709515	2.0173202	0.0	0.0
0	THSD7B	45.94721	2.4980075	0.0	0.0
0	SGIP1	45.48622	1.6050141	0.0	0.0
0	UNC119	45.18255	2.0522592	0.0	0.0
0	TMEM108	44.788223	2.1747131	0.0	0.0
0	NR2E3	44.65925	2.5366237	0.0	0.0
0	RDH12	44.649376	3.4121792	0.0	0.0
0	RGS9	42.14115	2.2283754	0.0	0.0
0	MAP2	41.461285	1.5490677	0.0	0.0
0	SLC4A7	41.439156	1.9410908	0.0	0.0
0	USH2A	41.045418	2.2344732	0.0	0.0
0	KCTD8	40.86506	2.314023	0.0	0.0
0	CADM2	40.690372	1.1330034	0.0	0.0
0	SLC6A6	39.79408	1.8594853	0.0	0.0
0	ATP8A2	39.5275	1.8091738	0.0	0.0
