metric	value
rows	150000
cells	600
time_points_per_cell	250
contact_threshold_nm	260
distance_definition	sqrt((enh_x-prom_x)^2+(enh_y-prom_y)^2+(enh_z-prom_z)^2)
same_time_contact_0_transcription_0	120150
same_time_contact_0_transcription_1	21846
same_time_contact_1_transcription_0	6764
same_time_contact_1_transcription_1	1240
T_onset_denominator_given_C1_T0	6741
T_onset_numerator_given_C1_T0	1357
T_onset_rate_given_C1_T0	0.201305444296
T_onset_denominator_given_C0_T0	119663
T_onset_numerator_given_C0_T0	18100
T_onset_rate_given_C0_T0	0.151258116544
C_onset_denominator_given_T1_C0	21761
C_onset_numerator_given_T1_C0	2036
C_onset_rate_given_T1_C0	0.093561876752
C_onset_denominator_given_T0_C0	119663
C_onset_numerator_given_T0_C0	5500
C_onset_rate_given_T0_C0	0.0459624111045
lagged_T_rate_given_C1	0.201305444296
lagged_T_rate_given_C0	0.151258116544
lagged_C_rate_given_T1	0.093561876752
lagged_C_rate_given_T0	0.0459624111045
