PARENT
total 197
drwxr-xr-x   13 g2main   G-803372        18 Aug 25 07:03 .
drwxr-xr-x    3 g2main   G-803372        60 Aug 25 07:03 ..
-rwx------    1 g2main   G-803372     10855 Aug 25 07:03 command.sh
drwxr-xr-x    2 g2main   G-803372         2 Aug 25 07:03 configs
drwxr-xr-x    2 g2main   G-803372         2 Aug 25 07:03 configs.orig
-rw-r--r--    1 g2main   G-803372         9 Aug 25 07:03 external_id
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 home
drwxr-xr-x    2 g2main   G-803372         1 Aug 25 07:03 inputs
-rw-r--r--    1 g2main   G-803372    180618 Aug 25 07:03 launch_config
drwxr-xr-x    3 g2main   G-803372        19 Aug 25 07:03 metadata
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 outputs
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 outputs.orig
-rw-r--r--    1 g2main   G-803372         4 Aug 25 07:03 preprocessed
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 tmp
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 tool_files
-rw-r--r--    1 g2main   G-803372        16 Aug 25 07:03 tool_id
-rw-r--r--    1 g2main   G-803372      1041 Aug 25 07:03 tool_script.sh
-rw-r--r--    1 g2main   G-803372         7 Aug 25 07:03 tool_version
drwxr-xr-x    2 g2main   G-803372         1 Aug 25 07:03 working
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 working.orig
JOBHOME
total 1
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 .
drwxr-xr-x   13 g2main   G-803372        18 Aug 25 07:03 ..
JOBROOT
total 197
drwxr-xr-x   13 g2main   G-803372        18 Aug 25 07:03 .
drwxr-xr-x    3 g2main   G-803372        60 Aug 25 07:03 ..
-rwx------    1 g2main   G-803372     10855 Aug 25 07:03 command.sh
drwxr-xr-x    2 g2main   G-803372         2 Aug 25 07:03 configs
drwxr-xr-x    2 g2main   G-803372         2 Aug 25 07:03 configs.orig
-rw-r--r--    1 g2main   G-803372         9 Aug 25 07:03 external_id
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 home
drwxr-xr-x    2 g2main   G-803372         1 Aug 25 07:03 inputs
-rw-r--r--    1 g2main   G-803372    180618 Aug 25 07:03 launch_config
drwxr-xr-x    3 g2main   G-803372        19 Aug 25 07:03 metadata
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 outputs
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 outputs.orig
-rw-r--r--    1 g2main   G-803372         4 Aug 25 07:03 preprocessed
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 tmp
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 tool_files
-rw-r--r--    1 g2main   G-803372        16 Aug 25 07:03 tool_id
-rw-r--r--    1 g2main   G-803372      1041 Aug 25 07:03 tool_script.sh
-rw-r--r--    1 g2main   G-803372         7 Aug 25 07:03 tool_version
drwxr-xr-x    2 g2main   G-803372         1 Aug 25 07:03 working
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 working.orig
TOOLFILES
total 1
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 .
drwxr-xr-x   13 g2main   G-803372        18 Aug 25 07:03 ..
TMP
total 1
drwxr-xr-x    2 g2main   G-803372         0 Aug 25 07:03 .
drwxr-xr-x   13 g2main   G-803372        18 Aug 25 07:03 ..
