metric	value
archive_members	barcodes.tsv.gz|features.tsv.gz|matrix.mtx.gz|scalefactors_json.json|spatial_q_sc_counts.csv|spatial_q_sc_metadata.csv|tissue_hires_image.png|tissue_lowres_image.png|tissue_positions.csv
archive_sizes	barcodes.tsv.gz:1925|features.tsv.gz:4938|matrix.mtx.gz:1667456|scalefactors_json.json:123|spatial_q_sc_counts.csv:2426670|spatial_q_sc_metadata.csv:24101|tissue_hires_image.png:8580|tissue_lowres_image.png:2881|tissue_positions.csv:24386
metadata_header	"["""", ""cell_type""]"
metadata_nrows	1200
metadata_first_rows	"[[""Cell_0"", ""Tumor_Core""], [""Cell_1"", ""Tumor_Core""], [""Cell_2"", ""Tumor_Core""], [""Cell_3"", ""Tumor_Core""]]"
metadata_lastcol_counts	"{""B_Cell"": 200, ""Endothelial"": 200, ""Fibroblast_Stroma"": 200, ""Macrophage"": 200, ""T_Cell"": 200, ""Tumor_Core"": 200}"
sc_counts_header_len	1001
sc_counts_header_first	"["""", ""Gene_0"", ""Gene_1"", ""Gene_2"", ""Gene_3"", ""Gene_4"", ""Gene_5"", ""Gene_6""]"
sc_counts_nrows	1200
sc_counts_row_lengths	"{""1001"": 1200}"
sc_counts_first_rows	"[[""Cell_0"", ""7"", ""11"", ""5"", ""5"", ""6"", ""4"", ""8""], [""Cell_1"", ""4"", ""6"", ""4"", ""8"", ""5"", ""6"", ""7""], [""Cell_2"", ""2"", ""11"", ""9"", ""9"", ""5"", ""4"", ""5""]]"
features_nrows	1000
features_first	"[[""ENSG0000"", ""Gene_0"", ""Gene Expression""], [""ENSG0001"", ""Gene_1"", ""Gene Expression""], [""ENSG0002"", ""Gene_2"", ""Gene Expression""], [""ENSG0003"", ""Gene_3"", ""Gene Expression""]]"
barcodes_nrows	900
barcodes_first	"[""Spot_0-1"", ""Spot_1-1"", ""Spot_2-1"", ""Spot_3-1"", ""Spot_4-1""]"
target_barcode_1based_indices	[711]
matrix_banner	%%MatrixMarket matrix coordinate real general
matrix_dims	[1000, 900, 641101]
target_nonzero_genes_assuming_spots_are_columns	883
target_library_size_assuming_spots_are_columns	3693.0
positions_header	"[""barcode"", ""in_tissue"", ""array_row"", ""array_col"", ""pxl_row_in_fullres"", ""pxl_col_in_fullres""]"
target_position_rows	"[[""Spot_710-1"", ""1"", ""20"", ""23"", ""1100"", ""1250""]]"
