source_experiments=699
afgr_atac_experiments=100
afgr_atac_filtered_bams=100
igsr_unique_samples=3202
intersection_samples=83
nonmatching_afgr_atac_samples=17
output_sorted=True
output_unique=True
output_file_md5=1127bd47e06e7c19e8f0d5b5458a244a
nonmatch	GM21360	NA21360	/experiments/ENCSR105SCQ/
nonmatch	GM21367	NA21367	/experiments/ENCSR509JPT/
nonmatch	GM21381	NA21381	/experiments/ENCSR512YXO/
nonmatch	GM21390	NA21390	/experiments/ENCSR024WOD/
nonmatch	GM21423	NA21423	/experiments/ENCSR902CFR/
nonmatch	GM21447	NA21447	/experiments/ENCSR424KQH/
nonmatch	GM21515	NA21515	/experiments/ENCSR960KGO/
nonmatch	GM21526	NA21526	/experiments/ENCSR408IVU/
nonmatch	GM21528	NA21528	/experiments/ENCSR939EVW/
nonmatch	GM21529	NA21529	/experiments/ENCSR954BDA/
nonmatch	GM21576	NA21576	/experiments/ENCSR122NDR/
nonmatch	GM21619	NA21619	/experiments/ENCSR214EIV/
nonmatch	GM21717	NA21717	/experiments/ENCSR422RPD/
nonmatch	GM21723	NA21723	/experiments/ENCSR233HSC/
nonmatch	GM21737	NA21737	/experiments/ENCSR315QWI/
nonmatch	GM21786	NA21786	/experiments/ENCSR275LCF/
nonmatch	GM21825	NA21825	/experiments/ENCSR641KNU/
selected	HG02571	/experiments/ENCSR400ISH/	ENCFF030ITR	d709c0152e841bea79d68951b47df427
selected	HG02588	/experiments/ENCSR189VFC/	ENCFF025ITU	e592b054de8903cce5e2fb25f88b1c9e
selected	HG02610	/experiments/ENCSR905PWV/	ENCFF230HVR	7eed78f47dea039f1532eb0605286b18
selected	HG02623	/experiments/ENCSR821JHD/	ENCFF495DQP	2fa733308a2dac4cbfc09dba79c332ea
selected	HG02642	/experiments/ENCSR821QHC/	ENCFF705PBQ	4d4e6827add661e394804f575041cd34
selected	HG02678	/experiments/ENCSR180HEL/	ENCFF447ZRG	5cfd6787d8e02211b9cfcf0cdbb3d5a5
selected	HG02759	/experiments/ENCSR144ZXR/	ENCFF687QML	73e60d0446bdb995b38cf37274c7e7e7
selected	HG02763	/experiments/ENCSR404OEO/	ENCFF321SNO	9fa70b420130ca0150ec6e5d5d27b22e
selected	HG02798	/experiments/ENCSR524CPZ/	ENCFF960AXI	3c01ff80f2e0f57aa299fa95b4009119
selected	HG02840	/experiments/ENCSR854ZBA/	ENCFF720BLR	9f3be2a35c75c9b7b0f73290883b1591
selected	HG02852	/experiments/ENCSR368FYV/	ENCFF978QLZ	86d819db9206832fb54853581f63acd1
selected	HG02870	/experiments/ENCSR420RVW/	ENCFF358GWK	9199c0ad6ff68d19ad66bc5ed20db697
selected	HG02884	/experiments/ENCSR604YEQ/	ENCFF079OKV	e39262832afac99d3ae5e436abca0fb3
selected	HG02885	/experiments/ENCSR621JYI/	ENCFF056MAS	3d22fccf967596fd65bec080d5e43524
selected	HG02938	/experiments/ENCSR920FQJ/	ENCFF966ELR	05d62214e6c2826bcb065d8735b07485
selected	HG02943	/experiments/ENCSR123WME/	ENCFF657AXO	19221f02914085612ce2c6ca6d0b1fa0
selected	HG02970	/experiments/ENCSR857MCZ/	ENCFF320DVY	568d0f46cebc18002763434f95dc9969
selected	HG02973	/experiments/ENCSR038WVV/	ENCFF395ZMS	c30e23c0556d6a53c36e9ee72afc8e13
selected	HG02981	/experiments/ENCSR208HAP/	ENCFF710GAW	11dd81e1ad971b39d9bead2d86be4800
selected	HG03025	/experiments/ENCSR673ZMQ/	ENCFF715RQC	67916d292b0ec86235fc9eda8203ad8a
selected	HG03039	/experiments/ENCSR381LJX/	ENCFF231QTG	4ab8c94c74cc75174fc4826a7c5dd102
selected	HG03045	/experiments/ENCSR249FXU/	ENCFF216MFD	19dd00867a4f094440d7ae0eb8bdac01
selected	HG03060	/experiments/ENCSR470ZNM/	ENCFF207CZR	fad12a3e0c2779cb5b98c4ec2004978d
selected	HG03064	/experiments/ENCSR487SOP/	ENCFF270VDV	f093fac8cf42e5ec8bebf3b0c8383864
selected	HG03066	/experiments/ENCSR040PBN/	ENCFF479XDB	148718145964b98468627c22c656f18b
selected	HG03095	/experiments/ENCSR359HFH/	ENCFF801THG	18be33cb26c31a986cdf78c3f6959732
selected	HG03097	/experiments/ENCSR608KJD/	ENCFF919PWF	d2fe6e478d9c113bcf28e2582856974e
selected	HG03103	/experiments/ENCSR833ACP/	ENCFF925NDY	f5f8481c57b227902eb2a0f7b259bdf7
selected	HG03108	/experiments/ENCSR962ITF/	ENCFF948HNW	5722e2590036dfc5b07ca910f34340e6
selected	HG03135	/experiments/ENCSR096VEO/	ENCFF004CBW	03e0db2e066033c76df8641221fdcabe
selected	HG03139	/experiments/ENCSR615YIL/	ENCFF231YYD	fd3bce3af2537a89518fb233b56f9abb
selected	HG03159	/experiments/ENCSR940YDN/	ENCFF998WJT	4101503ea6aa5afed696babaf2730d16
selected	HG03175	/experiments/ENCSR305XRF/	ENCFF963YZH	cd8ab8907882ba9e76ec882c0bddf0bd
selected	HG03196	/experiments/ENCSR063UNG/	ENCFF767FGV	52c130df2cc232bd3ce921b6899f1485
selected	HG03280	/experiments/ENCSR554WGQ/	ENCFF588QWF	23d33fa23ebed1b3c5dd596a0b1934c4
selected	HG03342	/experiments/ENCSR528YDD/	ENCFF848NBQ	69ea343d3ed728e00efccd52c37afd6b
selected	HG03354	/experiments/ENCSR025MEO/	ENCFF132WNX	28512c5e00ee6f0de9bb0fb223bfa56b
selected	HG03378	/experiments/ENCSR824DUE/	ENCFF497QOS	46acb3a0393066804a51767793656192
selected	HG03432	/experiments/ENCSR839UOB/	ENCFF170VVQ	df4547a448cb6eed34c4f1ac0fa94dae
selected	HG03439	/experiments/ENCSR376YMU/	ENCFF326QXM	a794b3660f7991e0c22b360578f05520
selected	HG03442	/experiments/ENCSR858GTE/	ENCFF130DND	c5eac6ff59366054fe2a098e58363a44
selected	HG03457	/experiments/ENCSR322SBN/	ENCFF785NTV	0a34ba29d2489343677fd85e5ee62209
selected	HG03460	/experiments/ENCSR345NVR/	ENCFF110EWQ	19c4dfffff43350a9eaff3b644c93049
selected	HG03469	/experiments/ENCSR163KRG/	ENCFF430HQS	fc57381d00f1032666f6f1bf7a5863c7
selected	HG03520	/experiments/ENCSR624CTU/	ENCFF614WUU	63e4e5fd3df0e87be7b361692e83d64f
selected	HG03521	/experiments/ENCSR594TMY/	ENCFF129JFT	9a57304a9fff5865019af964b9ac9023
selected	HG03558	/experiments/ENCSR278JWM/	ENCFF842JIO	a91a9aebfab666b407aa886b1fb4a6a6
selected	HG03565	/experiments/ENCSR835WBW/	ENCFF220BRO	0bf13e85c128c921760766a6351535a6
selected	HG03571	/experiments/ENCSR000RBT/	ENCFF009NCL	d277ed4a324e8fd0b0dd71e8e1564fe4
selected	HG03575	/experiments/ENCSR331JFZ/	ENCFF632MBC	2e872db29e6e7891ab3826983e269f04
selected	NA18498	/experiments/ENCSR924SDV/	ENCFF935PGL	e6adf601f0f4b5d143e62d3fceba89dc
