graph_count	1398
record_1	accession=ENCFF238FYG | dataset=/experiments/ENCSR029OEU/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF238FYG | @id=/files/ENCFF238FYG/
record_2	accession=ENCFF804TLC | dataset=/experiments/ENCSR357YYW/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF804TLC | @id=/files/ENCFF804TLC/
record_3	accession=ENCFF353CUX | dataset=/experiments/ENCSR496IWD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF353CUX | @id=/files/ENCFF353CUX/
record_4	accession=ENCFF648RLW | dataset=/experiments/ENCSR496IWD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF648RLW | @id=/files/ENCFF648RLW/
record_5	accession=ENCFF631UMR | dataset=/experiments/ENCSR623JKQ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF631UMR | @id=/files/ENCFF631UMR/
record_6	accession=ENCFF210ZDK | dataset=/experiments/ENCSR388XYJ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF210ZDK | @id=/files/ENCFF210ZDK/
record_7	accession=ENCFF690ECC | dataset=/experiments/ENCSR063GUM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF690ECC | @id=/files/ENCFF690ECC/
record_8	accession=ENCFF798TVG | dataset=/experiments/ENCSR247BNP/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF798TVG | @id=/files/ENCFF798TVG/
record_9	accession=ENCFF162KYQ | dataset=/experiments/ENCSR117BGR/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF162KYQ | @id=/files/ENCFF162KYQ/
record_10	accession=ENCFF353HVN | dataset=/experiments/ENCSR427TCZ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF353HVN | @id=/files/ENCFF353HVN/
record_11	accession=ENCFF131DTP | dataset=/experiments/ENCSR095WQC/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF131DTP | @id=/files/ENCFF131DTP/
record_12	accession=ENCFF616DTJ | dataset=/experiments/ENCSR911SHG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF616DTJ | @id=/files/ENCFF616DTJ/
record_13	accession=ENCFF242UUF | dataset=/experiments/ENCSR775CYX/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF242UUF | @id=/files/ENCFF242UUF/
record_14	accession=ENCFF358EBT | dataset=/experiments/ENCSR038YSS/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF358EBT | @id=/files/ENCFF358EBT/
record_15	accession=ENCFF257GCQ | dataset=/experiments/ENCSR061IMG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF257GCQ | @id=/files/ENCFF257GCQ/
record_16	accession=ENCFF695LPE | dataset=/experiments/ENCSR264HRG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF695LPE | @id=/files/ENCFF695LPE/
record_17	accession=ENCFF241IOR | dataset=/experiments/ENCSR103VZI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF241IOR | @id=/files/ENCFF241IOR/
record_18	accession=ENCFF888ELL | dataset=/experiments/ENCSR838MLK/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF888ELL | @id=/files/ENCFF888ELL/
record_19	accession=ENCFF978KOO | dataset=/experiments/ENCSR841IRK/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF978KOO | @id=/files/ENCFF978KOO/
record_20	accession=ENCFF062KNW | dataset=/experiments/ENCSR367CJH/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF062KNW | @id=/files/ENCFF062KNW/
record_21	accession=ENCFF970EZH | dataset=/experiments/ENCSR812EFD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF970EZH | @id=/files/ENCFF970EZH/
record_22	accession=ENCFF411NAM | dataset=/experiments/ENCSR812EFD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF411NAM | @id=/files/ENCFF411NAM/
record_23	accession=ENCFF885BFL | dataset=/experiments/ENCSR909EGF/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF885BFL | @id=/files/ENCFF885BFL/
record_24	accession=ENCFF655IWW | dataset=/experiments/ENCSR065DHQ/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF655IWW | @id=/files/ENCFF655IWW/
record_25	accession=ENCFF703QMV | dataset=/experiments/ENCSR211VEI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF703QMV | @id=/files/ENCFF703QMV/
record_26	accession=ENCFF684NQJ | dataset=/experiments/ENCSR937CYO/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF684NQJ | @id=/files/ENCFF684NQJ/
record_27	accession=ENCFF564BIP | dataset=/experiments/ENCSR937CYO/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF564BIP | @id=/files/ENCFF564BIP/
record_28	accession=ENCFF704LMU | dataset=/experiments/ENCSR022CXD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF704LMU | @id=/files/ENCFF704LMU/
record_29	accession=ENCFF037YVL | dataset=/experiments/ENCSR931TXM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF037YVL | @id=/files/ENCFF037YVL/
record_30	accession=ENCFF214HZT | dataset=/experiments/ENCSR931TXM/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF214HZT | @id=/files/ENCFF214HZT/
record_31	accession=ENCFF201TKE | dataset=/experiments/ENCSR397EUF/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF201TKE | @id=/files/ENCFF201TKE/
record_32	accession=ENCFF021UOQ | dataset=/experiments/ENCSR374LLP/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF021UOQ | @id=/files/ENCFF021UOQ/
record_33	accession=ENCFF019KOP | dataset=/experiments/ENCSR638ASI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF019KOP | @id=/files/ENCFF019KOP/
record_34	accession=ENCFF793KRH | dataset=/experiments/ENCSR638ASI/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF793KRH | @id=/files/ENCFF793KRH/
record_35	accession=ENCFF353AMF | dataset=/experiments/ENCSR232AIN/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF353AMF | @id=/files/ENCFF353AMF/
record_36	accession=ENCFF121JNO | dataset=/experiments/ENCSR763FJK/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF121JNO | @id=/files/ENCFF121JNO/
record_37	accession=ENCFF627KHB | dataset=/experiments/ENCSR399IJT/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF627KHB | @id=/files/ENCFF627KHB/
record_38	accession=ENCFF528KGI | dataset=/experiments/ENCSR328VZB/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF528KGI | @id=/files/ENCFF528KGI/
record_39	accession=ENCFF839XXG | dataset=/experiments/ENCSR272BGX/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF839XXG | @id=/files/ENCFF839XXG/
record_40	accession=ENCFF342OVM | dataset=/experiments/ENCSR489ANE/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF342OVM | @id=/files/ENCFF342OVM/
record_41	accession=ENCFF511IKP | dataset=/experiments/ENCSR669PMY/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF511IKP | @id=/files/ENCFF511IKP/
record_42	accession=ENCFF651QNR | dataset=/experiments/ENCSR195EDC/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF651QNR | @id=/files/ENCFF651QNR/
record_43	accession=ENCFF040XFO | dataset=/experiments/ENCSR833FBP/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF040XFO | @id=/files/ENCFF040XFO/
record_44	accession=ENCFF796QMM | dataset=/experiments/ENCSR614BQR/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF796QMM | @id=/files/ENCFF796QMM/
record_45	accession=ENCFF314SZJ | dataset=/experiments/ENCSR454NRE/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF314SZJ | @id=/files/ENCFF314SZJ/
record_46	accession=ENCFF776IFX | dataset=/experiments/ENCSR203HJG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF776IFX | @id=/files/ENCFF776IFX/
record_47	accession=ENCFF435BCM | dataset=/experiments/ENCSR203HJG/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF435BCM | @id=/files/ENCFF435BCM/
record_48	accession=ENCFF378KLF | dataset=/experiments/ENCSR025LOD/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF378KLF | @id=/files/ENCFF378KLF/
record_49	accession=ENCFF555RMS | dataset=/experiments/ENCSR899TLB/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF555RMS | @id=/files/ENCFF555RMS/
record_50	accession=ENCFF108EXQ | dataset=/experiments/ENCSR901WQE/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF108EXQ | @id=/files/ENCFF108EXQ/
record_51	accession=ENCFF968OZQ | dataset=/experiments/ENCSR301GDF/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF968OZQ | @id=/files/ENCFF968OZQ/
record_52	accession=ENCFF760PGO | dataset=/experiments/ENCSR261LTY/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF760PGO | @id=/files/ENCFF760PGO/
record_53	accession=ENCFF896HOP | dataset=/experiments/ENCSR261LTY/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF896HOP | @id=/files/ENCFF896HOP/
record_54	accession=ENCFF772HFJ | dataset=/experiments/ENCSR806ZNR/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF772HFJ | @id=/files/ENCFF772HFJ/
record_55	accession=ENCFF869RUQ | dataset=/experiments/ENCSR140MWC/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF869RUQ | @id=/files/ENCFF869RUQ/
record_56	accession=ENCFF895HNR | dataset=/experiments/ENCSR140MWC/ | file_format=fastq | output_type=reads | status=released | biological_replicates=[1] | technical_replicates=["1_1"] | title=ENCFF895HNR | @id=/files/ENCFF895HNR/
