field	value
saved_model_source	https://huggingface.co/lucapinello/chorus-enformer/resolve/main/saved_model.pb?download=true
saved_model_pb_sha256	c8f0af88f3626e7823f2b8fb2b8b7b07d6f337ae0aadc5f70c5671d263c695d6
official_source	https://raw.githubusercontent.com/google-deepmind/deepmind-research/master/enformer/enformer.py
official_source_sha256	330d6dc505252ade7aec2bcdc7e4a7a6cbb7e1350692a4b8e8d78f929f9ffa93
official_human_head_channels	5313
official_mouse_head_channels	1643
savedmodel_variable_count	330
savedmodel_trainable_variable_count	245
savedmodel_nontrainable_variable_count	85
trunk_trainable_parameters	229845504
human_head_trainable_parameters	16326849
mouse_head_trainable_parameters	5048939
both_heads_trainable_parameters	21375788
total_trainable_parameters_including_both_heads	251221292
reconstructed_total	251221292
variable	node=2;name=save_counter;shape=;trainable=false;parameters=1
variable	node=43;name=seqnn/trunk/stem/conv1_d/w;shape=15x4x768;trainable=true;parameters=46080
variable	node=44;name=seqnn/trunk/stem/conv1_d/b;shape=768;trainable=true;parameters=768
variable	node=111;name=seqnn/heads/head_human/linear/w;shape=3072x5313;trainable=true;parameters=16321536
variable	node=112;name=seqnn/heads/head_human/linear/b;shape=5313;trainable=true;parameters=5313
variable	node=113;name=seqnn/heads/head_mouse/linear/w;shape=3072x1643;trainable=true;parameters=5047296
variable	node=114;name=seqnn/heads/head_mouse/linear/b;shape=1643;trainable=true;parameters=1643
variable	node=117;name=seqnn/trunk/stem/pooling/softmax_pooling/linear/w;shape=768x768;trainable=true;parameters=589824
variable	node=159;name=seqnn/trunk/final_pointwise/conv_block/conv1_d/w;shape=1x1536x3072;trainable=true;parameters=4718592
variable	node=160;name=seqnn/trunk/final_pointwise/conv_block/conv1_d/b;shape=3072;trainable=true;parameters=3072
variable	node=162;name=seqnn/trunk/stem/pointwise_conv_block/conv1_d/w;shape=1x768x768;trainable=true;parameters=589824
variable	node=163;name=seqnn/trunk/stem/pointwise_conv_block/conv1_d/b;shape=768;trainable=true;parameters=768
variable	node=212;name=seqnn/trunk/final_pointwise/conv_block/normalization/cross_replica_batch_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=213;name=seqnn/trunk/final_pointwise/conv_block/normalization/cross_replica_batch_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=216;name=seqnn/trunk/stem/pointwise_conv_block/normalization/cross_replica_batch_norm/scale;shape=768;trainable=true;parameters=768
variable	node=217;name=seqnn/trunk/stem/pointwise_conv_block/normalization/cross_replica_batch_norm/offset;shape=768;trainable=true;parameters=768
