	G3R1_Cortex_3xTgAD	G3R3_Cortex_3xTgAD	G3R4_Cortex_3xTgAD	G3R10_Cortex_WT	G3R7_Cortex_WT	G3R9_Cortex_WT
ENSMUSG00000000001	1020	1095	1203	1225	1116	1106
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	63	77	59	90	69	97
ENSMUSG00000000031	3	0	3	0	2	1
ENSMUSG00000000037	91	78	73	111	72	125
ENSMUSG00000000049	100	99	79	155	75	166
ENSMUSG00000000056	1567	2118	1778	1824	1713	2000
ENSMUSG00000000058	1158	1272	1242	1399	1276	1293
ENSMUSG00000000078	1415	1542	1527	1511	1245	1352
ENSMUSG00000000085	1611	1766	1665	1989	1822	1747
ENSMUSG00000000088	2350	2499	2814	2927	2561	2609
ENSMUSG00000000093	109	120	117	119	177	93
ENSMUSG00000000094	10	7	3	8	24	15
ENSMUSG00000000103	0	0	0	0	1	0
ENSMUSG00000000120	48	53	32	32	117	40
ENSMUSG00000000125	23	39	38	56	34	62
ENSMUSG00000000126	495	718	581	701	390	694
ENSMUSG00000000127	428	333	409	533	331	585
ENSMUSG00000000131	2997	3434	3303	3827	3340	3390
ENSMUSG00000000134	1067	1301	1244	1274	1344	1171
ENSMUSG00000000142	941	1057	1045	1124	1157	1119
ENSMUSG00000000148	840	916	813	875	974	820
ENSMUSG00000000149	2082	2221	2496	2747	2485	2687
ENSMUSG00000000154	17	14	16	14	18	9
ENSMUSG00000000157	1	4	4	6	3	8
ENSMUSG00000000159	1729	2084	1908	2884	1700	2152
ENSMUSG00000000167	155	118	123	147	138	127
ENSMUSG00000000168	2376	2475	2282	3016	2352	2658
ENSMUSG00000000171	1678	1759	1719	2002	1866	1761
ENSMUSG00000000182	18	19	23	23	24	10
ENSMUSG00000000183	1	0	0	0	0	0
ENSMUSG00000000184	1439	1280	1406	1673	1905	2089
ENSMUSG00000000194	1734	1934	1698	1877	2014	1932
ENSMUSG00000000197	3334	2999	2716	3835	3148	3139
ENSMUSG00000000202	388	377	528	486	510	393
ENSMUSG00000000204	1	3	1	0	2	2
ENSMUSG00000000214	22	29	26	44	38	34
ENSMUSG00000000215	1	0	0	1	0	0
ENSMUSG00000000216	20	13	15	8	12	9
ENSMUSG00000000223	3387	3853	3681	4106	3083	3813
ENSMUSG00000000244	13	16	9	13	12	10
ENSMUSG00000000247	2479	2497	2273	2355	2731	2184
ENSMUSG00000000248	1	1	4	1	5	1
ENSMUSG00000000253	1048	1152	1112	1343	1123	1190
ENSMUSG00000000263	5	2	5	11	9	11
ENSMUSG00000000266	734	784	716	1004	735	916
ENSMUSG00000000275	229	321	288	311	301	273
ENSMUSG00000000276	1852	1814	1589	2174	1658	1861
ENSMUSG00000000278	426	521	467	405	495	429
ENSMUSG00000000282	1213	1675	1588	1246	1542	1333
ENSMUSG00000000290	141	186	167	166	212	157
ENSMUSG00000000295	298	330	279	284	368	248
ENSMUSG00000000296	532	555	508	594	704	548
ENSMUSG00000000301	79	99	69	81	72	86
ENSMUSG00000000303	48	60	81	43	37	49
ENSMUSG00000000305	771	582	522	614	1600	371
ENSMUSG00000000308	3918	3817	4008	4899	4436	4885
ENSMUSG00000000317	51	246	88	70	63	65
ENSMUSG00000000318	12	21	9	17	15	12
ENSMUSG00000000320	21	17	34	29	27	20
ENSMUSG00000000325	1045	1143	1096	1173	1404	1231
ENSMUSG00000000326	1887	2331	2214	2267	2230	2242
ENSMUSG00000000339	1254	1454	1305	1381	1248	1418
ENSMUSG00000000340	614	756	744	628	615	671
ENSMUSG00000000346	3016	3491	3422	3250	3088	3296
ENSMUSG00000000355	1329	1438	1498	1537	1405	1475
ENSMUSG00000000359	30	27	38	28	41	34
ENSMUSG00000000365	28	19	13	51	27	34
ENSMUSG00000000374	3239	3449	3474	4034	3356	3709
ENSMUSG00000000378	799	893	800	1418	1438	1249
ENSMUSG00000000381	0	0	0	2	0	2
ENSMUSG00000000384	1031	1240	1192	1097	1206	1062
ENSMUSG00000000385	2	1	2	1	4	1
ENSMUSG00000000386	15	5	15	9	16	6
ENSMUSG00000000392	123	239	197	283	63	321
ENSMUSG00000000394	2	4	2	4	4	2
ENSMUSG00000000399	2189	2350	2429	2462	2255	2523
ENSMUSG00000000402	64	42	83	80	137	81
ENSMUSG00000000409	66	49	54	48	123	36
ENSMUSG00000000411	4	5	6	2	6	3
ENSMUSG00000000416	5010	4717	5170	7186	5274	6766
ENSMUSG00000000420	1315	1644	1508	1635	1329	1590
ENSMUSG00000000435	0	1	0	0	0	0
ENSMUSG00000000439	778	803	795	869	811	844
ENSMUSG00000000440	164	209	180	204	82	219
ENSMUSG00000000441	3110	3852	3481	4285	3369	4012
ENSMUSG00000000486	14	20	14	18	11	16
ENSMUSG00000000489	790	1080	791	923	1491	1072
ENSMUSG00000000530	430	688	509	485	516	380
ENSMUSG00000000531	1273	1613	1195	1083	1906	1160
ENSMUSG00000000532	3773	4765	4283	4622	3705	4277
ENSMUSG00000000538	10233	12131	11095	10409	9318	10069
ENSMUSG00000000544	4	3	3	2	3	3
ENSMUSG00000000552	1413	2134	1787	2131	1875	2064
ENSMUSG00000000555	106	181	151	222	112	182
ENSMUSG00000000560	2705	1805	1971	2253	2804	1719
ENSMUSG00000000561	1854	2156	2002	2405	2151	2161
ENSMUSG00000000562	32	35	44	34	43	29
ENSMUSG00000000563	4950	4953	4941	5673	4610	5594
ENSMUSG00000000567	662	698	572	772	914	672
ENSMUSG00000000568	3031	3128	3098	3805	3526	3523
ENSMUSG00000000579	1890	1763	1931	1029	1479	987
ENSMUSG00000000581	915	849	879	1003	1010	884
ENSMUSG00000000594	1275	1339	1389	1304	1483	1306
ENSMUSG00000000600	1965	2112	2154	2610	2116	2655
ENSMUSG00000000605	4593	5077	5134	5033	4470	5023
ENSMUSG00000000606	0	0	2	2	2	3
ENSMUSG00000000617	0	3	0	1	0	0
ENSMUSG00000000627	1666	1828	1628	1900	1652	1840
ENSMUSG00000000628	137	158	139	104	151	95
ENSMUSG00000000631	5993	7373	6713	7316	6267	7122
ENSMUSG00000000632	5091	4751	4061	6180	7213	4109
ENSMUSG00000000673	19	22	13	26	19	8
ENSMUSG00000000682	87	153	101	114	89	111
ENSMUSG00000000686	3203	3162	3216	4606	3359	3961
