metric	value
tensorflow_version	2.5.0
sonnet_version	2.0.0
source_enformer_bytes	11916
source_attention_bytes	20736
trainable_variable_tensors	245
trunk_trainable_parameters	229845504
human_head_trainable_parameters	16326849
mouse_head_trainable_parameters	5048939
both_heads_trainable_parameters	21375788
total_trainable_parameters	251221292

group	variable	shape	parameters
trunk	enformer/trunk/stem/conv1_d/b:0	768	768
trunk	enformer/trunk/stem/conv1_d/w:0	15x4x768	46080
trunk	enformer/trunk/stem/pointwise_conv_block/cross_replica_batch_norm/offset:0	768	768
trunk	enformer/trunk/stem/pointwise_conv_block/cross_replica_batch_norm/scale:0	768	768
trunk	enformer/trunk/stem/pointwise_conv_block/conv1_d/b:0	768	768
trunk	enformer/trunk/stem/pointwise_conv_block/conv1_d/w:0	1x768x768	589824
trunk	enformer/trunk/stem/softmax_pooling/linear/w:0	768x768	589824
trunk	enformer/trunk/conv_tower/conv_tower_block_0/conv_block/cross_replica_batch_norm/offset:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_0/conv_block/cross_replica_batch_norm/scale:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_0/conv_block/conv1_d/b:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_0/conv_block/conv1_d/w:0	5x768x768	2949120
trunk	enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/cross_replica_batch_norm/offset:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/cross_replica_batch_norm/scale:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/conv1_d/b:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_0/pointwise_conv_block/conv1_d/w:0	1x768x768	589824
trunk	enformer/trunk/conv_tower/conv_tower_block_0/softmax_pooling/linear/w:0	768x768	589824
trunk	enformer/trunk/conv_tower/conv_tower_block_1/conv_block/cross_replica_batch_norm/offset:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_1/conv_block/cross_replica_batch_norm/scale:0	768	768
trunk	enformer/trunk/conv_tower/conv_tower_block_1/conv_block/conv1_d/b:0	896	896
trunk	enformer/trunk/conv_tower/conv_tower_block_1/conv_block/conv1_d/w:0	5x768x896	3440640
trunk	enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/cross_replica_batch_norm/offset:0	896	896
trunk	enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/cross_replica_batch_norm/scale:0	896	896
trunk	enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/conv1_d/b:0	896	896
trunk	enformer/trunk/conv_tower/conv_tower_block_1/pointwise_conv_block/conv1_d/w:0	1x896x896	802816
trunk	enformer/trunk/conv_tower/conv_tower_block_1/softmax_pooling/linear/w:0	896x896	802816
trunk	enformer/trunk/conv_tower/conv_tower_block_2/conv_block/cross_replica_batch_norm/offset:0	896	896
trunk	enformer/trunk/conv_tower/conv_tower_block_2/conv_block/cross_replica_batch_norm/scale:0	896	896
trunk	enformer/trunk/conv_tower/conv_tower_block_2/conv_block/conv1_d/b:0	1024	1024
trunk	enformer/trunk/conv_tower/conv_tower_block_2/conv_block/conv1_d/w:0	5x896x1024	4587520
trunk	enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/cross_replica_batch_norm/offset:0	1024	1024
trunk	enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/cross_replica_batch_norm/scale:0	1024	1024
trunk	enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/conv1_d/b:0	1024	1024
trunk	enformer/trunk/conv_tower/conv_tower_block_2/pointwise_conv_block/conv1_d/w:0	1x1024x1024	1048576
trunk	enformer/trunk/conv_tower/conv_tower_block_2/softmax_pooling/linear/w:0	1024x1024	1048576
trunk	enformer/trunk/conv_tower/conv_tower_block_3/conv_block/cross_replica_batch_norm/offset:0	1024	1024
trunk	enformer/trunk/conv_tower/conv_tower_block_3/conv_block/cross_replica_batch_norm/scale:0	1024	1024
trunk	enformer/trunk/conv_tower/conv_tower_block_3/conv_block/conv1_d/b:0	1152	1152
trunk	enformer/trunk/conv_tower/conv_tower_block_3/conv_block/conv1_d/w:0	5x1024x1152	5898240
trunk	enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/cross_replica_batch_norm/offset:0	1152	1152
trunk	enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/cross_replica_batch_norm/scale:0	1152	1152
trunk	enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/conv1_d/b:0	1152	1152
trunk	enformer/trunk/conv_tower/conv_tower_block_3/pointwise_conv_block/conv1_d/w:0	1x1152x1152	1327104
trunk	enformer/trunk/conv_tower/conv_tower_block_3/softmax_pooling/linear/w:0	1152x1152	1327104
trunk	enformer/trunk/conv_tower/conv_tower_block_4/conv_block/cross_replica_batch_norm/offset:0	1152	1152
trunk	enformer/trunk/conv_tower/conv_tower_block_4/conv_block/cross_replica_batch_norm/scale:0	1152	1152
trunk	enformer/trunk/conv_tower/conv_tower_block_4/conv_block/conv1_d/b:0	1280	1280
trunk	enformer/trunk/conv_tower/conv_tower_block_4/conv_block/conv1_d/w:0	5x1152x1280	7372800
trunk	enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/cross_replica_batch_norm/offset:0	1280	1280
trunk	enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/cross_replica_batch_norm/scale:0	1280	1280
trunk	enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/conv1_d/b:0	1280	1280
trunk	enformer/trunk/conv_tower/conv_tower_block_4/pointwise_conv_block/conv1_d/w:0	1x1280x1280	1638400
trunk	enformer/trunk/conv_tower/conv_tower_block_4/softmax_pooling/linear/w:0	1280x1280	1638400
trunk	enformer/trunk/conv_tower/conv_tower_block_5/conv_block/cross_replica_batch_norm/offset:0	1280	1280
trunk	enformer/trunk/conv_tower/conv_tower_block_5/conv_block/cross_replica_batch_norm/scale:0	1280	1280
