section	item	value_1	value_2	value_3
analysis	transformation	log2(TPM+1)		
analysis	genes_total	31362		
analysis	genes_tested	18960	max_TPM>=1_and_detected>=3	
group	PC2_positive	Sample_1,Sample_4,Sample_6,Sample_8,Sample_9	n=5	
group	PC2_negative	Sample_2,Sample_3,Sample_5,Sample_7	n=4	
sample	Sample_1	PC2_positive	mean_log2TPM1=2.142829	
sample	Sample_2	PC2_negative	mean_log2TPM1=2.252564	
sample	Sample_3	PC2_negative	mean_log2TPM1=2.296297	
sample	Sample_4	PC2_positive	mean_log2TPM1=2.150788	
sample	Sample_5	PC2_negative	mean_log2TPM1=2.340228	
sample	Sample_6	PC2_positive	mean_log2TPM1=2.101003	
sample	Sample_7	PC2_negative	mean_log2TPM1=2.340627	
sample	Sample_8	PC2_positive	mean_log2TPM1=2.137132	
sample	Sample_9	PC2_positive	mean_log2TPM1=2.181787	
correlation	sample	sample	Pearson_r	
correlation	Sample_1	Sample_2	0.94700355	
correlation	Sample_1	Sample_3	0.94570519	
correlation	Sample_1	Sample_4	0.98850381	
correlation	Sample_1	Sample_5	0.94590471	
correlation	Sample_1	Sample_6	0.98385116	
correlation	Sample_1	Sample_7	0.94819461	
correlation	Sample_1	Sample_8	0.98509433	
correlation	Sample_1	Sample_9	0.98468828	
correlation	Sample_2	Sample_3	0.98798786	
correlation	Sample_2	Sample_4	0.94579771	
correlation	Sample_2	Sample_5	0.98747369	
correlation	Sample_2	Sample_6	0.95417913	
correlation	Sample_2	Sample_7	0.99003827	
correlation	Sample_2	Sample_8	0.95412093	
correlation	Sample_2	Sample_9	0.94951243	
correlation	Sample_3	Sample_4	0.94523363	
correlation	Sample_3	Sample_5	0.98249856	
correlation	Sample_3	Sample_6	0.95214135	
correlation	Sample_3	Sample_7	0.98473875	
correlation	Sample_3	Sample_8	0.95397284	
correlation	Sample_3	Sample_9	0.94927453	
correlation	Sample_4	Sample_5	0.94506801	
correlation	Sample_4	Sample_6	0.98982613	
correlation	Sample_4	Sample_7	0.94664976	
correlation	Sample_4	Sample_8	0.98860063	
correlation	Sample_4	Sample_9	0.98811528	
correlation	Sample_5	Sample_6	0.95307026	
correlation	Sample_5	Sample_7	0.98703641	
correlation	Sample_5	Sample_8	0.95105953	
correlation	Sample_5	Sample_9	0.94575576	
correlation	Sample_6	Sample_7	0.95469183	
correlation	Sample_6	Sample_8	0.99003226	
correlation	Sample_6	Sample_9	0.98788215	
correlation	Sample_7	Sample_8	0.95290573	
correlation	Sample_7	Sample_9	0.95211655	
correlation	Sample_8	Sample_9	0.99015835	
