direction	gene	group_A_mean_log2TPM1	group_B_mean_log2TPM1	A_minus_B	Welch_like_t	detected_samples
A_higher	PGM2	8.026910	6.656559	1.370351	39.596493	9
A_higher	SERPINB4	11.546235	0.671207	10.875028	38.438849	9
A_higher	SPRR2A	10.389256	0.494663	9.894592	37.206614	9
A_higher	S100A8	13.503849	3.627669	9.876179	33.859716	9
A_higher	LCE3A	6.005644	0.151182	5.854462	32.816359	8
A_higher	SPRR2B	8.768456	0.541467	8.226989	32.116735	9
A_higher	S100A9	13.883593	3.822389	10.061204	31.976707	9
A_higher	CHAC1	4.914336	0.159018	4.755318	29.263232	8
A_higher	S100A7A	10.491793	0.430338	10.061455	28.308757	9
A_higher	GJB2	11.866422	6.340367	5.526055	28.170378	9
A_higher	HMOX2	6.241638	4.816891	1.424747	27.954352	9
A_higher	S100A12	5.397353	0.059555	5.337797	26.942838	7
A_higher	CLCA2	10.319236	8.691013	1.628223	25.804847	9
A_higher	PI3	10.299268	1.478780	8.820488	24.483658	9
A_higher	S100A7	12.761335	3.023064	9.738271	24.336044	9
A_higher	GJB6	9.982144	5.594233	4.387911	23.958081	9
A_higher	SERPINB3	11.252585	4.042044	7.210541	23.130730	9
A_higher	OASL	5.573157	0.636989	4.936168	22.941978	9
A_higher	PDZK1IP1	7.429088	5.217410	2.211678	22.558573	9
A_higher	GLRX3	6.933100	5.847591	1.085509	22.341794	9
A_higher	TYMP	7.647704	3.483715	4.163989	21.547512	9
A_higher	STAT1	8.846025	6.856370	1.989655	21.168068	9
A_higher	LCE3E	7.313596	1.327464	5.986133	20.970403	9
A_higher	SPRR1B	8.806248	4.402398	4.403850	20.893445	9
A_higher	KYNU	6.965349	1.636728	5.328621	20.452425	9
A_higher	PYGL	7.428511	5.454502	1.974009	20.428467	9
A_higher	TCN1	8.133523	0.115075	8.018448	20.109741	9
A_higher	EIF4A3	7.410460	6.157607	1.252853	20.033663	9
A_higher	TUBB6	8.235879	6.341437	1.894443	19.931731	9
A_higher	CSNK1A1	9.175898	8.271252	0.904647	19.722539	9
A_higher	CCDC109B	5.625206	4.300099	1.325107	19.685575	9
A_higher	DEFB4A	8.730570	0.170785	8.559785	19.566540	8
A_higher	POLR3G	5.083352	3.100291	1.983060	19.534943	9
A_higher	RHCG	8.494213	0.947208	7.547004	19.522106	9
A_higher	SPRR2F	8.294965	0.159565	8.135400	18.601663	8
A_higher	SMIM12	5.531448	4.852003	0.679445	18.596946	9
A_higher	ZC3H12A	7.876451	4.306898	3.569553	18.529230	9
A_higher	AMMECR1	7.118148	5.873345	1.244804	18.495162	9
A_higher	CSTA	10.396851	8.552999	1.843852	18.330431	9
A_higher	HERC6	6.687257	3.087456	3.599801	18.117675	9
A_higher	FUT3	4.093362	0.977359	3.116003	18.089303	9
A_higher	IL36A	5.520616	0.023993	5.496623	18.054059	6
A_higher	XLOC_003378	2.049245	0.341082	1.708162	18.042636	9
A_higher	IL20	2.930822	0.038553	2.892269	17.960328	6
A_higher	HEPHL1	9.468476	1.520179	7.948297	17.957829	9
A_higher	PARP9	7.267902	4.550535	2.717368	17.932511	9
A_higher	FBXW11	7.226626	6.312218	0.914408	17.653518	9
A_higher	CTSC	7.818972	5.558229	2.260743	17.588901	9
A_higher	TFDP1	6.974656	6.215039	0.759617	17.494657	9
A_higher	ATP1B1	8.302068	5.461884	2.840184	17.279772	9
B_higher	PIK3C2G	5.137349	6.762108	-1.624759	-40.836295	9
B_higher	LCE5A	1.395265	5.308871	-3.913605	-38.132509	9
B_higher	BMP3	0.052698	1.696240	-1.643542	-37.954881	7
B_higher	RGMB	4.969825	7.053712	-2.083887	-36.352961	9
B_higher	SNTB1	1.788261	6.087186	-4.298925	-33.603520	9
B_higher	BCAR3	1.927808	4.736201	-2.808393	-31.593749	9
B_higher	GSTO2	4.686937	5.671526	-0.984589	-27.786254	9
B_higher	ERBB4	0.078188	3.195582	-3.117394	-26.988188	7
B_higher	MAPRE3	2.943623	4.440222	-1.496599	-25.938199	9
B_higher	BTC	0.989691	6.648965	-5.659274	-25.688884	9
B_higher	NPAS1	0.714899	2.612074	-1.897175	-24.564282	9
B_higher	SNHG14	3.037645	4.736598	-1.698953	-24.256885	9
B_higher	ADAMTS9-AS2	0.479038	1.774845	-1.295807	-24.097466	9
B_higher	ZNF138	3.655282	5.002422	-1.347140	-23.947472	9
B_higher	CHRM4	0.056747	2.595350	-2.538603	-23.827093	7
B_higher	KCNJ1	0.183864	1.131319	-0.947455	-23.610807	9
