GroupBy(pair_id)	GroupBy(set)	GroupBy(distance_bp)	count(pair_id)
BG001	background	266490	1
BG002	background	278266	1
BG003	background	215708	1
BG004	background	181751	1
BG005	background	333814	1
BG006	background	578225	1
BG007	background	1517344	1
BG008	background	195165	1
BG009	background	288272	1
BG010	background	592958	1
BG011	background	424703	1
BG012	background	370667	1
BG013	background	385881	1
BG014	background	413648	1
BG015	background	287455	1
BG016	background	198500	1
BG017	background	1474443	1
BG018	background	598104	1
BG019	background	454024	1
BG020	background	1055860	1
BG021	background	1438442	1
BG022	background	1403705	1
BG023	background	205420	1
BG024	background	1180565	1
BG025	background	367947	1
BG026	background	567980	1
BG027	background	1146553	1
BG028	background	460190	1
BG029	background	457155	1
BG030	background	243306	1
BG031	background	260289	1
BG032	background	1415395	1
BG033	background	1074025	1
BG034	background	776335	1
BG035	background	770439	1
BG036	background	204180	1
BG037	background	1076758	1
BG038	background	204332	1
BG039	background	384059	1
BG040	background	212369	1
BG041	background	242957	1
BG042	background	618431	1
BG043	background	341755	1
BG044	background	1760949	1
BG045	background	308756	1
BG046	background	1178524	1
BG047	background	494726	1
BG048	background	1732722	1
BG049	background	278752	1
BG050	background	442831	1
BG051	background	723770	1
BG052	background	270590	1
BG053	background	190204	1
BG054	background	1493409	1
BG055	background	407993	1
BG056	background	363724	1
BG057	background	187743	1
BG058	background	501216	1
BG059	background	595896	1
BG060	background	939399	1
BG061	background	231063	1
BG062	background	442819	1
BG063	background	292874	1
BG064	background	836776	1
BG065	background	193892	1
BG066	background	273683	1
BG067	background	927396	1
BG068	background	239718	1
BG069	background	1612818	1
BG070	background	307090	1
BG071	background	427368	1
BG072	background	432833	1
BG073	background	299699	1
BG074	background	443714	1
BG075	background	1639410	1
BG076	background	219896	1
BG077	background	372878	1
BG078	background	351753	1
BG079	background	393744	1
BG080	background	222435	1
BG081	background	945093	1
BG082	background	306858	1
BG083	background	1091041	1
BG084	background	1245441	1
BG085	background	913030	1
BG086	background	337447	1
BG087	background	306155	1
BG088	background	692704	1
BG089	background	609048	1
BG090	background	894427	1
BG091	background	1072906	1
BG092	background	1460630	1
BG093	background	567061	1
BG094	background	435905	1
BG095	background	1446032	1
BG096	background	868781	1
BG097	background	774569	1
BG098	background	639690	1
BG099	background	336738	1
BG100	background	938563	1
BG101	background	831076	1
BG102	background	347201	1
BG103	background	579371	1
BG104	background	1301929	1
BG105	background	1428119	1
BG106	background	1574508	1
BG107	background	1315178	1
BG108	background	1286276	1
BG109	background	911178	1
BG110	background	556000	1
BG111	background	334179	1
BG112	background	680328	1
BG113	background	610206	1
BG114	background	204511	1
BG115	background	198718	1
BG116	background	855171	1
BG117	background	947916	1
BG118	background	947633	1
BG119	background	420400	1
BG120	background	208546	1
BG121	background	234919	1
BG122	background	681908	1
BG123	background	1051744	1
BG124	background	314121	1
BG125	background	587714	1
BG126	background	750673	1
BG127	background	992835	1
BG128	background	483827	1
BG129	background	383963	1
BG130	background	346057	1
BG131	background	688248	1
BG132	background	245338	1
BG133	background	685256	1
BG134	background	1319991	1
BG135	background	521700	1
BG136	background	1223427	1
BG137	background	1055638	1
BG138	background	393175	1
BG139	background	1494334	1
BG140	background	356947	1
BG141	background	326687	1
BG142	background	260194	1
BG143	background	628822	1
BG144	background	250728	1
BG145	background	851511	1
BG146	background	566467	1
BG147	background	1649997	1
BG148	background	284621	1
BG149	background	936291	1
BG150	background	233456	1
BG151	background	223420	1
BG152	background	318540	1
BG153	background	693012	1
BG154	background	301670	1
BG155	background	218633	1
BG156	background	298919	1
BG157	background	1201290	1
BG158	background	447813	1
BG159	background	943967	1
BG160	background	1198414	1
BG161	background	1717786	1
BG162	background	1061362	1
BG163	background	1029809	1
BG164	background	194780	1
BG165	background	187020	1
BG166	background	926581	1
BG167	background	793641	1
BG168	background	446491	1
BG169	background	261716	1
BG170	background	244417	1
BG171	background	871535	1
BG172	background	441179	1
BG173	background	199589	1
BG174	background	332283	1
BG175	background	1171941	1
BG176	background	317345	1
BG177	background	1434007	1
BG178	background	222436	1
BG179	background	1369519	1
BG180	background	470184	1
BG181	background	373101	1
BG182	background	566247	1
BG183	background	218566	1
BG184	background	1150642	1
BG185	background	893580	1
BG186	background	766142	1
BG187	background	575640	1
BG188	background	303632	1
BG189	background	1707430	1
BG190	background	1372242	1
BG191	background	541405	1
BG192	background	636817	1
BG193	background	1103704	1
BG194	background	1015501	1
BG195	background	1500249	1
BG196	background	225646	1
BG197	background	337882	1
BG198	background	285271	1
BG199	background	828580	1
BG200	background	1740220	1
EP1	candidate	260000	1
EP2	candidate	520000	1
EP3	candidate	340000	1
EP4	candidate	1050000	1
EP5	candidate	780000	1
EP6	candidate	410000	1
EP7	candidate	650000	1
