PC	ExplainedVarianceRatio	CumulativeVarianceRatio
PC1	0.5647170473957472	0.5647170473957472
PC2	0.13519539379179146	0.6999124411875387
PC3	0.07216379641612304	0.7720762376036617
PC4	0.027769486442118574	0.7998457240457804
PC5	0.02437160340683656	0.8242173274526169
PC6	0.021423952565548087	0.845641280018165
PC7	0.0162407746894481	0.861882054707613
PC8	0.013284929833843238	0.8751669845414562
PC9	0.012208178229039033	0.8873751627704953
PC10	0.010963143781812786	0.8983383065523081
PC11	0.008301846856190037	0.9066401534084981
PC12	0.006287349970827982	0.9129275033793262
PC13	0.005641823069554823	0.918569326448881
PC14	0.004433884562564697	0.9230032110114457
PC15	0.004265049008913809	0.9272682600203594
PC16	0.0038759962613807175	0.9311442562817401
PC17	0.003501366602237297	0.9346456228839775
PC18	0.00317912734247041	0.9378247502264478
PC19	0.0028015946374518974	0.9406263448638997
PC20	0.002738869237514388	0.9433652141014142
PC21	0.0025411232986458157	0.94590633740006
PC22	0.0021226661209600883	0.9480290035210202
PC23	0.001816006076398366	0.9498450095974185
PC24	0.0017653217280080816	0.9516103313254265
PC25	0.0016110519054954328	0.953221383230922
PC26	0.00154551758043522	0.9547669008113572
PC27	0.0014457249818090863	0.9562126257931662
PC28	0.001387762411797379	0.9576003882049636
PC29	0.0013229984210610126	0.9589233866260246
PC30	0.00130923822421588	0.9602326248502405
PC31	0.0012627169638193114	0.9614953418140598
PC32	0.001163676276134226	0.962659018090194
PC33	0.001084104439165512	0.9637431225293596
PC34	0.0010106682532684198	0.964753790782628
PC35	0.000981991541331018	0.9657357823239591
PC36	0.0008926770260828449	0.9666284593500419
PC37	0.0008214868342892656	0.9674499461843312
PC38	0.0007925991503198535	0.968242545334651
PC39	0.0007732918901015743	0.9690158372247526
PC40	0.000748551277667489	0.9697643885024201
PC41	0.0007255626063782533	0.9704899511087983
PC42	0.0007078131995640201	0.9711977643083624
PC43	0.0006344270570344446	0.9718321913653968
PC44	0.000621118316194738	0.9724533096815915
PC45	0.0005922595148216074	0.973045569196413
PC46	0.0005741466607468045	0.9736197158571599
PC47	0.0005576350303529757	0.9741773508875129
PC48	0.0005301474803304606	0.9747074983678433
PC49	0.0005123763067267171	0.97521987467457
PC50	0.0004993742762729053	0.9757192489508429
PC51	0.0004965590134902159	0.9762158079643332
PC52	0.00047774382816818305	0.9766935517925014
PC53	0.0004619138705569545	0.9771554656630583
PC54	0.00045634257367577923	0.9776118082367341
PC55	0.00044471800496843596	0.9780565262417026
PC56	0.00043396035517585856	0.9784904865968784
PC57	0.00041833946394621206	0.9789088260608246
PC58	0.00041284491622025276	0.9793216709770449
PC59	0.0003893839964968002	0.9797110549735417
PC60	0.00038488451975982735	0.9800959394933015
PC61	0.00038143985632473927	0.9804773793496263
PC62	0.0003728981254361994	0.9808502774750625
PC63	0.00035893167516509776	0.9812092091502276
PC64	0.00035244275553775043	0.9815616519057653
PC65	0.0003456984643899506	0.9819073503701552
PC66	0.0003308555772451061	0.9822382059474003
PC67	0.00031709187542598775	0.9825552978228262
PC68	0.0003162308727332487	0.9828715286955595
PC69	0.00031030918872553193	0.983181837884285
PC70	0.0003006023045126341	0.9834824401887977
PC71	0.00029911355922395116	0.9837815537480217
PC72	0.0002926326871536541	0.9840741864351753
PC73	0.00028489193652038615	0.9843590783716957
PC74	0.00028100214728760413	0.9846400805189833
PC75	0.00026772642910407885	0.9849078069480874
PC76	0.00026584240928019667	0.9851736493573676
PC77	0.00026485722934118717	0.9854385065867088
PC78	0.0002549185704555417	0.9856934251571644
PC79	0.00025206909793556217	0.9859454942550999
PC80	0.0002449596297788172	0.9861904538848787
PC81	0.0002438359565164519	0.9864342898413951
PC82	0.00023698890691764194	0.9866712787483127
PC83	0.00023470447111607215	0.9869059832194288
PC84	0.00022390696609493876	0.9871298901855238
PC85	0.00021918037902538857	0.9873490705645491
PC86	0.00021618855479328962	0.9875652591193425
PC87	0.00020871327157998104	0.9877739723909225
PC88	0.00020530526550251898	0.987979277656425
PC89	0.00020276580938068535	0.9881820434658057
PC90	0.0001973612736582315	0.988379404739464
PC91	0.00019542983197772098	0.9885748345714417
PC92	0.00019005236243630914	0.988764886933878
PC93	0.0001870402605903563	0.9889519271944683
PC94	0.00018340889787234286	0.9891353360923407
PC95	0.00018167090500394173	0.9893170069973447
PC96	0.00017701755749546994	0.9894940245548401
PC97	0.00017401628651835796	0.9896680408413585
PC98	0.00017050766213814878	0.9898385485034966
PC99	0.00016942450739345141	0.99000797301089
PC100	0.00016493974303178537	0.9901729127539218
