torch	2.2.0+cpu
transformers	4.38.1
mamba_ssm	1.2.0.post1
shim_ok	yes
mamba_ssm.ops.triton.layernorm_rms_is_ref	True
mamba_ssm.ops.triton.layernorm_rmsnorm_is_ref	True
mamba_ssm.ops.triton.layer_norm_rms_is_ref	True
mamba_ssm.ops.triton.layer_norm_rmsnorm_is_ref	True
seq_len	1000
vocab_size	12
mask_id	3
sep_id	1
fused_add_norm	True
rms_norm	True
encoded_len	1001
first_ids	7,7,7,7,10
last_ids	9,10,9,10,1
probe_0	ent_all=1.987596;ent_nuc=1.987596;top=A:0.2983,G:0.2614,C:0.2275,T:0.2128
probe_1	ent_all=1.946710;ent_nuc=1.946709;top=G:0.3179,A:0.3097,T:0.2133,C:0.1591
probe_2	ent_all=1.974898;ent_nuc=1.974896;top=C:0.2815,T:0.2781,A:0.2676,G:0.1728
