strain	direction	pathway_id	pathway_name	universe_size	foreground_size	pathway_size	overlap	pvalue	padj	genes
97	up	pau00405	Phenazine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	24	6	2.19716849887614e-09	3.01012084346031e-07	PA14_51360,PA14_51380,PA14_51390,PA14_51410,PA14_51420,PA14_51430
97	up	pau00970	Aminoacyl-tRNA biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	86	6	6.36974560859844e-06	0.000436327574188993	PA14_23570,PA14_23580,PA14_27610,PA14_27620,PA14_65210,PA14_65220
97	up	pau02025	Biofilm formation - Pseudomonas aeruginosa - Pseudomonas aeruginosa UCBPP-PA14	2041	13	108	6	2.42406734540502e-05	0.000973397472986439	PA14_51360,PA14_51380,PA14_51390,PA14_51410,PA14_51420,PA14_51430
97	up	pau02024	Quorum sensing - Pseudomonas aeruginosa UCBPP-PA14	2041	13	111	6	2.84203641747865e-05	0.000973397472986439	PA14_51360,PA14_51380,PA14_51390,PA14_51410,PA14_51420,PA14_51430
97	up	pau01110	Biosynthesis of secondary metabolites - Pseudomonas aeruginosa UCBPP-PA14	2041	13	444	6	0.043430544711032	1	PA14_51360,PA14_51380,PA14_51390,PA14_51410,PA14_51420,PA14_51430
97	up	pau00760	Nicotinate and nicotinamide metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	24	1	0.142924042949438	1	PA14_64950
97	up	pau00400	Phenylalanine, tyrosine and tryptophan biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	32	1	0.18620567465656	1	PA14_51360
97	up	pau01230	Biosynthesis of amino acids - Pseudomonas aeruginosa UCBPP-PA14	2041	13	146	1	0.620093657185097	1	PA14_51360
97	up	pau01240	Biosynthesis of cofactors - Pseudomonas aeruginosa UCBPP-PA14	2041	13	184	1	0.708294863910911	1	PA14_64950
97	up	pau01100	Metabolic pathways - Pseudomonas aeruginosa UCBPP-PA14	2041	13	1049	2	0.998790339273274	1	PA14_51360,PA14_64950
97	up	pau00010	Glycolysis / Gluconeogenesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	35	0	1	1	
97	up	pau00020	Citrate cycle (TCA cycle) - Pseudomonas aeruginosa UCBPP-PA14	2041	13	29	0	1	1	
97	up	pau00030	Pentose phosphate pathway - Pseudomonas aeruginosa UCBPP-PA14	2041	13	29	0	1	1	
97	up	pau00040	Pentose and glucuronate interconversions - Pseudomonas aeruginosa UCBPP-PA14	2041	13	8	0	1	1	
97	up	pau00051	Fructose and mannose metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	18	0	1	1	
97	up	pau00052	Galactose metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	4	0	1	1	
97	up	pau00053	Ascorbate and aldarate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	6	0	1	1	
97	up	pau00061	Fatty acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	27	0	1	1	
97	up	pau00071	Fatty acid degradation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	31	0	1	1	
97	up	pau00074	Mycolic acid biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	2	0	1	1	
97	up	pau00130	Ubiquinone and other terpenoid-quinone biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	21	0	1	1	
97	up	pau00190	Oxidative phosphorylation - Pseudomonas aeruginosa UCBPP-PA14	2041	13	57	0	1	1	
97	up	pau00220	Arginine biosynthesis - Pseudomonas aeruginosa UCBPP-PA14	2041	13	33	0	1	1	
97	up	pau00230	Purine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	67	0	1	1	
97	up	pau00240	Pyrimidine metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	36	0	1	1	
97	up	pau00250	Alanine, aspartate and glutamate metabolism - Pseudomonas aeruginosa UCBPP-PA14	2041	13	36	0	1	1	
