# This file was produced by bcftools (1.24+htslib-1.24), the command line was:
# 	 bcftools gtcheck  input.bcf
# and the working directory was:
# 	 /jetstream2/scratch/main/jobs/79293490/working
#
INFO	Time required to process one record .. 0.055316 seconds
INFO	sites-compared	151885
INFO	sites-skipped-no-match	0
INFO	sites-skipped-multiallelic	916
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	6702
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	145183
INFO	sites-used-GT-vs-GT	0
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	HG00097	HG00096	5.701201e+04	2.215393e-02	145183	140652
DCv2	HG00099	HG00096	5.999616e+04	2.395004e-02	145183	140006
DCv2	HG00099	HG00097	4.601486e+04	2.344283e-02	145183	140816
DCv2	HG00100	HG00096	6.180138e+04	2.079302e-02	145183	140192
DCv2	HG00100	HG00097	2.997045e+04	2.778233e-02	145183	142072
DCv2	HG00100	HG00099	5.093318e+04	2.278026e-02	145183	140493
DCv2	HG00101	HG00096	6.236321e+04	2.365171e-02	145183	140095
