group	alignment	raw_pis	total_sites	percent_pis	n_sequences
animals	1001705at2759.faa.mafft	0	454	0	1
animals	1003258at2759.faa.mafft	0	441	0	3
animals	100698at2759.faa.mafft	0	806	0	3
animals	1010730at2759.faa.mafft	0	578	0	3
animals	1014314at2759.faa.mafft	9	357	2.521008403	4
animals	1018517at2759.faa.mafft	8	293	2.730375427	4
animals	1019762at2759.faa.mafft	0	684	0	3
animals	1025450at2759.faa.mafft	0	417	0	1
animals	1030907at2759.faa.mafft	0	362	0	1
animals	1032689at2759.faa.mafft	0	312	0	1
animals	1038775at2759.faa.mafft	0	383	0	3
animals	1041560at2759.faa.mafft	0	457	0	3
animals	1049599at2759.faa.mafft	0	506	0	2
animals	1051021at2759.faa.mafft	0	503	0	2
animals	1053181at2759.faa.mafft	0	291	0	2
animals	1065019at2759.faa.mafft	0	411	0	3
animals	1076134at2759.faa.mafft	0	270	0	1
animals	1079130at2759.faa.mafft	0	417	0	2
animals	1079827at2759.faa.mafft	0	260	0	3
animals	1085752at2759.faa.mafft	0	457	0	2
animals	1087488at2759.faa.mafft	0	428	0	1
animals	1090038at2759.faa.mafft	0	289	0	1
animals	1094121at2759.faa.mafft	0	183	0	3
animals	1096688at2759.faa.mafft	0	483	0	3
animals	1106766at2759.faa.mafft	0	609	0	1
animals	1107630at2759.faa.mafft	0	339	0	1
animals	1108845at2759.faa.mafft	0	495	0	1
animals	1111142at2759.faa.mafft	0	531	0	2
animals	1112002at2759.faa.mafft	0	864	0	3
animals	1128607at2759.faa.mafft	0	337	0	2
animals	1129824at2759.faa.mafft	0	269	0	3
animals	1138059at2759.faa.mafft	0	285	0	3
animals	1157302at2759.faa.mafft	0	246	0	3
animals	1161199at2759.faa.mafft	0	309	0	3
animals	1173229at2759.faa.mafft	12	446	2.69058296	4
animals	1178688at2759.faa.mafft	0	239	0	2
animals	1182451at2759.faa.mafft	0	329	0	1
animals	1193442at2759.faa.mafft	12	460	2.608695652	4
animals	1194691at2759.faa.mafft	0	412	0	3
animals	1194797at2759.faa.mafft	0	853	0	2
animals	1197019at2759.faa.mafft	0	203	0	1
animals	1200489at2759.faa.mafft	0	210	0	3
animals	1217666at2759.faa.mafft	0	253	0	3
animals	1220881at2759.faa.mafft	0	332	0	2
animals	1222562at2759.faa.mafft	0	315	0	2
animals	1223488at2759.faa.mafft	0	197	0	1
animals	1228942at2759.faa.mafft	0	279	0	2
animals	1236198at2759.faa.mafft	0	147	0	1
animals	1247641at2759.faa.mafft	0	269	0	1
animals	1248958at2759.faa.mafft	0	986	0	2
animals	1249159at2759.faa.mafft	5	205	2.43902439	4
animals	1251252at2759.faa.mafft	0	267	0	3
animals	1257440at2759.faa.mafft	0	185	0	2
animals	1258856at2759.faa.mafft	0	892	0	2
animals	1259741at2759.faa.mafft	0	393	0	2
animals	1260807at2759.faa.mafft	0	466	0	3
animals	1264469at2759.faa.mafft	0	290	0	3
animals	1266231at2759.faa.mafft	0	236	0	2
animals	1269244at2759.faa.mafft	0	255	0	3
animals	1269649at2759.faa.mafft	12	291	4.12371134	4
animals	1275837at2759.faa.mafft	0	365	0	2
animals	1284731at2759.faa.mafft	0	270	0	3
animals	1287094at2759.faa.mafft	0	208	0	3
animals	1287401at2759.faa.mafft	0	279	0	3
animals	1291729at2759.faa.mafft	0	220	0	3
animals	1304061at2759.faa.mafft	0	197	0	3
animals	1309031at2759.faa.mafft	0	574	0	1
animals	1312453at2759.faa.mafft	0	1354	0	1
animals	1314980at2759.faa.mafft	0	843	0	1
animals	1322299at2759.faa.mafft	0	621	0	1
animals	1322642at2759.faa.mafft	0	299	0	2
animals	1323575at2759.faa.mafft	0	440	0	2
animals	1324510at2759.faa.mafft	0	458	0	1
animals	1338131at2759.faa.mafft	0	200	0	3
animals	1339553at2759.faa.mafft	0	465	0	2
animals	1342242at2759.faa.mafft	10	378	2.645502646	4
animals	1346165at2759.faa.mafft	0	432	0	3
animals	1346432at2759.faa.mafft	8	262	3.053435115	4
animals	1348942at2759.faa.mafft	0	352	0	2
animals	1355894at2759.faa.mafft	0	178	0	3
animals	1358374at2759.faa.mafft	0	434	0	3
animals	1364586at2759.faa.mafft	0	252	0	3
animals	1370285at2759.faa.mafft	0	693	0	3
animals	1370304at2759.faa.mafft	0	799	0	1
animals	1377237at2759.faa.mafft	0	281	0	1
animals	1379600at2759.faa.mafft	0	872	0	3
animals	1380409at2759.faa.mafft	0	211	0	2
animals	1382842at2759.faa.mafft	0	187	0	3
animals	1395649at2759.faa.mafft	0	180	0	1
animals	1398309at2759.faa.mafft	0	167	0	1
animals	1404162at2759.faa.mafft	0	580	0	2
animals	1405073at2759.faa.mafft	3	180	1.666666667	4
animals	1405146at2759.faa.mafft	0	225	0	2
animals	1407446at2759.faa.mafft	0	171	0	2
animals	1421503at2759.faa.mafft	0	161	0	3
animals	1423847at2759.faa.mafft	0	382	0	3
animals	142542at2759.faa.mafft	0	1092	0	1
animals	1426075at2759.faa.mafft	0	141	0	1
animals	1428265at2759.faa.mafft	0	244	0	1
animals	1428854at2759.faa.mafft	29	1021	2.840352595	4
animals	1430056at2759.faa.mafft	0	239	0	1
animals	1432328at2759.faa.mafft	0	323	0	3
