geneID	WL2
ENSMUSG00000000001	2074
ENSMUSG00000000003	0
ENSMUSG00000000028	26
ENSMUSG00000000037	1
ENSMUSG00000000049	0
ENSMUSG00000000056	182
ENSMUSG00000000058	2759
ENSMUSG00000000078	11921
ENSMUSG00000000085	90
ENSMUSG00000000088	1902
ENSMUSG00000000093	2
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	4
ENSMUSG00000000125	0
ENSMUSG00000000126	5
ENSMUSG00000000127	237
ENSMUSG00000000131	1871
ENSMUSG00000000134	2791
ENSMUSG00000000142	2
ENSMUSG00000000148	181
ENSMUSG00000000149	561
ENSMUSG00000000154	60
ENSMUSG00000000157	30
ENSMUSG00000000159	0
ENSMUSG00000000167	8
ENSMUSG00000000168	610
ENSMUSG00000000171	869
ENSMUSG00000000182	1
ENSMUSG00000000183	0
ENSMUSG00000000184	6718
ENSMUSG00000000194	1577
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	23890
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	0
ENSMUSG00000000244	19
ENSMUSG00000000247	512
ENSMUSG00000000248	1
ENSMUSG00000000253	20
ENSMUSG00000000263	0
ENSMUSG00000000266	6
ENSMUSG00000000275	10365
ENSMUSG00000000276	152
ENSMUSG00000000278	4277
ENSMUSG00000000282	483
ENSMUSG00000000290	33769
ENSMUSG00000000295	21
ENSMUSG00000000296	1
ENSMUSG00000000301	11
ENSMUSG00000000303	6
ENSMUSG00000000305	0
ENSMUSG00000000308	0
ENSMUSG00000000317	0
ENSMUSG00000000318	4
ENSMUSG00000000320	17
ENSMUSG00000000325	2
ENSMUSG00000000326	417
ENSMUSG00000000339	564
ENSMUSG00000000340	354
ENSMUSG00000000346	4538
ENSMUSG00000000355	253
ENSMUSG00000000359	20
ENSMUSG00000000365	7
ENSMUSG00000000374	1082
ENSMUSG00000000378	613
ENSMUSG00000000381	0
ENSMUSG00000000384	636
ENSMUSG00000000385	1
ENSMUSG00000000386	53189
ENSMUSG00000000392	118
ENSMUSG00000000394	0
ENSMUSG00000000399	532
ENSMUSG00000000402	0
ENSMUSG00000000409	71
ENSMUSG00000000411	0
ENSMUSG00000000416	0
ENSMUSG00000000420	1045
ENSMUSG00000000435	0
ENSMUSG00000000439	246
ENSMUSG00000000440	19
ENSMUSG00000000441	2391
ENSMUSG00000000486	9
ENSMUSG00000000489	330
ENSMUSG00000000530	914
ENSMUSG00000000531	6
ENSMUSG00000000532	1901
ENSMUSG00000000538	1033
ENSMUSG00000000544	1
ENSMUSG00000000552	2036
ENSMUSG00000000555	22917
ENSMUSG00000000560	0
ENSMUSG00000000561	92
ENSMUSG00000000562	38
ENSMUSG00000000563	2393
ENSMUSG00000000567	24
ENSMUSG00000000568	2174
ENSMUSG00000000579	23
ENSMUSG00000000581	301
ENSMUSG00000000594	11131
ENSMUSG00000000600	718
ENSMUSG00000000605	869
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	0
ENSMUSG00000000628	3306
ENSMUSG00000000631	717
ENSMUSG00000000632	0
ENSMUSG00000000673	1
ENSMUSG00000000682	11752
ENSMUSG00000000686	31
ENSMUSG00000000690	1
ENSMUSG00000000693	1000
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1912
ENSMUSG00000000711	2298
ENSMUSG00000000724	0
ENSMUSG00000000730	27
ENSMUSG00000000731	0
ENSMUSG00000000732	798
ENSMUSG00000000738	740
ENSMUSG00000000739	0
ENSMUSG00000000740	5165
ENSMUSG00000000743	1918
ENSMUSG00000000751	236
ENSMUSG00000000753	635
ENSMUSG00000000759	370
ENSMUSG00000000766	0
ENSMUSG00000000776	482
ENSMUSG00000000782	1
ENSMUSG00000000787	2436
ENSMUSG00000000791	88
ENSMUSG00000000792	0
ENSMUSG00000000794	26
ENSMUSG00000000804	1049
ENSMUSG00000000805	190
ENSMUSG00000000811	77
ENSMUSG00000000817	0
ENSMUSG00000000823	164
ENSMUSG00000000826	1977
ENSMUSG00000000827	652
ENSMUSG00000000838	903
ENSMUSG00000000861	3
ENSMUSG00000000869	0
ENSMUSG00000000876	64
ENSMUSG00000000881	68
ENSMUSG00000000884	9
ENSMUSG00000000889	0
ENSMUSG00000000901	13
ENSMUSG00000000902	698
ENSMUSG00000000903	0
ENSMUSG00000000915	73
ENSMUSG00000000916	88
ENSMUSG00000000934	62
ENSMUSG00000000938	14
ENSMUSG00000000942	1
ENSMUSG00000000957	41608
ENSMUSG00000000958	405
ENSMUSG00000000959	572
ENSMUSG00000000976	1048
ENSMUSG00000000982	27247
ENSMUSG00000000983	15
ENSMUSG00000001014	3
ENSMUSG00000001016	297
ENSMUSG00000001017	1320
ENSMUSG00000001018	744
ENSMUSG00000001020	7
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	2028
ENSMUSG00000001027	1
ENSMUSG00000001029	26
ENSMUSG00000001034	596
ENSMUSG00000001036	43
ENSMUSG00000001039	4
ENSMUSG00000001052	4681
ENSMUSG00000001053	61
ENSMUSG00000001054	145
ENSMUSG00000001056	564
ENSMUSG00000001062	693
ENSMUSG00000001065	905
ENSMUSG00000001076	0
ENSMUSG00000001082	446
ENSMUSG00000001089	1994
ENSMUSG00000001095	2
ENSMUSG00000001098	1652
ENSMUSG00000001100	373
ENSMUSG00000001103	0
ENSMUSG00000001105	256
ENSMUSG00000001119	1469
ENSMUSG00000001120	9
