geneID	KL2
ENSMUSG00000000001	2559
ENSMUSG00000000003	0
ENSMUSG00000000028	17
ENSMUSG00000000037	0
ENSMUSG00000000049	0
ENSMUSG00000000056	215
ENSMUSG00000000058	2387
ENSMUSG00000000078	9640
ENSMUSG00000000085	143
ENSMUSG00000000088	1703
ENSMUSG00000000093	2
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	0
ENSMUSG00000000125	0
ENSMUSG00000000126	4
ENSMUSG00000000127	125
ENSMUSG00000000131	1469
ENSMUSG00000000134	3028
ENSMUSG00000000142	0
ENSMUSG00000000148	154
ENSMUSG00000000149	461
ENSMUSG00000000154	125
ENSMUSG00000000157	6
ENSMUSG00000000159	0
ENSMUSG00000000167	5
ENSMUSG00000000168	581
ENSMUSG00000000171	1194
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	1141
ENSMUSG00000000194	1548
ENSMUSG00000000197	0
ENSMUSG00000000202	10
ENSMUSG00000000204	8536
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	1
ENSMUSG00000000244	116
ENSMUSG00000000247	129
ENSMUSG00000000248	0
ENSMUSG00000000253	29
ENSMUSG00000000263	0
ENSMUSG00000000266	5
ENSMUSG00000000275	9005
ENSMUSG00000000276	316
ENSMUSG00000000278	6557
ENSMUSG00000000282	1102
ENSMUSG00000000290	58954
ENSMUSG00000000295	55
ENSMUSG00000000296	1
ENSMUSG00000000301	24
ENSMUSG00000000303	38
ENSMUSG00000000305	0
ENSMUSG00000000308	0
ENSMUSG00000000317	5
ENSMUSG00000000318	9
ENSMUSG00000000320	90
ENSMUSG00000000325	7
ENSMUSG00000000326	432
ENSMUSG00000000339	571
ENSMUSG00000000340	198
ENSMUSG00000000346	4796
ENSMUSG00000000355	267
ENSMUSG00000000359	7
ENSMUSG00000000365	9
ENSMUSG00000000374	1646
ENSMUSG00000000378	528
ENSMUSG00000000381	0
ENSMUSG00000000384	716
ENSMUSG00000000385	0
ENSMUSG00000000386	27882
ENSMUSG00000000392	92
ENSMUSG00000000394	0
ENSMUSG00000000399	571
ENSMUSG00000000402	0
ENSMUSG00000000409	45
ENSMUSG00000000411	0
ENSMUSG00000000416	3
ENSMUSG00000000420	1019
ENSMUSG00000000435	0
ENSMUSG00000000439	226
ENSMUSG00000000440	16
ENSMUSG00000000441	5280
ENSMUSG00000000486	4
ENSMUSG00000000489	983
ENSMUSG00000000530	4485
ENSMUSG00000000531	11
ENSMUSG00000000532	925
ENSMUSG00000000538	437
ENSMUSG00000000544	2
ENSMUSG00000000552	899
ENSMUSG00000000555	9812
ENSMUSG00000000560	0
ENSMUSG00000000561	68
ENSMUSG00000000562	0
ENSMUSG00000000563	2583
ENSMUSG00000000567	11
ENSMUSG00000000568	1970
ENSMUSG00000000579	11
ENSMUSG00000000581	238
ENSMUSG00000000594	14817
ENSMUSG00000000600	535
ENSMUSG00000000605	896
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	0
ENSMUSG00000000628	1655
ENSMUSG00000000631	870
ENSMUSG00000000632	0
ENSMUSG00000000673	0
ENSMUSG00000000682	10749
ENSMUSG00000000686	14
ENSMUSG00000000690	0
ENSMUSG00000000693	585
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1083
ENSMUSG00000000711	2419
ENSMUSG00000000724	0
ENSMUSG00000000730	180
ENSMUSG00000000731	0
ENSMUSG00000000732	109
ENSMUSG00000000738	659
ENSMUSG00000000739	0
ENSMUSG00000000740	4565
ENSMUSG00000000743	1699
ENSMUSG00000000751	248
ENSMUSG00000000753	467
ENSMUSG00000000759	310
ENSMUSG00000000766	0
ENSMUSG00000000776	506
ENSMUSG00000000782	0
ENSMUSG00000000787	3283
ENSMUSG00000000791	202
ENSMUSG00000000792	0
ENSMUSG00000000794	16
ENSMUSG00000000804	881
ENSMUSG00000000805	11
ENSMUSG00000000811	206
ENSMUSG00000000817	0
ENSMUSG00000000823	61
ENSMUSG00000000826	2486
ENSMUSG00000000827	1051
ENSMUSG00000000838	1033
ENSMUSG00000000861	2
ENSMUSG00000000869	1
ENSMUSG00000000876	48
ENSMUSG00000000881	357
ENSMUSG00000000884	8
ENSMUSG00000000889	0
ENSMUSG00000000901	10
ENSMUSG00000000902	658
ENSMUSG00000000903	0
ENSMUSG00000000915	20
ENSMUSG00000000916	68
ENSMUSG00000000934	64
ENSMUSG00000000938	4
ENSMUSG00000000942	0
ENSMUSG00000000957	16118
ENSMUSG00000000958	196
ENSMUSG00000000959	410
ENSMUSG00000000976	577
ENSMUSG00000000982	11428
ENSMUSG00000000983	6
ENSMUSG00000001014	5
ENSMUSG00000001016	233
ENSMUSG00000001017	1077
ENSMUSG00000001018	755
ENSMUSG00000001020	5
ENSMUSG00000001021	2
ENSMUSG00000001023	0
ENSMUSG00000001025	2570
ENSMUSG00000001027	0
ENSMUSG00000001029	36
ENSMUSG00000001034	862
ENSMUSG00000001036	32
ENSMUSG00000001039	2
ENSMUSG00000001052	2215
ENSMUSG00000001053	88
ENSMUSG00000001054	195
ENSMUSG00000001056	758
ENSMUSG00000001062	312
ENSMUSG00000001065	400
ENSMUSG00000001076	0
ENSMUSG00000001082	457
ENSMUSG00000001089	847
ENSMUSG00000001095	10
ENSMUSG00000001098	1238
ENSMUSG00000001100	299
ENSMUSG00000001103	0
