geneID	WL3
ENSMUSG00000000001	3061
ENSMUSG00000000003	0
ENSMUSG00000000028	101
ENSMUSG00000000037	5
ENSMUSG00000000049	0
ENSMUSG00000000056	409
ENSMUSG00000000058	3601
ENSMUSG00000000078	11814
ENSMUSG00000000085	76
ENSMUSG00000000088	1883
ENSMUSG00000000093	0
ENSMUSG00000000094	0
ENSMUSG00000000103	0
ENSMUSG00000000120	0
ENSMUSG00000000125	0
ENSMUSG00000000126	3
ENSMUSG00000000127	102
ENSMUSG00000000131	1753
ENSMUSG00000000134	1907
ENSMUSG00000000142	2
ENSMUSG00000000148	191
ENSMUSG00000000149	595
ENSMUSG00000000154	40
ENSMUSG00000000157	35
ENSMUSG00000000159	0
ENSMUSG00000000167	7
ENSMUSG00000000168	576
ENSMUSG00000000171	1105
ENSMUSG00000000182	8
ENSMUSG00000000183	1
ENSMUSG00000000184	31900
ENSMUSG00000000194	1279
ENSMUSG00000000197	0
ENSMUSG00000000202	0
ENSMUSG00000000204	13028
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	2
ENSMUSG00000000244	75
ENSMUSG00000000247	505
ENSMUSG00000000248	2
ENSMUSG00000000253	22
ENSMUSG00000000263	0
ENSMUSG00000000266	0
ENSMUSG00000000275	10925
ENSMUSG00000000276	229
ENSMUSG00000000278	3070
ENSMUSG00000000282	708
ENSMUSG00000000290	27335
ENSMUSG00000000295	23
ENSMUSG00000000296	1
ENSMUSG00000000301	11
ENSMUSG00000000303	29
ENSMUSG00000000305	1
ENSMUSG00000000308	0
ENSMUSG00000000317	1
ENSMUSG00000000318	11
ENSMUSG00000000320	10
ENSMUSG00000000325	9
ENSMUSG00000000326	286
ENSMUSG00000000339	468
ENSMUSG00000000340	297
ENSMUSG00000000346	4774
ENSMUSG00000000355	225
ENSMUSG00000000359	4
ENSMUSG00000000365	4
ENSMUSG00000000374	1254
ENSMUSG00000000378	568
ENSMUSG00000000381	0
ENSMUSG00000000384	463
ENSMUSG00000000385	0
ENSMUSG00000000386	25590
ENSMUSG00000000392	187
ENSMUSG00000000394	19
ENSMUSG00000000399	576
ENSMUSG00000000402	0
ENSMUSG00000000409	34
ENSMUSG00000000411	5
ENSMUSG00000000416	0
ENSMUSG00000000420	1301
ENSMUSG00000000435	0
ENSMUSG00000000439	273
ENSMUSG00000000440	41
ENSMUSG00000000441	2589
ENSMUSG00000000486	7
ENSMUSG00000000489	346
ENSMUSG00000000530	1016
ENSMUSG00000000531	13
ENSMUSG00000000532	985
ENSMUSG00000000538	976
ENSMUSG00000000544	0
ENSMUSG00000000552	2051
ENSMUSG00000000555	17142
ENSMUSG00000000560	0
ENSMUSG00000000561	57
ENSMUSG00000000562	7
ENSMUSG00000000563	2724
ENSMUSG00000000567	1
ENSMUSG00000000568	1863
ENSMUSG00000000579	35
ENSMUSG00000000581	336
ENSMUSG00000000594	9635
ENSMUSG00000000600	797
ENSMUSG00000000605	913
ENSMUSG00000000606	0
ENSMUSG00000000617	2
ENSMUSG00000000627	11
ENSMUSG00000000628	3323
ENSMUSG00000000631	494
ENSMUSG00000000632	0
ENSMUSG00000000673	11
ENSMUSG00000000682	17292
ENSMUSG00000000686	13
ENSMUSG00000000690	0
ENSMUSG00000000693	215
ENSMUSG00000000701	0
ENSMUSG00000000706	0
ENSMUSG00000000708	1927
ENSMUSG00000000711	2414
ENSMUSG00000000724	0
ENSMUSG00000000730	89
ENSMUSG00000000731	2
ENSMUSG00000000732	1905
ENSMUSG00000000738	738
ENSMUSG00000000739	0
ENSMUSG00000000740	5287
ENSMUSG00000000743	1582
ENSMUSG00000000751	376
ENSMUSG00000000753	10
ENSMUSG00000000759	362
ENSMUSG00000000766	0
ENSMUSG00000000776	413
ENSMUSG00000000782	2
ENSMUSG00000000787	3374
ENSMUSG00000000791	66
ENSMUSG00000000792	0
ENSMUSG00000000794	24
ENSMUSG00000000804	1367
ENSMUSG00000000805	1712
ENSMUSG00000000811	63
ENSMUSG00000000817	0
ENSMUSG00000000823	125
ENSMUSG00000000826	2230
ENSMUSG00000000827	638
ENSMUSG00000000838	887
ENSMUSG00000000861	13
ENSMUSG00000000869	0
ENSMUSG00000000876	120
ENSMUSG00000000881	52
ENSMUSG00000000884	5
ENSMUSG00000000889	0
ENSMUSG00000000901	5
ENSMUSG00000000902	604
ENSMUSG00000000903	0
ENSMUSG00000000915	115
ENSMUSG00000000916	64
ENSMUSG00000000934	58
ENSMUSG00000000938	0
ENSMUSG00000000942	2
ENSMUSG00000000957	24807
ENSMUSG00000000958	391
ENSMUSG00000000959	554
ENSMUSG00000000976	775
ENSMUSG00000000982	27140
ENSMUSG00000000983	40
ENSMUSG00000001014	5
ENSMUSG00000001016	369
ENSMUSG00000001017	1246
ENSMUSG00000001018	824
ENSMUSG00000001020	9
ENSMUSG00000001021	0
ENSMUSG00000001023	1
ENSMUSG00000001025	1821
ENSMUSG00000001027	0
ENSMUSG00000001029	30
ENSMUSG00000001034	463
ENSMUSG00000001036	1
ENSMUSG00000001039	0
ENSMUSG00000001052	2621
ENSMUSG00000001053	55
ENSMUSG00000001054	176
ENSMUSG00000001056	469
ENSMUSG00000001062	762
ENSMUSG00000001065	703
ENSMUSG00000001076	0
ENSMUSG00000001082	376
ENSMUSG00000001089	1573
ENSMUSG00000001095	2
ENSMUSG00000001098	1844
ENSMUSG00000001100	377
ENSMUSG00000001103	0
ENSMUSG00000001105	231
ENSMUSG00000001119	8
ENSMUSG00000001120	0
ENSMUSG00000001123	14719
ENSMUSG00000001127	542
ENSMUSG00000001128	4514
ENSMUSG00000001131	2016
ENSMUSG00000001134	128
ENSMUSG00000001138	124
ENSMUSG00000001143	211
ENSMUSG00000001150	488
ENSMUSG00000001151	403
ENSMUSG00000001155	0
ENSMUSG00000001156	2579
ENSMUSG00000001157	276
ENSMUSG00000001158	693
ENSMUSG00000001166	321
ENSMUSG00000001168	0
ENSMUSG00000001173	453
ENSMUSG00000001175	23630
ENSMUSG00000001211	442
ENSMUSG00000001225	0
ENSMUSG00000001227	53
ENSMUSG00000001228	326
ENSMUSG00000001229	902
ENSMUSG00000001240	0
ENSMUSG00000001247	44
ENSMUSG00000001248	1228
ENSMUSG00000001249	24
ENSMUSG00000001260	0
ENSMUSG00000001270	379
ENSMUSG00000001280	1071
ENSMUSG00000001281	47
ENSMUSG00000001285	85
ENSMUSG00000001288	261
ENSMUSG00000001289	1299
ENSMUSG00000001300	136
ENSMUSG00000001305	58
ENSMUSG00000001313	85
ENSMUSG00000001323	123
ENSMUSG00000001333	2
ENSMUSG00000001334	16
ENSMUSG00000001348	2847
ENSMUSG00000001349	0
ENSMUSG00000001366	281
ENSMUSG00000001376	588
ENSMUSG00000001380	710
ENSMUSG00000001383	1172
ENSMUSG00000001403	249
ENSMUSG00000001415	1138
ENSMUSG00000001416	3397
ENSMUSG00000001418	3069
ENSMUSG00000001419	669
ENSMUSG00000001420	12
ENSMUSG00000001424	2938
ENSMUSG00000001435	4
ENSMUSG00000001436	16
ENSMUSG00000001440	2567
ENSMUSG00000001441	2100
ENSMUSG00000001444	0
ENSMUSG00000001445	477
ENSMUSG00000001467	246
ENSMUSG00000001472	4155
ENSMUSG00000001473	2314
ENSMUSG00000001482	474
ENSMUSG00000001493	0
ENSMUSG00000001494	1
ENSMUSG00000001496	0
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	83
ENSMUSG00000001507	1
ENSMUSG00000001508	0
ENSMUSG00000001510	0
ENSMUSG00000001517	95
ENSMUSG00000001518	69
ENSMUSG00000001520	0
ENSMUSG00000001521	64
ENSMUSG00000001524	99
ENSMUSG00000001525	5707
ENSMUSG00000001542	5864
ENSMUSG00000001552	271
ENSMUSG00000001555	2
ENSMUSG00000001558	5
ENSMUSG00000001566	0
ENSMUSG00000001569	441
ENSMUSG00000001576	1293
ENSMUSG00000001583	0
ENSMUSG00000001588	20
ENSMUSG00000001604	11
ENSMUSG00000001622	0
ENSMUSG00000001627	3677
ENSMUSG00000001630	345
ENSMUSG00000001632	1214
ENSMUSG00000001642	1369
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	0
ENSMUSG00000001661	0
ENSMUSG00000001663	89
ENSMUSG00000001665	45
ENSMUSG00000001666	32
ENSMUSG00000001670	0
ENSMUSG00000001672	0
ENSMUSG00000001674	415
ENSMUSG00000001687	1685
ENSMUSG00000001700	40
ENSMUSG00000001707	342
ENSMUSG00000001729	2757
ENSMUSG00000001739	5
ENSMUSG00000001741	38
ENSMUSG00000001750	12225
ENSMUSG00000001751	766
ENSMUSG00000001755	218
ENSMUSG00000001761	0
ENSMUSG00000001763	237
ENSMUSG00000001767	451
