ENSEMBL	SYMBOL
ENSMUSG00000041957	Pkp2
ENSMUSG00000031760	Mt3
ENSMUSG00000005686	Ampd3
ENSMUSG00000022122	Ednrb
ENSMUSG00000022707	Gbe1
ENSMUSG00000081534	Slc48a1
ENSMUSG00000005089	Slc1a2
ENSMUSG00000029223	Uchl1
ENSMUSG00000011008	Mcoln2
ENSMUSG00000052397	Ezr
ENSMUSG00000029373	Pf4
ENSMUSG00000032350	Gclc
ENSMUSG00000054364	Rhob
ENSMUSG00000007682	Dio2
ENSMUSG00000042700	Sipa1l1
ENSMUSG00000030126	Tmcc1
ENSMUSG00000021213	Akr1c13
ENSMUSG00000025355	Mmp19
ENSMUSG00000023232	Serinc2
ENSMUSG00000044103	Il36g
ENSMUSG00000031934	Panx1
ENSMUSG00000050994	Adgb
ENSMUSG00000050812	Ecpas
ENSMUSG00000025934	Gsta3
ENSMUSG00000003849	Nqo1
ENSMUSG00000050896	Rtn4rl2
ENSMUSG00000027399	Il1a
ENSMUSG00000031209	Heph
ENSMUSG00000021728	Emb
ENSMUSG00000026721	Rabgap1l
ENSMUSG00000025037	Maoa
ENSMUSG00000022661	Cd200
ENSMUSG00000060594	Layn
ENSMUSG00000055301	Adh7
ENSMUSG00000039735	Fnbp1l
ENSMUSG00000029161	Cgref1
ENSMUSG00000033316	Galnt9
ENSMUSG00000045362	Tnfrsf26
ENSMUSG00000008496	Pou2f2
ENSMUSG00000046546	Fam43a
ENSMUSG00000030256	Bhlhe41
ENSMUSG00000027955	Gask1b
ENSMUSG00000030259	Rassf8
ENSMUSG00000031849	Comp
ENSMUSG00000041360	Pum3
ENSMUSG00000000530	Acvrl1
ENSMUSG00000022265	Ank
ENSMUSG00000035184	Fam124a
ENSMUSG00000037762	Slc16a9
ENSMUSG00000025630	Hprt1
ENSMUSG00000020605	Hs1bp3
ENSMUSG00000025804	Ccr1
ENSMUSG00000040219	Ttc12
ENSMUSG00000027187	Cat
ENSMUSG00000022947	Cbr3
ENSMUSG00000006373	Pgrmc1
ENSMUSG00000019923	Zwint
ENSMUSG00000022040	Ephx2
ENSMUSG00000052688	Rab7b
ENSMUSG00000028124	Gclm
ENSMUSG00000047205	Dusp18
ENSMUSG00000028961	Pgd
ENSMUSG00000031438	Rnf128
ENSMUSG00000034997	Htr2a
ENSMUSG00000023088	Abcc1
ENSMUSG00000019732	Calr3
ENSMUSG00000020826	Nos2
ENSMUSG00000011148	Adss1
ENSMUSG00000042734	Ttc9
ENSMUSG00000033450	Tagap
ENSMUSG00000031700	Gpt2
ENSMUSG00000026701	Prdx6
ENSMUSG00000059956	Serpinb12
ENSMUSG00000008763	Man1a2
ENSMUSG00000060147	Serpinb6a
ENSMUSG00000038181	Chpf2
ENSMUSG00000043410	Hfm1
ENSMUSG00000020458	Rtn4
ENSMUSG00000022150	Dab2
ENSMUSG00000054169	Ceacam10
ENSMUSG00000022323	Rida
ENSMUSG00000039168	Dap
ENSMUSG00000032418	Me1
