rank	gene_set	term	overlap	p_value	adjusted_p_value	odds_ratio	combined_score	genes
1	WikiPathways_2019_Mouse	Glutathione metabolism WP164	10/20	4.190225888648114e-07	6.620556904064019e-05	12.675564681724849	186.144989808753	GGT5;GSTM2;GCLC;GPX4;IDH1;GSS;G6PDX;GSTA1;GSTT1;GCLM
2	WikiPathways_2019_Mouse	Cytokines and Inflammatory Response WP222	11/27	1.421473170773476e-06	0.0001122963804911046	8.717594178082193	117.37209077537644	IL10;IL1A;CSF3;H2-EB1;IL6;IFNB1;IL1B;PDGFA;CXCL1;IL12A;CXCL3
3	WikiPathways_2019_Mouse	Spinal Cord Injury WP2432	22/99	2.319273978491862e-06	0.00012214842953390474	3.638371290545204	47.20516186210002	EPHA4;EGR1;NOS2;GADD45A;XYLT1;CXCL1;CXCL2;RTN4;RHOB;EFNB2;MMP12;CXCL10;NR4A1;IL1A;IL6;CCND1;MYC;IL1B;CCL2;FCGR2B;TLR4;MAPK3
4	WikiPathways_2019_Mouse	Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways) WP4346	14/49	7.43662449619846e-06	0.0002937466675998392	5.077282086479067	59.95809892987939	ABCA1;HMGCS1;ELOVL2;NR1H3;MSMO1;HMGCR;HSD17B7;CYP51;CH25H;SQLE;SCD2;SC5D;FADS1;FDFT1
5	WikiPathways_2019_Mouse	Oxidative Stress WP412	10/28	1.7249875062617426e-05	0.0005450960519787107	7.038938322305879	77.20100365865805	NQO1;GCLC;NFIX;MAOA;TXNRD1;CAT;MGST1;MT1;MAPK14;SOD1
6	WikiPathways_2019_Mouse	Microglia Pathogen Phagocytosis Pathway WP3626	12/41	2.542352561433197e-05	0.0006694861745107419	5.246862518021318	55.51094289484615	C1QB;FCGR1;C1QA;ITGAM;NCF2;PIK3R1;TREM3;TREM1;PIK3CG;LAT;SIGLECE;C1QC
7	WikiPathways_2019_Mouse	Cholesterol Biosynthesis WP103	7/15	4.361937663626465e-05	0.0009845516440756877	11.06958674863388	111.13875155747316	SQLE;HMGCS1;SC5D;MSMO1;HMGCR;CYP51;FDFT1
8	WikiPathways_2019_Mouse	Chemokine signaling pathway WP2292	30/190	5.743341198458164e-05	0.0011343098866954	2.39013705759889	23.339411909056903	GSK3B;SHC2;CXCL9;CCL12;ADCY4;CXCL1;PIK3R1;CXCL2;CXCL5;PIK3CG;ADCY6;PIK3R5;CCL8;CCL7;CCL4;CCL3;CCL2;CSK;CCR5;JAK3;MAPK3;CCR1;PRKCB;STAT3;PPBP;GNG11;CXCL10;ADCY9;RAF1;PF4
9	WikiPathways_2019_Mouse	Eicosanoid Synthesis WP318	7/18	0.00017721367260500935	0.0031110844746212	8.049304520615996	69.53113496869966	ALOX5;ALOX5AP;ALOX12;PTGS2;LTC4S;PTGS1;PTGES
10	WikiPathways_2019_Mouse	Focal Adhesion WP85	28/185	0.000208835029816779	0.0032995934711051	2.2706410477111114	19.241334920036746	GSK3B;ITGAM;ITGB3;PDGFB;PDGFA;LAMC2;PIK3R1;LAMC1;ITGAL;ACTB;PIK3CG;THBS4;PIK3R5;CCND2;CCND1;SPP1;ITGB8;JUN;ITGA4;STYK1;PGF;RHOB;ITGAD;BCL2;ZYX;ITGA5;RAF1;MET
11	WikiPathways_2019_Mouse	TYROBP Causal Network WP3625	13/58	0.00024225052320149776	0.0034795984241669	3.662429507696997	30.491696578631093	ABCC4;ITGAM;NCF2;SLC1A5;LHFPL2;SAMSN1;C3;SLC7A7;MAF;ADAP2;HLX;SPP1;C1QC
12	WikiPathways_2019_Mouse	IL-5 Signaling Pathway WP151	14/69	0.00042551124332360416	0.0056025647037607	3.227503587695764	25.052590272934477	GSK3B;SHC2;JUN;ITGAM;PRKCB;STAT3;PIK3R1;MAPK14;PIK3CG;SOCS1;ALOX5;ALOX5AP;RAF1;MAPK3
13	WikiPathways_2019_Mouse	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP2841	41/324	0.000469672803561971	0.0057083309971378	1.8485408584348515	14.16624530256844	GSK3B;CSF3;PFKFB4;CSF3R;PFKFB3;ITGAM;PRKAA2;ITGB3;PDGFB;LPAR1;PDGFA;IL6RA;LAMC2;PIK3R1;LAMC1;ITGAL;HIF1A;PIK3CG;THBS4;PIK3R5;COMP;LIPE;SPP1;EIF4EBP1;ITGB8;JAK3;MAPK3;ANGPT4;ITGA4;NOS2;IFNB1;INSR;GNG11;PGF;TBC1D1;ITGAD;KITL;IL2RA;ITGA5;RAF1;MET
14	WikiPathways_2019_Mouse	Oxidative Damage WP1496	10/42	0.0007501049730165581	0.0084654704097583	3.9564082819986313	28.46753421374858	C1QB;CDKN1C;C4B;C1QA;GADD45A;C5AR1;BCL2;MAP3K9;TRAF1;C1QC
