species	tissue	marker_score	markers_detected	marker_umis	top_detected_markers
human	bone_marrow	66.5989	11	117191	HBB:56434,HBA2:32440,HBA1:28115,AHSP:98,ALAS2:77,TYROBP:8,FCER1G:7,GYPA:4
human	spleen	16.3410	5	28	CD74:11,FCER1G:7,HLA-DRA:5,LST1:3,CD37:2
human	skin	3.4459	1	6	KRT1:6
human	liver	2.5986	1	2	SERPINA1:2
human	testis	0.0000	0	0	
human	retina	0.0000	0	0	
human	lung	0.0000	0	0	
human	kidney	0.0000	0	0	
human	heart	0.0000	0	0	
human	cortex	0.0000	0	0	
mouse	lung	68.9764	11	22688	SCGB1A1:20323,SFTPC:1322,EPCAM:385,SFTPA1:362,SFTPB:118,AGER:77,HOPX:41,CLDN18:24
mouse	skin	49.3330	10	730	KRTDAP:202,SFN:153,DCN:127,COL1A2:118,COL1A1:76,SBSN:36,KRT10:9,KRT14:4
mouse	heart	28.9886	8	85	TNNI3:25,TNNT2:20,ACTC1:17,DES:8,RYR2:8,PLN:4,MYH6:2,MYH7:1
mouse	cortex	25.9391	8	69	SNAP25:31,SYT1:16,GAD1:12,GAD2:4,GRIN1:3,CAMK2A:1,NEFM:1,SATB2:1
mouse	liver	16.8883	4	221	HP:193,TTR:22,CYP2E1:5,APOA2:1
mouse	kidney	11.7342	3	31	AQP1:13,LRP2:10,NPHS1:8
mouse	spleen	10.8561	3	35	CD74:23,H2-AA:11,LST1:1
mouse	testis	7.9657	3	7	PRM1:3,SYCP3:3,STRA8:1
mouse	retina	4.3863	2	2	RHO:1,ROM1:1
mouse	bone_marrow	2.1931	1	1	LST1:1
pig	testis	57.3890	11	1466	PRM1:657,TNP1:318,TNP2:208,PRM2:162,DAZL:49,DDX4:25,ACRV1:19,SYCP3:10
pig	skin	26.0722	5	455	COL1A2:170,COL1A1:140,DCN:126,KRT10:18,SBSN:1
pig	spleen	19.3410	7	22	NKG7:7,CD37:5,CD3E:5,LST1:2,C1QC:1,CD74:1,FCER1G:1
pig	bone_marrow	17.3425	5	71	SLC4A1:55,NKG7:7,TYROBP:6,LST1:2,FCER1G:1
pig	heart	15.5833	5	22	TNNI3:8,DES:5,RYR2:4,MYBPC3:3,TNNT2:2
pig	cortex	13.9615	5	22	NEFM:15,NEFL:4,GRIN1:1,SATB2:1,TBR1:1
pig	lung	12.2916	4	17	SFTPC:8,HOPX:4,KRT19:3,FOXJ1:2
pig	liver	11.7034	3	337	APOA1:335,FABP1:1,FGB:1
pig	retina	6.8712	2	12	PRPH2:7,RLBP1:5
pig	kidney	5.0794	2	4	NPHS1:3,LRP2:1
