usable_primary_alignments	976106
malformed_or_unmapped_target_lines	0
barcodes_with_alignments	600
confident_singlets	503
mixed_or_low_confidence	97
human_singlets	55
human_percent	10.9344
human_tissue	bone_marrow
mouse_singlets	149
mouse_percent	29.6223
mouse_tissue	lung
pig_singlets	299
pig_percent	59.4433
pig_tissue	testis
sensitivity_dominance_0.70	533	human:84:15.76,mouse:149:27.95,pig:300:56.29
sensitivity_dominance_0.80	503	human:55:10.93,mouse:149:29.62,pig:299:59.44
sensitivity_dominance_0.90	466	human:50:10.73,mouse:137:29.40,pig:279:59.87
