campaign_id	model	condition	replicate	score	score_type	vector_sha256	answers	traces
codex-ds-v4pro-anycode-r1	DeepSeek V4 Pro	Anycode	Codex R1	80	predicted leaderboard	4d0e8411ff97da6f6d533979c81e6a73e92d2c38461c1940d92555830a63d0e0	100	100
codex-ds-v4pro-anycode-r2	DeepSeek V4 Pro	Anycode	Codex R2	87	official leaderboard	20a9c271734fc73704d18e505c73961ddab85ebefe1cf1e85fe619401263f7c1	100	100
codex-ds-v4pro-anycode-r3	DeepSeek V4 Pro	Anycode	Codex R3	86	official leaderboard	c7530e1c443674037fa2e73b5c420f7367871031dd7aff57d2b86aff5fbc9719	100	100
codex-ds-v4pro-galaxy-r1	DeepSeek V4 Pro	Galaxy	Codex R1	83	predicted leaderboard	d1800a0305a8afb54191eed4ba01648dbb3c91bb2d3482100236be43153cbe3e	100	100
codex-ds-v4pro-galaxy-r2	DeepSeek V4 Pro	Galaxy	Codex R2	87	predicted leaderboard	64e5fe8896dcee118a4d649744aafe0cfb34db4291302a5c2c873d74514fdb65	100	100
codex-ds-v4pro-galaxy-r3	DeepSeek V4 Pro	Galaxy	Codex R3	83	predicted leaderboard	b76b9091207fe2f25a4154ad98800038c94632ec1878fae26c318e981626491f	100	100
galaxy-gpt55	GPT-5.5	Galaxy	R1	84	official leaderboard	25456073f44eff5ad7f8e21516c66aee9017c6eb77e3dd8c49e482f323590e98	100	100
galaxy-gpt55-r2	GPT-5.5	Galaxy	R2	89	official leaderboard	36466a48494d25672232abb00f30b0744b41b0937f7f6a812c91ccaadc329d9c	100	100
galaxy-gpt55-r3	GPT-5.5	Galaxy	R3	87	predicted leaderboard	66967ca0dfeb8a39f3903b72f5465085e658e6d0264ab628611392481c5ecde7	100	100
gpt55-anycode-jul30	GPT-5.5	Anycode	R1	87	official leaderboard	72cdd2ac23b8f6ab25a09bcccb99ae5ec426def5ccbd1d0c94786e1662574268	100	100
gpt55-anycode-r1	GPT-5.5	Anycode	R2	88	official leaderboard	e8cc2a40b56f01c24a46959d0c69818777c5f079a8610110ddb6616a4a977db8	100	100
gpt55-anycode-r2	GPT-5.5	Anycode	R3	84	official leaderboard	44e99ab43e54b572d49e54fb3255ca6536bcdccb5e27f679a78531a0c4bb36a8	100	100
luna-anycode-r1	Luna	Anycode	R1	84	official leaderboard	0f5e6b7473934d64eb2dd90292cb54df88d072f456050075246076f50910f182	100	100
luna-anycode-r2	Luna	Anycode	R2	86	official leaderboard	9d14d6ac0e4b46ef9130440a653e5f88fe5b87d7b22538976864c50d359e6fc9	100	100
luna-anycode-r3	Luna	Anycode	R3	85	predicted leaderboard	64a1fb8038cd404b36717ad0602197ecd2d9ce3ba62f723d01b048f3639ccd47	100	100
sol-anycode-r1	SOL	Anycode	R1	88	official leaderboard	5ec33a64126c30f37228fdc855e4ba168d353a8271a117533e3c28cfda701481	100	100
sol-anycode-r2	SOL	Anycode	R2	90	official leaderboard	64c6468b1a7a080e8a197966ad7e3e3b46d6a905eceac1955db6358bad417864	100	100
sol-anycode-r3	SOL	Anycode	R3	95	official leaderboard	c714d7f3bbcaa9eaed468c8fe37345a242835665355f4f8f9a26a3b57c2d8960	100	100
sol-galaxy-r1	SOL	Galaxy	R1	92	predicted leaderboard	25bbc2eae73374c946d17253cf393f0981605d2116ede0ea25de25708357a4b4	100	100
sol-galaxy-r2	SOL	Galaxy	R2	91	predicted leaderboard	ca6b9c74f18e262748b578eeea2414849bb7ebfd9b133e0d3e56a26810dcb375	100	100
sol-galaxy-r3	SOL	Galaxy	R3	92	predicted leaderboard	e171dbb5680a2f2297d2b6c65346149a62b95d1499438896b654977642344006	100	100
