>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Plxna4	6.20289608106563	2.27842792938636e-82	5.9938603538367e-78
Hand2	6.03048315511223	2.61138520098294e-58	2.28992368274194e-54
Colec11	6.82401940011236	4.70933473179552e-53	3.09721171973362e-49
Hand2os1	6.84677006373572	7.18897713041886e-48	3.78240842739858e-44
Cgnl1	3.11508977642453	3.67691272423581e-46	1.61214238394119e-42
Tbx20	8.26051046885843	2.12000898737718e-45	7.96729663299023e-42
Gas6	3.179579884499	6.2966430911509e-36	1.38038158165756e-32
Tns4	5.11969413265857	7.62499819584751e-36	1.54300636567816e-32
Synpo	3.41095470955384	1.36068577060106e-35	2.55682575480015e-32
Tgm2	2.85300727414849	2.43988464303038e-34	4.27906968694668e-31
Rerg	4.12067826025213	9.94926293226629e-34	1.63584537474456e-30
Cdc42ep3	3.2480057812915	1.41357725188489e-33	2.18746922149034e-30
Ncam1	3.45854002642034	1.30410961034788e-32	1.80564271154851e-29
Lrat	7.60071038837536	1.81606025950279e-32	2.38875486233699e-29
Nr2f2	2.33836540211517	8.55709923276153e-32	1.07196004531551e-28
Col4a6	4.63880532513905	5.09903010520362e-31	6.09728113534507e-28
Mtss1	3.51241833430087	7.62486605615994e-31	8.72118918866955e-28
Lamc3	4.08000527915042	6.76728631855044e-30	6.84719235315794e-27
Fam180a	3.9108474463408	7.11511902383695e-30	6.93249763555847e-27
Fmo2	2.99434833598275	2.29731066505409e-29	2.08397764364061e-26
Lbh	3.70681788227039	3.28725594882045e-29	2.88259474152065e-26
Wnt4	4.71627698287746	9.64012248743661e-29	8.18073233151596e-26
Sox6	3.38339998779887	1.05572114414095e-28	8.67901754341123e-26
Samd5	3.03070107024479	1.32756193222101e-28	1.05830823487691e-25
Fmod	3.40654058386969	1.91006229506569e-28	1.47788261165568e-25
Tmem176a	2.18314984796372	1.2876438526661e-27	9.40945745335754e-25
Arap2	3.81723839221185	2.60656126347278e-27	1.85326505832915e-24
Smtnl2	3.37526339497732	9.22214115545859e-27	6.22068890709356e-24
Tns3	2.84320224076671	1.20141723794294e-26	7.90142081964125e-24
Nxph1	4.59800365757769	1.95370111777675e-26	1.25356134891105e-23
Sdk2	3.22354101077078	2.99962437960405e-26	1.87883615605343e-23
Cyp2e1	6.46433076411894	6.62077915942598e-26	3.95847357606862e-23
Bmp4	2.36807128156816	1.18134932451341e-24	6.09367778038712e-22
Ston1	3.42887031137127	2.17201989289826e-24	1.09883321773989e-21
Plekha6	3.56608190754159	9.62220714709908e-24	4.77606421544784e-21
Nr1h4	2.95824965884125	1.12353898901958e-23	5.47350744150707e-21
Mylk	2.52810273559543	2.88988801068584e-23	1.38225970722022e-20
Ninl	3.04576733573588	1.20204280336074e-22	5.18395738164116e-20
Cracr2b	3.42484196951099	3.27415679979616e-22	1.34583192081621e-19
Rcsd1	2.85282967535629	4.84752631508957e-22	1.9509033637603e-19
Mamdc2	2.5692008659597	8.39914185432017e-22	3.24935624649413e-19
Gata4	8.53277913855145	1.40123969357787e-21	5.2660589455647e-19
Agr2	15.3904473074403	1.97454044308588e-21	7.31608949806481e-19
Pdgfa	3.33984882158166	4.17485606447617e-21	1.46437251317566e-18
Col6a5	3.38953225858402	5.9491683066071e-21	2.05927329791991e-18
Barx1	5.86581885335059	6.7140613632154e-21	2.26444631130907e-18
Ifitm1	2.7733943996698	8.45847451594997e-21	2.7814636136387e-18
Lrrc3	2.86946739821427	9.75225041658954e-21	3.16731421863236e-18
Ccdc68	3.75570587126491	1.04874463678473e-20	3.36455184876778e-18
Pawr	3.07931129028392	1.48691867409592e-20	4.65671066183827e-18
Ccl19-ps1	5.94613039737238	1.79954911065756e-20	5.56949864165511e-18
Alcam	3.97715384963422	7.02086001097371e-20	1.96486983307112e-17
Ablim2	3.87275521456398	8.10117902213819e-20	2.24334438458305e-17
Sfi1	2.23335655467865	1.25339086202044e-19	3.3992735471311e-17
Eln	2.51329024855899	1.90317392841059e-19	5.05725217522196e-17
Gpr39	3.19290376022668	2.7273225240202e-19	7.10373006330687e-17
Flt1	6.74751694141075	3.47619471814438e-19	8.87847130584702e-17
Sema3f	3.6163286078799	4.28877043610637e-19	1.08485272944856e-16
Ednrb	6.78764920426062	8.45580504760124e-19	2.09855531497402e-16
Adap2	3.91002342087728	1.34900761745079e-18	3.22621303566162e-16
D630003M21Rik	3.82610339654234	8.11746993690289e-18	1.77955234691754e-15
Gata6	2.17158330719522	8.77004964947737e-18	1.90672476139505e-15
Myo18a	2.27621286750072	9.38046889755765e-18	2.02272127285286e-15
Llgl2	5.51259615039709	2.59817257061926e-17	5.29845936552565e-15
Myrf	3.55365280551836	2.90232565995866e-17	5.8283573386666e-15
Kcnn3	4.12568949983906	4.59699902269021e-17	9.09272581127153e-15
Nkd1	2.58007403828711	4.88056512792572e-17	9.58156916569716e-15
Angptl7	4.0684248509963	5.18456480760708e-17	1.00287019407147e-14
Ccbe1	3.32542992567004	8.72182313527468e-17	1.62726951219625e-14
Itgb5	2.27443549603329	1.03229394670395e-16	1.89905991999586e-14
Foxf1	4.10552713858496	2.27552258906937e-16	4.01759548662067e-14
Arhgef19	3.97204328073656	2.98999760087474e-16	5.14103705138639e-14
Cdh3	4.51617948755136	3.45812829459422e-16	5.83160134909552e-14
Cx3cl1	4.89737227949433	3.67448304063693e-16	6.11801426266048e-14
Sycn	14.093157046359	5.3717252524223e-16	8.51289013346226e-14
Apol11b	5.42246610723592	7.57038551876988e-16	1.17842681563479e-13
Gm13056	2.48994406220407	8.50964056973318e-16	1.29838766619667e-13
Angptl6	2.50751264455986	9.71756718519297e-16	1.46080022823355e-13
Shisal1	4.62577259309969	1.04925183972211e-15	1.55947277669885e-13
Daam2	2.35372884144975	1.27507592426882e-15	1.87393420892402e-13
Nav2	3.28190404258304	1.38093048247674e-15	1.99605154958877e-13
Irf5	2.22518695927243	1.81875744807472e-15	2.53153715272496e-13
Gucy1a1	2.62670896544432	1.83433524786675e-15	2.53978196661213e-13
Gm44220	2.77563287723492	1.90022949697634e-15	2.61724279460506e-13
Apoa1	10.8529861267691	2.18251033064378e-15	2.99038017022114e-13
Ltbp2	6.09655795832896	2.3321858067476e-15	3.16251608340768e-13
Itga8	4.14437744619558	2.65268648597734e-15	3.52445572659626e-13
Arvcf	2.36763762548918	3.28445157300813e-15	4.2987098274191497e-13
Cpa1	12.9937957246703	5.24979593328945e-15	6.57649436271646e-13
Serpinc1	6.45334734668071	5.44208675192141e-15	6.78506996126998e-13
Syn2	3.82654602705896	6.19684171880467e-15	7.68963750455635e-13
Parvb	3.48447876699503	7.18500849248504e-15	8.87399147473258e-13
Cbfa2t3	2.91352751169196	8.51178073382523e-15	1.03188670859327e-12
Rapgef5	3.70500441583596	9.358414250977e-15	1.12416348721668e-12
Thsd4	3.5256755716528	9.99555353777237e-15	1.18983270098723e-12
Ephb3	2.2867979019282	1.07900048690597e-14	1.27288187484463e-12
Acot11	2.57343668105382	1.08765781877722e-14	1.27736670707912e-12
Krt8	6.46216239845743	1.54558148894964e-14	1.78331632586834e-12
Ehd3	2.18667669931977	2.06628633056671e-14	2.36338236948776e-12
Ahsg	6.11785570983709	2.61834733108035e-14	2.95626022483823e-12
Myo7a	3.27720650026753	3.03225142097991e-14	3.38006093778469e-12
Itga3	3.74920018819885	3.44626103900512e-14	3.76542671735185e-12
Stxbp2	2.82420002034421	3.42580580488618e-14	3.76542671735185e-12
Fndc5	4.13980354181723	4.12365835085343e-14	4.37423710628633e-12
Ngb	3.36513488261823	5.09889473388894e-14	5.36546495057665e-12
Prex2	2.18581465956561	5.50233632213639e-14	5.72134235677636e-12
Masp1	6.64411215340767	6.00117112893102e-14	6.21546491688144e-12
Abcc9	2.75932748835171	6.12936606204181e-14	6.3233424703582e-12
Lratd2	3.1132513563431	6.73783807833896e-14	6.90763717020592e-12
Ttr	10.9906867483554	1.32773436702484e-13	1.33826467407365e-11
Npy1r	2.8650083412107	1.5299082949996e-13	1.52451884532403e-11
Gm13305	3.57851916818086	2.09012019287442e-13	2.02895911121577e-11
Csdc2	2.18754687287554	2.13544623106757e-13	2.05777230771775e-11
44078	2.29230398971244	2.31489038535251e-13	2.21446623154431e-11
Apoe	2.57825543309306	2.62188924533953e-13	2.4545921842401e-11
Gjc2	4.19323786928002	3.00945277545886e-13	2.7876645832393e-11
Speg	2.54863029001561	3.10025306625009e-13	2.86169675136285e-11
Myo1d	2.58213960754895	3.43133387334401e-13	3.14522997233662e-11
B130024G19Rik	4.88644369095629	3.60419972680619e-13	3.26950628321002e-11
Gdf2	7.96083876277442	4.53927380054932e-13	4.02069615727444e-11
Slc45a3	2.70071023324482	5.44564046583671e-13	4.77528212449221e-11
Sh2d3c	3.41005745647972	5.80082399662824e-13	5.03637877489436e-11
Ltbp4	2.26566037724832	6.1080059046858e-13	5.28563524126873e-11
H2-Q1	3.77493295755712	8.13342221168551e-13	6.9923509190461e-11
Ntrk1	2.57694872907999	8.97863169247432e-13	7.64404090401042e-11
