>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Gyg	4.93136669947454	1.29996312266303e-182	3.30541623199529e-178
Tnfsf13b	3.84371831581454	6.00645842297141e-111	7.6363109160447e-107
Npnt	9.73345188486797	1.35887786943325e-91	1.15173958620264e-87
Mamdc2	5.30799291023147	1.44968919618376e-87	9.21531179784111e-84
Mettl7a1	3.29110210782251	7.23867113428368e-86	3.68115381862862e-82
Nebl	8.52212343944081	8.62735598232195e-77	3.65612967604167e-73
Aopep	2.64128908630797	1.002227526733e-74	3.64051990317713e-71
Fhl1	3.23938245019099	4.56001845404688e-72	1.44934486538813e-68
Tmem176a	3.46925347280276	4.00999649030921e-67	1.01962180759092e-63
Mgp	5.2887336522371	1.77686691441575e-65	4.10730863934992e-62
Csrp1	3.81067610854494	1.74395218913908e-64	3.69528935943662e-61
Prex2	4.90786512082914	3.36171826673269e-64	6.57526233601631e-61
Cd82	4.02233051152469	4.89952700598486e-64	8.89859094151264e-61
Tmem176b	2.80537733747106	2.09892923465192e-57	3.3355921030934e-54
Limch1	5.6622590535436	2.53082725896132e-57	3.78537321844762e-54
Nexn	4.20029066353073	2.81123787398069e-57	3.9711858567615e-54
Ablim3	7.29354321108655	7.69128037791892e-57	1.02929571668076e-53
Echdc2	2.69962372864412	4.55136228495383e-56	5.78637444097605e-53
Upk1b	9.72840431858387	5.70129042880071e-56	6.90317674919599e-53
Fmo2	4.14791665091571	9.03715850913493e-55	1.04449013368988e-51
Lgmn	2.9212958425337	1.76202915511637e-53	1.94796153596278e-50
Cdo1	6.3532586487638	2.48459646735493e-49	2.25627979912263e-46
Gsta3	4.4352522221489	2.47676250145267e-49	2.25627979912263e-46
Bmp3	5.05863434058281	1.30193024042005e-48	1.14152345597105e-45
Macf1	3.19806449453605	1.43764146892065e-48	1.21849698767485e-45
Cox6b2	4.48776398889568	2.13210018731172e-46	1.69415348321172e-43
Lbh	4.69079266024193	8.42745675975804e-46	6.49348312213236e-43
Ces1d	4.31541586800987	1.86764121849324e-45	1.39672097831258e-42
Ccrl2	3.67553882585523	5.05533539728571e-44	3.67262894705096e-41
44078	4.27763958857583	1.29411966482518e-42	9.14043908819719e-40
Sec14l3	7.36029204048078	1.52638344683959e-42	1.04895545683217e-39
Syn2	6.66938436469199	2.67595755734417e-42	1.79056770554185e-39
Slc38a5	9.04191098936372	4.24743576345162e-41	2.69998872893211e-38
Nol3	3.51790863364047	4.83692986301244e-41	2.9997223323614e-38
Sh3bgrl	2.64710413423593	8.30549344138176e-41	5.02818527938128e-38
Tnfrsf19	5.00462108785051	1.54358189872818e-40	8.92014930430942e-38
Eln	3.65015545695078	3.35609346931935e-39	1.85511714444311e-36
Tns3	3.46880830573174	7.23887431545719e-39	3.83464285873187e-36
Smtnl2	4.06531485930163	4.43314199285257e-38	2.25443002904525e-35
Lclat1	2.92821440445174	6.23953867171258e-38	3.11083823148306e-35
Cd59a	3.43002310197985	1.5459485945945e-37	7.41676130467065e-35
Rasgef1b	5.58357443660285	1.6172582327159e-37	7.61518983023467e-35
Lrat	8.10823208211208	1.02891313406177e-36	4.75675895632519e-34
Sort1	3.85501813567792	1.61628186525504e-36	7.33878553354286e-34
Tbx4	8.5839482793195	1.71987795454087e-36	7.67216434212469e-34
Kank3	3.45493930104096	2.60026204754184e-36	1.13994591522149e-33
Aldh1a1	2.67494833828057	3.25309155114442e-36	1.40197218425337e-33
Alcam	5.44635950157484	6.8813519806604e-36	2.86839568544675e-33
Myh10	2.44037550056738	7.54268447567145e-35	3.09335222843384e-32
Emp2	2.06689377019139	9.74556425471085e-35	3.93334067150052e-32
Selenbp1	2.34375050565144	1.60874428162808e-34	6.39149075764958e-32
Mylk	3.08600424642304	7.28461690206981e-34	2.80645384801408e-31
Serpinb8	2.96360646411599	2.93859369265695e-33	1.06742316890269e-30
Ptgis	2.0112804847237	2.14656059996372e-32	7.47679402401061e-30
Col13a1	9.81758373716239	5.19487215484237e-32	1.76120019041569e-29
Crym	3.96618390458278	5.39637554286605e-32	1.80544264379546e-29
Rapgef5	5.59699767205179	9.90456484862294e-32	3.27069312215501e-29
