barcode	tissue	marker_score	detected_markers	total_marker_counts	marker_genes_in_matrix	panel_size
Cell_11249_MCI	Bone	0.0602654934254362	12	18	481	505
Cell_11249_MCI	Brown adipose	0	0	0	101	111
Cell_11249_MCI	Epididymal adipose	0.106303153333091	4	5	78	91
Cell_11249_MCI	Inguinal adipose	0.0201654164924932	1	1	103	112
Cell_11249_MCI	Lymph node	0.0703074697770925	11	27	386	408
Cell_11249_MCI	Liver	0.0861119666352385	14	42	434	472
Cell_11249_MCI	Lung	0.267224222102922	47	125	445	474
Cell_11249_MCI	Mesentery	0.0726272346337021	2	3	63	71
Cell_11249_MCI	Omentum	0.0451058466676031	9	11	429	479
Cell_11249_MCI	Pancreas	0.0231643758682999	2	2	175	195
Cell_11249_MCI	Spleen	0.0223616499718736	1	1	88	101
Cell_10369_WXV	Bone	0.200462479001025	48	90	481	505
Cell_10369_WXV	Brown adipose	0.0943032125998193	6	6	101	111
Cell_10369_WXV	Epididymal adipose	0.0712051685021814	3	6	78	91
Cell_10369_WXV	Inguinal adipose	0.164865893161203	9	27	103	112
Cell_10369_WXV	Lymph node	0.195400755800041	35	132	386	408
Cell_10369_WXV	Liver	0.105651172915321	22	54	434	472
Cell_10369_WXV	Lung	0.152456005216486	33	78	445	474
Cell_10369_WXV	Mesentery	0.0245719638464318	1	1	63	71
Cell_10369_WXV	Omentum	0.104950422709488	25	42	429	479
Cell_10369_WXV	Pancreas	0.0460107666420053	3	23	175	195
Cell_10369_WXV	Spleen	0.0232311539745926	1	2	88	101
