>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Lum	5.00624479108037	3.36067607461718e-62	5.88319953622483e-58
Olfml3	2.4511558028985	9.46113115827869e-30	5.52088540189423e-26
Gpx3	2.27320704313417	1.97104013630914e-28	8.62625715655695e-25
Hgf	4.85831622338404	6.74945149042756e-26	1.68794139702035e-22
Pcdh20	7.65641576128195	6.37839365005537e-24	1.39575199047337e-20
Ccn4	3.24442758906635	5.69723146469331e-22	8.39635028960682e-19
Nkx2-3	9.55785678281807	9.25908752804397e-20	1.08059724177292e-16
Epha3	3.35545883318224	2.18385871202524e-17	1.91153153063569e-14
Trh	6.575808263615	7.80233715126419e-17	6.20853246227413e-14
Calhm5	2.05297320785337	5.21339619405406e-16	3.38021162122631e-13
Cldn1	3.37509344962119	5.45808171817766e-16	3.41247066280065e-13
C1qtnf3	2.608426793366	1.31999190754831e-15	7.96819942535884e-13
Tnfrsf19	2.71648776408228	2.22255177891776e-14	1.14435268946277e-11
Gm22816	2.80458972814047	1.29228962649483e-13	5.62832525660133e-11
Htra4	3.95667025917606	1.31818425408805e-13	5.62832525660133e-11
Gm43489	4.45461849692627	5.27867633135544e-13	2.10019336037974e-10
Tfpi2	2.37837101429322	5.80734433358116e-13	2.24219061890165e-10
Dkk2	3.64087439922214	8.01037831989269e-13	2.80459365736083e-10
Bdkrb1	4.59617830456408	1.15486259389536e-12	3.96412246445728e-10
Tmem255a	2.76374863149478	1.61897029428904e-12	5.4503257638123e-10
Ifi207	2.85424986180139	4.41630797483578e-12	1.40567068013591e-09
Opcml	2.29162662182769	9.51149388308237e-12	2.77513686528733e-09
Kcnn3	4.48617207140047	1.5458408714373e-11	4.36475649925506e-09
Glrb	4.54002297421019	3.0894169183905e-11	8.26761388217185e-09
4932438H23Rik	2.64661431894082	3.89799041267265e-11	1.01844902845613e-08
Tmem200a	2.82559564218865	3.95604558065904e-11	1.01844902845613e-08
Apod	3.47883974695822	5.33227186360245e-11	1.3528514673076e-08
Trim9	4.42102733325654	7.61955074720335e-11	1.80253858622354e-08
Hoxd8	3.44217225779946	1.32204185301123e-10	2.85724255294008e-08
Brinp3	7.44193473969546	1.72410057769649e-10	3.50954705966916e-08
Pthlh	2.44433324659397	1.80370776857245e-10	3.629391746739e-08
Eya4	3.04642866846486	2.69078297311398e-10	5.2338718585926e-08
Cav3	4.15914211908562	5.8635056068924e-10	1.06923467869019e-07
E330013P04Rik	3.044782841725	2.06593579843373e-09	3.28784291703463e-07
Osr2	2.83218532751339	4.29435595040428e-09	6.26474960564811e-07
Socs3	2.33613860322167	4.84602752013335e-09	6.84149659414956e-07
Islr	2.49617109936393	6.22605933219795e-09	8.71947157355658e-07
Il7	2.39641463788548	6.75688720282591e-09	9.38778312481512e-07
Itgb8	2.65133283070295	8.30306550217496e-09	1.1355739428209e-06
Hoxc8	4.07784855576957	8.46940753876158e-09	1.14934456103535e-06
Hand2os1	2.59627217911828	1.91730122319028e-08	2.46796141273302e-06
Il31ra	3.68000723825932	2.30252124066951e-08	2.91923226514811e-06
