barcode	column_index	rank	gene	raw_count	total_counts	detected_genes
Cell_11249_MCI	1007	1	Malat1	134	1167	664
Cell_11249_MCI	1007	2	Inmt	25	1167	664
Cell_11249_MCI	1007	3	Mgp	25	1167	664
Cell_11249_MCI	1007	4	Gsn	23	1167	664
Cell_11249_MCI	1007	5	Fth1	18	1167	664
Cell_11249_MCI	1007	6	Apoe	14	1167	664
Cell_11249_MCI	1007	7	Igfbp7	8	1167	664
Cell_11249_MCI	1007	8	Serping1	7	1167	664
Cell_11249_MCI	1007	9	Mfap4	7	1167	664
Cell_11249_MCI	1007	10	Rps23	7	1167	664
Cell_11249_MCI	1007	11	Rpl21	6	1167	664
Cell_11249_MCI	1007	12	Tmsb10	6	1167	664
Cell_11249_MCI	1007	13	Ftl1	6	1167	664
Cell_11249_MCI	1007	14	Gpx3	6	1167	664
Cell_11249_MCI	1007	15	Rpl37a	5	1167	664
Cell_11249_MCI	1007	16	Tmsb4x	5	1167	664
Cell_11249_MCI	1007	17	Rps27	5	1167	664
Cell_11249_MCI	1007	18	Sparcl1	5	1167	664
Cell_11249_MCI	1007	19	Rps16	5	1167	664
Cell_11249_MCI	1007	20	Rpl13a	5	1167	664
Cell_11249_MCI	1007	21	Rpl18a	5	1167	664
Cell_11249_MCI	1007	22	Itm2b	5	1167	664
Cell_11249_MCI	1007	23	Ubb	5	1167	664
Cell_11249_MCI	1007	24	Rps29	5	1167	664
Cell_11249_MCI	1007	25	Rpl10a	5	1167	664
Cell_11249_MCI	1007	26	Rps3a1	4	1167	664
Cell_11249_MCI	1007	27	Rpl34	4	1167	664
Cell_11249_MCI	1007	28	Cyr61	4	1167	664
Cell_11249_MCI	1007	29	Tmem176a	4	1167	664
Cell_11249_MCI	1007	30	Ifitm3	4	1167	664
Cell_11249_MCI	1007	31	Rpl41	4	1167	664
Cell_11249_MCI	1007	32	Tpt1	4	1167	664
Cell_11249_MCI	1007	33	Rplp1	4	1167	664
Cell_11249_MCI	1007	34	Eif1	4	1167	664
Cell_11249_MCI	1007	35	Laptm4a	4	1167	664
Cell_11249_MCI	1007	36	Rps7	4	1167	664
Cell_11249_MCI	1007	37	Rpl37	4	1167	664
