barcode	tissue	rank	gene	raw_count
Cell_11249_MCI	Bone	1	Nupr1	3
Cell_11249_MCI	Bone	2	Cfh	3
Cell_11249_MCI	Bone	3	Sparc	2
Cell_11249_MCI	Bone	4	Tsc22d1	2
Cell_11249_MCI	Bone	5	Tpm1	1
Cell_11249_MCI	Bone	6	Ptprd	1
Cell_11249_MCI	Bone	7	Kazald1	1
Cell_11249_MCI	Bone	8	Cdo1	1
Cell_11249_MCI	Bone	9	Mamdc2	1
Cell_11249_MCI	Bone	10	Npnt	1
Cell_11249_MCI	Bone	11	Cd109	1
Cell_11249_MCI	Bone	12	Fgfr3	1
Cell_11249_MCI	Bone	13	Sgms2	0
Cell_11249_MCI	Bone	14	Mmp16	0
Cell_11249_MCI	Bone	15	Col11a2	0
Cell_11249_MCI	Brown adipose	1	Srd5a1	0
Cell_11249_MCI	Brown adipose	2	Il18	0
Cell_11249_MCI	Brown adipose	3	Procr	0
Cell_11249_MCI	Brown adipose	4	Stmn4	0
Cell_11249_MCI	Brown adipose	5	Prg4	0
Cell_11249_MCI	Brown adipose	6	Mmp27	0
Cell_11249_MCI	Brown adipose	7	Il1r2	0
Cell_11249_MCI	Brown adipose	8	Tnmd	0
Cell_11249_MCI	Brown adipose	9	Kcnk5	0
Cell_11249_MCI	Brown adipose	10	Sbsn	0
Cell_11249_MCI	Brown adipose	11	Angptl1	0
Cell_11249_MCI	Brown adipose	12	Prss12	0
Cell_11249_MCI	Brown adipose	13	Fgl2	0
Cell_11249_MCI	Brown adipose	14	Sfrp2	0
Cell_11249_MCI	Brown adipose	15	Mbp	0
Cell_11249_MCI	Epididymal adipose	1	Upk1b	2
Cell_11249_MCI	Epididymal adipose	2	Trf	1
Cell_11249_MCI	Epididymal adipose	3	Gsta3	1
Cell_11249_MCI	Epididymal adipose	4	Tcf21	1
Cell_11249_MCI	Epididymal adipose	5	Ugt1a7c	0
Cell_11249_MCI	Epididymal adipose	6	Wt1	0
Cell_11249_MCI	Epididymal adipose	7	Col6a5	0
Cell_11249_MCI	Epididymal adipose	8	Ampd3	0
Cell_11249_MCI	Epididymal adipose	9	Anxa9	0
Cell_11249_MCI	Epididymal adipose	10	Mmd2	0
Cell_11249_MCI	Epididymal adipose	11	Wt1os	0
Cell_11249_MCI	Epididymal adipose	12	Aspa	0
Cell_11249_MCI	Epididymal adipose	13	Ugt1a6b	0
Cell_11249_MCI	Epididymal adipose	14	Krt14	0
Cell_11249_MCI	Epididymal adipose	15	Nt5e	0
Cell_11249_MCI	Inguinal adipose	1	Cxcl14	1
Cell_11249_MCI	Inguinal adipose	2	Nrep	0
Cell_11249_MCI	Inguinal adipose	3	Mmp27	0
Cell_11249_MCI	Inguinal adipose	4	Esr1	0
Cell_11249_MCI	Inguinal adipose	5	Il1r2	0
Cell_11249_MCI	Inguinal adipose	6	Srd5a1	0
Cell_11249_MCI	Inguinal adipose	7	Il18	0
Cell_11249_MCI	Inguinal adipose	8	Hoxc10	0
Cell_11249_MCI	Inguinal adipose	9	Cldn15	0
Cell_11249_MCI	Inguinal adipose	10	Procr	0
Cell_11249_MCI	Inguinal adipose	11	Rorb	0
Cell_11249_MCI	Inguinal adipose	12	Il18r1	0
Cell_11249_MCI	Inguinal adipose	13	Cldn10	0
Cell_11249_MCI	Inguinal adipose	14	Adh7	0
Cell_11249_MCI	Inguinal adipose	15	Osr2	0
Cell_11249_MCI	Lymph node	1	Apoe	14
Cell_11249_MCI	Lymph node	2	Tmem176a	4
Cell_11249_MCI	Lymph node	3	Tmem176b	1
Cell_11249_MCI	Lymph node	4	Enpp2	1
Cell_11249_MCI	Lymph node	5	Pkig	1
Cell_11249_MCI	Lymph node	6	Ninl	1
Cell_11249_MCI	Lymph node	7	Slc1a3	1
Cell_11249_MCI	Lymph node	8	Mylk	1
Cell_11249_MCI	Lymph node	9	Cxcl12	1
Cell_11249_MCI	Lymph node	10	Slc5a3	1
Cell_11249_MCI	Lymph node	11	Igfbp2	1
Cell_11249_MCI	Lymph node	12	Mfge8	0
Cell_11249_MCI	Lymph node	13	Hmgcs2	0
Cell_11249_MCI	Lymph node	14	Insrr	0
Cell_11249_MCI	Lymph node	15	Cxcl16	0
Cell_11249_MCI	Liver	1	Apoe	14
Cell_11249_MCI	Liver	2	Mfap4	7
Cell_11249_MCI	Liver	3	Tmem176a	4
Cell_11249_MCI	Liver	4	Fmo2	3
Cell_11249_MCI	Liver	5	Ppp1r14a	3
Cell_11249_MCI	Liver	6	Itga8	2
Cell_11249_MCI	Liver	7	Ltbp4	2
Cell_11249_MCI	Liver	8	Gas6	1
Cell_11249_MCI	Liver	9	Tgm2	1
Cell_11249_MCI	Liver	10	Mylk	1
Cell_11249_MCI	Liver	11	Ninl	1
Cell_11249_MCI	Liver	12	Mamdc2	1
Cell_11249_MCI	Liver	13	Tcf21	1
Cell_11249_MCI	Liver	14	Syt17	1
Cell_11249_MCI	Liver	15	Plxna4	0
Cell_11249_MCI	Lung	1	Mgp	25
Cell_11249_MCI	Lung	2	Inmt	25
Cell_11249_MCI	Lung	3	Mfap4	7
Cell_11249_MCI	Lung	4	Sparcl1	5
Cell_11249_MCI	Lung	5	Tmem176a	4
Cell_11249_MCI	Lung	6	Limch1	3
Cell_11249_MCI	Lung	7	Fmo2	3
Cell_11249_MCI	Lung	8	Selenbp1	3
Cell_11249_MCI	Lung	9	Ppp1r14a	3
Cell_11249_MCI	Lung	10	Cfh	3
Cell_11249_MCI	Lung	11	Fhl1	2
Cell_11249_MCI	Lung	12	Csrp1	2
Cell_11249_MCI	Lung	13	Upk1b	2
Cell_11249_MCI	Lung	14	Macf1	2
Cell_11249_MCI	Lung	15	Itga8	2
Cell_11249_MCI	Mesentery	1	Upk1b	2
Cell_11249_MCI	Mesentery	2	Tcf21	1
Cell_11249_MCI	Mesentery	3	Wt1	0
Cell_11249_MCI	Mesentery	4	Hand2	0
Cell_11249_MCI	Mesentery	5	Ackr4	0
Cell_11249_MCI	Mesentery	6	A730020M07Rik	0
Cell_11249_MCI	Mesentery	7	Nkx2-3	0
Cell_11249_MCI	Mesentery	8	Wnt2b	0
Cell_11249_MCI	Mesentery	9	Krt14	0
Cell_11249_MCI	Mesentery	10	C1qtnf3	0
Cell_11249_MCI	Mesentery	11	Enpp3	0
Cell_11249_MCI	Mesentery	12	Vit	0
Cell_11249_MCI	Mesentery	13	Insrr	0
Cell_11249_MCI	Mesentery	14	Agr2	0
Cell_11249_MCI	Mesentery	15	Sycn	0
Cell_11249_MCI	Omentum	1	Lsr	2
Cell_11249_MCI	Omentum	2	Upk1b	2
Cell_11249_MCI	Omentum	3	Trf	1
Cell_11249_MCI	Omentum	4	Enpp2	1
Cell_11249_MCI	Omentum	5	Pkhd1l1	1
Cell_11249_MCI	Omentum	6	Ier5	1
Cell_11249_MCI	Omentum	7	Tcf21	1
Cell_11249_MCI	Omentum	8	Ccl7	1
Cell_11249_MCI	Omentum	9	Igfbp2	1
Cell_11249_MCI	Omentum	10	Star	0
Cell_11249_MCI	Omentum	11	Ugt1a7c	0
Cell_11249_MCI	Omentum	12	Wt1	0
Cell_11249_MCI	Omentum	13	Nkain4	0
Cell_11249_MCI	Omentum	14	Crem	0
Cell_11249_MCI	Omentum	15	Egln3	0
Cell_11249_MCI	Pancreas	1	Tcf21	1
Cell_11249_MCI	Pancreas	2	Cxcl14	1
Cell_11249_MCI	Pancreas	3	Cpa1	0
Cell_11249_MCI	Pancreas	4	Try4	0
Cell_11249_MCI	Pancreas	5	Amy2a4	0
Cell_11249_MCI	Pancreas	6	Hand2	0
Cell_11249_MCI	Pancreas	7	Cela1	0
Cell_11249_MCI	Pancreas	8	Sycn	0
Cell_11249_MCI	Pancreas	9	Cela2a	0
Cell_11249_MCI	Pancreas	10	Prss2	0
Cell_11249_MCI	Pancreas	11	Try5	0
Cell_11249_MCI	Pancreas	12	2210010C04Rik	0
Cell_11249_MCI	Pancreas	13	Ctrb1	0
Cell_11249_MCI	Pancreas	14	Clps	0
Cell_11249_MCI	Pancreas	15	Pnlip	0
Cell_11249_MCI	Spleen	1	Tcf21	1
Cell_11249_MCI	Spleen	2	Ugt1a7c	0
Cell_11249_MCI	Spleen	3	Wt1	0
Cell_11249_MCI	Spleen	4	Prlr	0
