>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Trf	2.9259097623766	4.41869401999905e-58	3.35614539798994e-54
Ugt1a7c	3.03888413026478	8.38062663203307e-41	3.81921916875011e-37
Wt1	3.8263449837169	8.88249332338808e-35	3.37327488111201e-31
Col6a5	3.84582917404437	2.0064061490523e-34	6.53113864461512e-31
Ampd3	2.78268171589566	3.69591441496198e-33	9.3572339843693e-30
Anxa9	2.96964942645522	6.29939451353207e-29	1.19615002821118e-25
Mmd2	6.33377440369429	1.20868574103429e-27	2.11854717655442e-24
Wt1os	2.82307503301516	1.14423234154487e-26	1.73816520896275e-23
Aspa	2.50116079961496	2.82361213846305e-25	3.57437923261217e-22
Gm11816	2.10990407384723	4.11221526125275e-24	4.46194937823358e-21
Smim41	3.23840885211903	6.13401386094023e-20	3.67814841672064e-17
Ugt1a6b	4.74202644977861	3.90288059849403e-18	2.11740565041155e-15
Krt14	5.48686509043388	8.59983817957254e-17	3.84227279921059e-14
Nt5e	2.90436216754309	2.25970646165875e-16	9.03327569041337e-14
Aldh1a3	2.06477151447202	3.82547007963015e-16	1.45278602057421e-13
Cldn15	2.11676224613089	4.46945115874637e-16	1.66952318201959e-13
Psat1	2.29147452377103	9.71338321779224e-16	3.20766884058861e-13
Gsta3	2.09298856411205	1.76989279805316e-15	5.68010947837172e-13
Nmb	2.03059600586198	1.26489300841831e-14	3.7923489591868e-12
Upk1b	4.14568756716643	3.95803323933149e-14	1.08659934206515e-11
Upk3b	3.91015031222941	5.26498476792359e-14	1.38897708944201e-11
Col4a6	2.62523975065505	5.30330056971189e-14	1.38897708944201e-11
Garnl3	2.20753501643502	5.20183553323346e-14	1.38897708944201e-11
Trarg1	2.26541817905659	2.08974574490842e-13	5.01231016247192e-11
Zfp365	2.38386290292584	2.37865539109671e-13	5.58763316922985e-11
Reep1	2.99787243143706	3.01503232804544e-13	6.93944713402459e-11
Cyp2s1	3.12258708691109	4.65036207829792e-13	1.05963150316096e-10
Enpp6	4.87704599264348	6.37245873193918e-13	1.42355730064673e-10
Sult1e1	5.55961686542925	6.52351754643175e-13	1.42927760397109e-10
Tcf23	2.53305253339005	8.78083467467182e-13	1.83559723758782e-10
Tcf21	3.64249152773877	2.99891408863339e-12	5.6010865920984e-10
Susd3	2.64952446994822	5.18399510997447e-12	9.15678392061072e-10
Msln	4.70084031958818	8.66301593384783e-12	1.44084292750844e-09
Agt	3.52980941071449	1.60234954888637e-11	2.51800943592585e-09
Eya2	2.22050343001504	1.74762199594061e-11	2.708932979558e-09
Bmper	2.62416197692204	6.39869915076749e-11	8.57651522643459e-09
Tnfrsf11b	2.32486065206878	1.47668837128646e-10	1.87976654905773e-08
Rpp25	2.81714737242656	2.35325279836179e-10	2.9141966447539e-08
Lrrn1	5.1848376620249	2.46905040661599e-10	3.0247194927501e-08
Lfng	2.05434354404026	2.58426839790494e-10	3.14893795265572e-08
Inhbb	2.36976827775199	2.89888504087554e-10	3.51351034794627e-08
C77080	2.0853034668958	5.05046589151961e-10	5.84162009158203e-08
Lgals7	2.85358388495841	7.75377284842637e-10	8.74640931308135e-08
Kcnip3	2.22821431412845	9.8198457564793e-10	1.08618934663659e-07
Hoxc8	3.46414082626256	1.04486805455003e-09	1.13694966070529e-07
Gm46323	2.60323137478132	2.87928844133592e-09	2.7566162363143e-07
Tmem108	2.41452202959666	3.66355382716828e-09	3.43529783974718e-07
Hp	4.18148346583055	9.68397784614981e-09	8.17255997045813e-07
