>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Pcdh20	8.92932213255363	5.73033990710543e-36	6.52857625616522e-32
Amy2a4	14.2446905499337	7.6421600410446e-29	4.35335646738105e-25
Csgalnact1	2.20427380573482	1.22227121467702e-25	3.64259815723697e-22
2210010C04Rik	11.0407766033322	1.13445634892632e-23	2.58497223666351e-20
Cpb1	12.5535777640071	2.17089460758121e-22	4.12216704402878e-19
Cela2a	14.431676122163	1.67376527812597e-21	2.38365097671114e-18
Prss2	14.4654813121641	5.75139059745944e-21	7.70889330315946e-18
Barx1	5.83395849655442	6.72987658849172e-21	8.51927599696513e-18
Mylk	2.22089925261068	2.54836230628992e-20	3.05615702690117e-17
Pnlip	13.6740900684006	2.90379817791555e-20	3.30829726409918e-17
Ctrl	10.8110613934246	3.2125784951659e-20	3.48580064718335e-17
Try4	14.5153584855348	2.50099481218545e-19	2.47772468654164e-16
Ctrb1	14.2581046200304	4.31301405085516e-19	3.93105352651143e-16
Clps	13.1119913190902	3.76713493282117e-18	3.06564059211655e-15
Cpa1	13.3405133401708	6.15454644922542e-18	4.83577570317415e-15
Reg1	11.2743844776494	2.41709810019105e-17	1.72112491596729e-14
Gp2	18.8119699066822	7.95970721546228e-17	5.1819968174721e-14
Try5	15.3135297042505	1.03562996425408e-16	6.55496232374819e-14
Cpa2	11.2121609241611	2.46434651312191e-16	1.47769999073673e-13
Cela3b	11.895935557618	2.78294607526212e-16	1.62595408386981e-13
Rnase1	12.4307216581531	6.4891895717889e-16	3.60640667275078e-13
Amy2a1	15.6340999175858	4.38097415521367e-15	2.32383888311675e-12
Lhx9	3.72676352490688	4.38537136724394e-15	2.32383888311675e-12
Cel	12.266543599663	1.21654183716035e-14	5.77502547948661e-12
Pnliprp1	13.2402269134486	1.20454425243249e-14	5.77502547948661e-12
Cela1	6.52056090186291	4.49264142201447e-14	2.04738654884044e-11
OR5BS1P	7.62481952168615	1.69196872559008e-13	7.27418856250861e-11
Erp27	6.82436225308545	3.34256510443322e-13	1.41043867536325e-10
Nalcn	3.9850482711715	1.04473289898836e-12	4.17636558532434e-10
Itgbl1	2.59114946608699	1.07473770325684e-12	4.22223677696729e-10
Olfr420	6.62761737938015	3.48292314326455e-12	1.32269811237377e-09
Fgd5	2.18694062262112	5.50099962002995e-12	2.05484880888529e-09
Pla2g1b	9.91701418219936	7.99572412197057e-12	2.93855757811647e-09
Tmem200a	2.72754121982104	1.02504843452428e-11	3.53890206501063e-09
Ggt1	8.07479057758099	2.07001564170565e-11	6.83585165389925e-09
Fam124a	2.10003604919406	5.23444054423688e-11	1.65655503112474e-08
Clvs1	4.18116119824965	5.34949358946275e-11	1.6697748072534e-08
1810018F18Rik	7.82434129242791	9.11483076450862e-11	2.8066288351364e-08
Sycn	10.5549426996802	9.68848727835462e-11	2.94349161499451e-08
Cuzd1	13.1170457760886	1.67229626943612e-10	4.82341048042677e-08
Dio3	6.36167827944218	2.0223813987287e-10	5.76024781892902e-08
Pdia2	10.3533184455816	2.62313668610628e-10	7.3791101888417e-08
Col15a1	2.37448919036668	3.69414750270946e-10	9.78777267403928e-08
Mei4	4.2408731930013	6.05566205114633e-10	1.51631115931231e-07
Cckar	6.60840846754109	1.08608182225174e-09	2.66101724750841e-07
Olfr769	5.36099185816649	1.54044080602398e-09	3.54550345515783e-07
Hoxb7	2.27260397147122	2.48181048983113e-09	5.59906275458337e-07
Amy2b	12.7346935175684	2.78898676316133e-09	6.23037768484255e-07
Gm21013	2.44891994670048	5.20323617541747e-09	1.12915180469583e-06
Pnliprp2	12.1656575859514	5.50539641642596e-09	1.18345247872341e-06
Ccdc9b	2.08943783186687	1.2895036202916e-08	2.57742363964601e-06
Zg16	7.41785103017052	1.6363260799474e-08	3.03132732176272e-06
Rbpjl	4.18432132211954	1.74594792352104e-08	3.20832011172181e-06
Epha3	2.10988726872422	1.7873862799396e-08	3.2581907019763e-06
Adam23	2.07713224246886	2.14626968164592e-08	3.75716177551659e-06
Prokr1	2.27768495806956	2.16004648728462e-08	3.75716177551659e-06
Gml	5.94462688817751	2.39470559428573e-08	4.07207176652199e-06
Amy2a5	9.81265254355082	2.62674532853432e-08	4.36883350773599e-06
Sostdc1	5.55060078848009	2.72369216818807e-08	4.49724998147343e-06
Olfr1484	4.330027221872	3.96515907808346e-08	6.36268413754998e-06
4933427G23Rik	3.6234010598502	5.02602516537754e-08	7.73804117691166e-06
Tff2	11.5760387563528	6.41703135228422e-08	9.81332056329853e-06
Tmed6	8.52876865103682	8.83397196502475e-08	1.30708367009775e-05
Gm13304	13.1258668024338	1.05803114906533e-07	1.50676861016266e-05
Try10	11.3074069547944	1.44058956510147e-07	1.97742613436157e-05
Gm28156	3.2505797294818	2.02491697001117e-07	2.65171023440658e-05
Olfr410	4.01843511664505	2.29413099457686e-07	2.95333722273606e-05
Chl1	3.88246564863628	2.92386754011894e-07	3.64061452290438e-05
Mettl21e	4.60449635977284	3.00550688853232e-07	3.72192825880965e-05
Slc39a5	6.78006868250646	4.3141779178048e-07	5.11994052266146e-05
Wfdc18	17.3916568482936	4.89555275648961e-07	5.72051615945498e-05
Klk1	6.02980891513617	5.050056870146e-07	5.87094876750749e-05
Col8a1	2.97547961127763	6.29152303732616e-07	7.0620021639662e-05
St8sia1	2.13539071013217	6.92161372068314e-07	7.69345806046273e-05
Cbs	2.54093065021954	7.45706402466108e-07	8.11751275782015e-05
Klf14	4.00213790134432	7.45646617214708e-07	8.11751275782015e-05
Nkx3-2	3.94528318697564	7.52155199361151e-07	8.1225632097835e-05
Gm49493	6.94177501182511	7.81196243332709e-07	8.31791476662575e-05
Gjb1	8.65642331538866	1.25146866666123e-06	0.000122386116045248
Bhlha15	4.65576919930457	1.62627139647604e-06	0.000150635040813427
Rab26	4.484071790288	1.93172455044868e-06	0.000173292423647731
Trhde	3.69246858094006	1.9310426131799e-06	0.000173292423647731
Gm43751	3.75006188924915	2.11191210501244e-06	0.000187245249901997
Rgs7	4.1724818142199	2.39265339189706e-06	0.0002065113643476
Rpl3-ps1	7.45312199624422	2.43234926492028e-06	0.000208639018553146
Slc6a2	2.43386957026388	2.70170386011817e-06	0.000228003793172788
1810008I18Rik	3.21761763971636	2.79378628065376e-06	0.000233183934765482
Ahsg	3.89200443821923	2.95745963302465e-06	0.000244161866659781
Erich5	3.41567756788501	2.97119098260915e-06	0.000244409955703004
Gm47076	2.80736835428523	3.00103701136173e-06	0.000245095445666267
Gpr165	3.69136742711855	3.37402197230012e-06	0.000271662419296221
Gm32369	3.48766517451371	3.68645473724172e-06	0.000291857385985885
Serpini2	10.9588702509107	3.89417714223329e-06	0.000305974897803199
Erich3	3.64022558986857	4.32617246541296e-06	0.000328587219322999
Spp1	6.6808220572738	4.71431553266844e-06	0.000347638814651725
Klk14	4.23468861018123	5.33822547729914e-06	0.000386148589605518
Gm9768	4.85187785748408	5.84236674960135e-06	0.000416677085797519
Lrrc66	3.37873634217613	6.11173005556946e-06	0.000432490313808092
Ctrc	10.7227961733712	6.61139162782362e-06	0.000462107882305488
n-R5s164	3.58388376464324	6.69529155556971e-06	0.000463053688041618
Gm10723	4.73828961221311	7.00812545450536e-06	0.000473849099722134
Nr2f1	2.53971630527189	8.54399640529191e-06	0.00056104755645816
Gpx2	8.7968999398596	9.02307391637569e-06	0.000585271522492106
Sgk2	3.71056018132521	9.43039881760927e-06	0.000604042602668925
Prss3	9.05325386888843	1.22115635815778e-05	0.000728410177407936
Gm29101	4.15090408274925	1.23784268229918e-05	0.000732609957373222
Trim9	2.81892914833559	1.250546530319e-05	0.000734406011336308
Tmed11	8.65079995484204	1.30890224145652e-05	0.000756970722685999
Amy1	2.21218886214181	1.34192634961221e-05	0.000770204881669112
Syt13	2.68480002566359	1.42655768582142e-05	0.000806579183017843
Gm7389	4.97868903823179	1.53606888155793e-05	0.000847478584386903
Lrrc31	2.63697197362481	1.97413372042427e-05	0.00105592983459125
Slc27a6	2.44499419633432	2.08975148166241e-05	0.00109464545427953
Hif3a	2.1715145092683	2.14640685793634e-05	0.00111662161335473
Olfr125	5.30238104673332	2.16989166140267e-05	0.00112626768557452
Dmbt1	7.18212606382602	2.19370589626918e-05	0.00113604051255431
Diras2	3.54745426294104	2.25860825144269e-05	0.00115911368507597
Tm4sf4	4.42298474384502	2.3786027343244e-05	0.00120979557822133
Fam83e	7.96315893991312	2.60645421105322e-05	0.00129957692895096
Chsy3	2.69695308786673	2.62669178960294e-05	0.00130680784100202
Miat	2.59012497399324	2.82889056976688e-05	0.00137439446743514
4932411K12Rik	4.28733422895141	3.28210364819574e-05	0.00154836467345317
Gm16534	2.52543468656185	3.68108809468742e-05	0.00169449037021308
Dclk2	2.87734396494347	4.00348047417224e-05	0.00179220640637502
Reg2	9.51440020639823	4.12780626047621e-05	0.00184063000882996
Pilra	2.84002476483643	4.27689779282524e-05	0.00188497859008348
Gm36956	3.14459910384521	4.72790289433288e-05	0.00204809877091766
Lin28b	4.64511782224278	4.77228394883537e-05	0.0020556004169785
Asic2	2.14972913354383	5.09599994436919e-05	0.00217041971462423
Egf	2.39378397041242	5.31171703795729e-05	0.00224134785975731
Hgfac	5.52830535863765	5.70609654454209e-05	0.00234268677232317
5330417C22Rik	3.79662872429584	6.07365993965338e-05	0.0024537206505054
Dpysl4	3.15774232275942	6.62875541179241e-05	0.00261772653055636
Gm26645	2.31490324454255	6.74625958654341e-05	0.0026503494989479
Gm43628	2.30853795859142	7.18191015758981e-05	0.0027718036630262
Gm48866	2.75205341981636	7.23641016869921e-05	0.00277427617765303
Aldh1l2	2.29055590162955	7.31971894323552e-05	0.00279459913249457
Fabp1	19.4013399352421	7.32193312603904e-05	0.00279459913249457
5330409N07Rik	4.57793852804944	7.51324138744502e-05	0.0028437993065502
4930519G04Rik	4.22104533059712	7.84930079255969e-05	0.00293685004695017
Gm13421	2.19747123630329	7.99831489491723e-05	0.0029779346927383
Gm26902	3.33820164540316	8.30561252662109e-05	0.00306317543040733
Cd6	13.6144700905734	8.46529138274587e-05	0.00310101066146962
Chrm1	2.23169646622865	8.75267459610708e-05	0.00317072246974397
Gm7334	14.8094742727468	8.82882138761702e-05	0.00318816995464725
Hsd17b13	3.13323638877103	9.10628075893615e-05	0.00326764902949794
Nefm	3.08700667590379	0.00010196491579689	0.00354713369671439
Reg3d	8.51070755547627	0.000104211433353106	0.00360328030407265
Gm27206	3.21365256983501	0.000110112973100124	0.00375850282067607
Aqp12	9.85120827003794	0.000111328214989446	0.00376927891047478
Adora1	3.0946401017906	0.000116706095796825	0.00390494140796836
Gm5831	3.80932795587653	0.0001168866556377	0.00390524829231764
Spink1	6.68426402039606	0.000121331125804256	0.00401838812874387
Nkx2-3	3.72701991903615	0.000124291844550416	0.00408085586444637
Emx2	3.02239878774349	0.000130349904688825	0.00422496860347021
Klrk1	3.83907420962994	0.000152496447139319	0.00477305500620401
Spdef	6.1847262899844	0.000153343123096162	0.00479297174604821
Gm15725	7.28596177263472	0.000155723054459905	0.00485404311754226
Gm38248	2.37640290418821	0.000157640423060806	0.0049070965571906
C130026L21Rik	3.57940938880023	0.000181996768408361	0.00549997130630361
Duxbl2	2.53512294205887	0.000185393715086567	0.00558780580947422
Klk1b5	7.86615019050922	0.000195671881599264	0.00585115419175962
Vxn	3.36039349842195	0.000207936333315835	0.00612568655167118
Rgs16	2.27307096730353	0.000216418247144253	0.0063140924192432
Pnma2	2.00981780838376	0.000219326601510701	0.00638260018138294
Fendrr	2.40810799250406	0.000220196933764756	0.00639975425097416
Syt14	3.12484158883277	0.000227128311413802	0.00651806763712203
Dmrt3	3.70379674039967	0.000228347653994955	0.00653659503006162
Gm12301	2.50898567345141	0.000235901971358339	0.0066856496509591
Zfp641	2.61340319399376	0.000270047820178438	0.00735212684412585
Ifi203-ps	4.04955866426709	0.000270674606210946	0.00735989448343988
Ctnnd2	2.49965018993904	0.000277527170147539	0.00746603789726307
Prr33	3.23717971533776	0.000289280730707713	0.00768246005816545
5430419D17Rik	4.79011965981296	0.000310807368313379	0.00810303969609685
Gm38901	3.16117544581519	0.000323619083099593	0.00834161134333407
Gm44789	3.25724416417762	0.000327977095471779	0.00843486015510154
Ttr	4.9931294617913	0.00032937322047425	0.00845967174090748
