barcode	tissue	rank	gene	raw_count
Cell_11249_MCI	Bone	1	Nupr1	3
Cell_11249_MCI	Bone	2	Cfh	3
Cell_11249_MCI	Bone	3	Sparc	2
Cell_11249_MCI	Bone	4	Tsc22d1	2
Cell_11249_MCI	Bone	5	Tpm1	1
Cell_11249_MCI	Bone	6	Ptprd	1
Cell_11249_MCI	Bone	7	Kazald1	1
Cell_11249_MCI	Bone	8	Cdo1	1
Cell_11249_MCI	Bone	9	Mamdc2	1
Cell_11249_MCI	Bone	10	Npnt	1
Cell_11249_MCI	Bone	11	Cd109	1
Cell_11249_MCI	Bone	12	Fgfr3	1
Cell_11249_MCI	Bone	13	Sgms2	0
Cell_11249_MCI	Bone	14	Mmp16	0
Cell_11249_MCI	Bone	15	Col11a2	0
Cell_11249_MCI	Bone	16	Prss35	0
Cell_11249_MCI	Bone	17	Cd1d1	0
Cell_11249_MCI	Bone	18	Stk17b	0
Cell_11249_MCI	Bone	19	Rgs3	0
Cell_11249_MCI	Bone	20	Alpl	0
Cell_11249_MCI	Bone	21	Gprc5c	0
Cell_11249_MCI	Bone	22	Col1a2	0
Cell_11249_MCI	Bone	23	Ppfibp2	0
Cell_11249_MCI	Bone	24	Ckm	0
Cell_11249_MCI	Bone	25	Dlx5	0
Cell_11249_MCI	Omentum	1	Lsr	2
Cell_11249_MCI	Omentum	2	Upk1b	2
Cell_11249_MCI	Omentum	3	Trf	1
Cell_11249_MCI	Omentum	4	Enpp2	1
Cell_11249_MCI	Omentum	5	Pkhd1l1	1
Cell_11249_MCI	Omentum	6	Ier5	1
Cell_11249_MCI	Omentum	7	Tcf21	1
Cell_11249_MCI	Omentum	8	Ccl7	1
Cell_11249_MCI	Omentum	9	Igfbp2	1
Cell_11249_MCI	Omentum	10	Star	0
Cell_11249_MCI	Omentum	11	Ugt1a7c	0
Cell_11249_MCI	Omentum	12	Wt1	0
Cell_11249_MCI	Omentum	13	Nkain4	0
Cell_11249_MCI	Omentum	14	Crem	0
Cell_11249_MCI	Omentum	15	Egln3	0
Cell_11249_MCI	Omentum	16	Tmem151a	0
Cell_11249_MCI	Omentum	17	Tmem37	0
Cell_11249_MCI	Omentum	18	Tmem108	0
Cell_11249_MCI	Omentum	19	Wt1os	0
Cell_11249_MCI	Omentum	20	Rdh10	0
Cell_11249_MCI	Omentum	21	Hdc	0
Cell_11249_MCI	Omentum	22	Upk3b	0
Cell_11249_MCI	Omentum	23	Myrf	0
Cell_11249_MCI	Omentum	24	Mpp6	0
Cell_11249_MCI	Omentum	25	Ugdh	0
Cell_10369_WXV	Bone	1	Col1a2	7
Cell_10369_WXV	Bone	2	Sparc	7
Cell_10369_WXV	Bone	3	Col1a1	6
Cell_10369_WXV	Bone	4	Gja1	5
Cell_10369_WXV	Bone	5	Tpm1	4
Cell_10369_WXV	Bone	6	Runx1	4
Cell_10369_WXV	Bone	7	Cfh	3
Cell_10369_WXV	Bone	8	Spp1	3
Cell_10369_WXV	Bone	9	S100a9	3
Cell_10369_WXV	Bone	10	Stk17b	2
Cell_10369_WXV	Bone	11	Col5a2	2
Cell_10369_WXV	Bone	12	Cdh11	2
Cell_10369_WXV	Bone	13	Lmo7	2
Cell_10369_WXV	Bone	14	Lox	2
Cell_10369_WXV	Bone	15	Fgfr2	2
Cell_10369_WXV	Bone	16	Tnc	2
Cell_10369_WXV	Bone	17	Fzd5	2
Cell_10369_WXV	Bone	18	Ier3	2
Cell_10369_WXV	Bone	19	Specc1	1
Cell_10369_WXV	Bone	20	Pard6g	1
Cell_10369_WXV	Bone	21	Tnfrsf19	1
Cell_10369_WXV	Bone	22	Ncam1	1
Cell_10369_WXV	Bone	23	Col11a1	1
Cell_10369_WXV	Bone	24	Cdh2	1
Cell_10369_WXV	Bone	25	Runx2	1
Cell_10369_WXV	Omentum	1	Serpina3g	9
Cell_10369_WXV	Omentum	2	Hp	4
Cell_10369_WXV	Omentum	3	Ier5	3
Cell_10369_WXV	Omentum	4	Gdpd2	2
Cell_10369_WXV	Omentum	5	Syne1	2
Cell_10369_WXV	Omentum	6	Ier3	2
Cell_10369_WXV	Omentum	7	Fgfr2	2
Cell_10369_WXV	Omentum	8	Cstf3	1
Cell_10369_WXV	Omentum	9	Fosl2	1
Cell_10369_WXV	Omentum	10	Tiparp	1
Cell_10369_WXV	Omentum	11	Sbno2	1
Cell_10369_WXV	Omentum	12	H2-Q7	1
Cell_10369_WXV	Omentum	13	Mt2	1
Cell_10369_WXV	Omentum	14	Ifi44	1
Cell_10369_WXV	Omentum	15	Dusp5	1
Cell_10369_WXV	Omentum	16	Chl1	1
Cell_10369_WXV	Omentum	17	Enc1	1
Cell_10369_WXV	Omentum	18	Rgs2	1
Cell_10369_WXV	Omentum	19	Tnfrsf19	1
Cell_10369_WXV	Omentum	20	Cxcl1	1
Cell_10369_WXV	Omentum	21	Cyp1b1	1
Cell_10369_WXV	Omentum	22	Has2	1
Cell_10369_WXV	Omentum	23	Ptx3	1
Cell_10369_WXV	Omentum	24	S1pr1	1
Cell_10369_WXV	Omentum	25	Ccl6	1
